time,volume,open,high,low,close,bid_open,bid_high,bid_low,bid_close,ask_open,ask_high,ask_low,ask_close
2024-01-01T22:00:00.000000Z,10305,95.889,96.393,95.836,96.348,95.889,96.393,95.836,96.348,96.042,96.412,95.925,96.366
2024-01-02T02:00:00.000000Z,11543,96.354,96.693,96.228,96.659,96.354,96.693,96.228,96.659,96.372,96.712,96.246,96.675
2024-01-02T06:00:00.000000Z,24090,96.659,96.71,96.493,96.557,96.659,96.71,96.493,96.557,96.676,96.727,96.511,96.575
2024-01-02T10:00:00.000000Z,28861,96.556,96.598,96.291,96.37,96.556,96.598,96.291,96.37,96.573,96.615,96.311,96.39
2024-01-02T14:00:00.000000Z,35477,96.368,96.383,95.893,96.156,96.368,96.383,95.893,96.156,96.387,96.402,95.911,96.176
2024-01-02T18:00:00.000000Z,11047,96.156,96.161,95.834,95.994,96.156,96.161,95.834,95.994,96.175,96.179,95.85,96.025
2024-01-02T22:00:00.000000Z,12704,95.991,96.197,95.905,95.946,95.991,96.197,95.905,95.946,96.017,96.216,95.93,95.963
2024-01-03T02:00:00.000000Z,14191,95.944,96.152,95.867,96.13,95.944,96.152,95.867,96.13,95.962,96.166,95.885,96.151
2024-01-03T06:00:00.000000Z,24700,96.128,96.368,96.06,96.262,96.128,96.368,96.06,96.262,96.148,96.388,96.08,96.281
2024-01-03T10:00:00.000000Z,24790,96.26,96.286,96.017,96.026,96.26,96.286,96.017,96.026,96.279,96.304,96.036,96.045
2024-01-03T14:00:00.000000Z,38997,96.028,96.58,96.011,96.5,96.028,96.58,96.011,96.5,96.048,96.6,96.031,96.518
2024-01-03T18:00:00.000000Z,23087,96.497,96.59,96.288,96.447,96.497,96.59,96.288,96.447,96.515,96.61,96.306,96.48
2024-01-03T22:00:00.000000Z,13004,96.26,96.566,96.181,96.528,96.26,96.566,96.181,96.528,96.475,96.622,96.201,96.545
2024-01-04T02:00:00.000000Z,17220,96.527,96.952,96.379,96.897,96.527,96.952,96.379,96.897,96.546,96.97,96.401,96.917
2024-01-04T06:00:00.000000Z,28963,96.9,97.089,96.767,97.002,96.9,97.089,96.767,97.002,96.92,97.105,96.788,97.024
2024-01-04T10:00:00.000000Z,26639,97.004,97.189,96.894,97.02,97.004,97.189,96.894,97.02,97.025,97.209,96.944,97.041
2024-01-04T14:00:00.000000Z,32541,97.021,97.118,96.821,96.918,97.021,97.118,96.821,96.918,97.041,97.137,96.84,96.937
2024-01-04T18:00:00.000000Z,12790,96.915,97.006,96.844,96.988,96.915,97.006,96.844,96.988,96.933,97.026,96.859,97.017
2024-01-04T22:00:00.000000Z,12602,96.943,97.222,96.912,97.136,96.943,97.222,96.912,97.136,97.036,97.243,96.962,97.154
2024-01-05T02:00:00.000000Z,14391,97.134,97.221,96.901,97.015,97.134,97.221,96.901,97.015,97.154,97.242,96.916,97.032
2024-01-05T06:00:00.000000Z,24691,97.013,97.351,96.991,97.01,97.013,97.351,96.991,97.01,97.032,97.371,97.009,97.03
2024-01-05T10:00:00.000000Z,30051,97.011,97.262,96.832,97.257,97.011,97.262,96.832,97.257,97.032,97.283,96.917,97.277
2024-01-05T14:00:00.000000Z,51547,97.258,97.387,96.96,97.18,97.258,97.387,96.96,97.18,97.276,97.444,96.981,97.2
2024-01-05T18:00:00.000000Z,16946,97.18,97.267,97.074,97.102,97.18,97.267,97.074,97.102,97.199,97.285,97.094,97.178
2024-01-07T22:00:00.000000Z,12566,97.102,97.283,96.963,97.102,97.102,97.283,96.963,97.102,97.18,97.301,97.071,97.12
2024-01-08T02:00:00.000000Z,17450,97.101,97.141,96.674,96.717,97.101,97.141,96.674,96.717,97.117,97.158,96.691,96.736
2024-01-08T06:00:00.000000Z,31902,96.718,96.883,96.557,96.594,96.718,96.883,96.557,96.594,96.739,96.904,96.574,96.613
2024-01-08T10:00:00.000000Z,26471,96.595,96.728,96.482,96.51,96.595,96.728,96.482,96.51,96.612,96.746,96.496,96.526
2024-01-08T14:00:00.000000Z,31869,96.509,96.694,96.454,96.624,96.509,96.694,96.454,96.624,96.526,96.713,96.469,96.638
2024-01-08T18:00:00.000000Z,11740,96.624,96.923,96.606,96.899,96.624,96.923,96.606,96.899,96.64,96.941,96.624,96.931
2024-01-08T22:00:00.000000Z,16002,96.905,96.917,96.522,96.535,96.905,96.917,96.522,96.535,96.971,96.972,96.539,96.554
2024-01-09T02:00:00.000000Z,17422,96.535,96.674,96.396,96.461,96.535,96.674,96.396,96.461,96.556,96.693,96.413,96.475
2024-01-09T06:00:00.000000Z,28892,96.462,96.646,96.427,96.493,96.462,96.646,96.427,96.493,96.475,96.663,96.445,96.515
2024-01-09T10:00:00.000000Z,26099,96.495,96.515,96.269,96.297,96.495,96.515,96.269,96.297,96.516,96.532,96.288,96.313
2024-01-09T14:00:00.000000Z,29478,96.295,96.605,96.136,96.553,96.295,96.605,96.136,96.553,96.313,96.625,96.154,96.572
2024-01-09T18:00:00.000000Z,14813,96.551,96.651,96.486,96.62,96.551,96.651,96.486,96.62,96.572,96.67,96.502,96.641
2024-01-09T22:00:00.000000Z,14208,96.553,96.977,96.446,96.946,96.553,96.977,96.446,96.946,96.632,96.994,96.46,96.967
2024-01-10T02:00:00.000000Z,14133,96.947,97.149,96.939,97.054,96.947,97.149,96.939,97.054,96.967,97.169,96.958,97.071
2024-01-10T06:00:00.000000Z,27118,97.053,97.256,97.0,97.21,97.053,97.256,97.0,97.21,97.071,97.274,97.02,97.23
2024-01-10T10:00:00.000000Z,20695,97.211,97.387,97.15,97.315,97.211,97.387,97.15,97.315,97.23,97.406,97.168,97.334
2024-01-10T14:00:00.000000Z,22782,97.315,97.534,97.242,97.503,97.315,97.534,97.242,97.503,97.333,97.552,97.259,97.519
2024-01-10T18:00:00.000000Z,14370,97.502,97.674,97.434,97.658,97.502,97.674,97.434,97.658,97.516,97.694,97.451,97.676
2024-01-10T22:00:00.000000Z,14136,97.447,97.728,97.431,97.639,97.447,97.728,97.431,97.639,97.691,97.746,97.547,97.657
2024-01-11T02:00:00.000000Z,16407,97.639,97.791,97.614,97.741,97.639,97.791,97.614,97.741,97.658,97.81,97.632,97.759
2024-01-11T06:00:00.000000Z,20595,97.741,97.759,97.607,97.671,97.741,97.759,97.607,97.671,97.758,97.777,97.626,97.684
2024-01-11T10:00:00.000000Z,31653,97.669,97.671,97.338,97.47,97.669,97.671,97.338,97.47,97.684,97.686,97.361,97.487
2024-01-11T14:00:00.000000Z,47461,97.469,97.602,97.07,97.136,97.469,97.602,97.07,97.136,97.487,97.62,97.09,97.153
2024-01-11T18:00:00.000000Z,18996,97.138,97.312,97.122,97.163,97.138,97.312,97.122,97.163,97.156,97.33,97.137,97.19
2024-01-11T22:00:00.000000Z,18277,97.072,97.408,97.032,97.392,97.072,97.408,97.032,97.392,97.211,97.426,97.05,97.413
