time,volume,open,high,low,close,bid_open,bid_high,bid_low,bid_close,ask_open,ask_high,ask_low,ask_close
2024-01-01T22:00:00.000000Z,294,95.889,96.032,95.836,95.923,95.889,96.032,95.836,95.923,96.042,96.168,95.985,96.047
2024-01-01T22:30:00.000000Z,480,95.93,95.99,95.888,95.906,95.93,95.99,95.888,95.906,96.047,96.107,95.939,95.955
2024-01-01T23:00:00.000000Z,1339,95.903,96.001,95.903,96.001,95.903,96.001,95.903,96.001,95.955,96.024,95.925,96.021
2024-01-01T23:30:00.000000Z,1153,95.998,96.107,95.965,96.086,95.998,96.107,95.965,96.086,96.02,96.127,95.987,96.106
2024-01-02T00:00:00.000000Z,1235,96.084,96.265,96.084,96.224,96.084,96.265,96.084,96.224,96.106,96.284,96.102,96.243
2024-01-02T00:30:00.000000Z,1274,96.229,96.259,96.162,96.166,96.229,96.259,96.162,96.166,96.249,96.28,96.182,96.186
2024-01-02T01:00:00.000000Z,2137,96.17,96.368,96.166,96.35,96.17,96.368,96.166,96.35,96.188,96.39,96.184,96.368
2024-01-02T01:30:00.000000Z,2393,96.347,96.393,96.316,96.348,96.347,96.393,96.316,96.348,96.366,96.412,96.335,96.366
2024-01-02T02:00:00.000000Z,1373,96.354,96.37,96.254,96.278,96.354,96.37,96.254,96.278,96.372,96.388,96.273,96.295
2024-01-02T02:30:00.000000Z,1880,96.273,96.393,96.228,96.319,96.273,96.393,96.228,96.319,96.29,96.413,96.246,96.34
2024-01-02T03:00:00.000000Z,1579,96.323,96.428,96.297,96.427,96.323,96.428,96.297,96.427,96.343,96.448,96.316,96.447
2024-01-02T03:30:00.000000Z,1236,96.43,96.536,96.404,96.421,96.43,96.536,96.404,96.421,96.449,96.553,96.424,96.441
2024-01-02T04:00:00.000000Z,798,96.428,96.522,96.388,96.514,96.428,96.522,96.388,96.514,96.449,96.542,96.408,96.534
2024-01-02T04:30:00.000000Z,970,96.516,96.547,96.494,96.513,96.516,96.547,96.494,96.513,96.536,96.561,96.511,96.53
2024-01-02T05:00:00.000000Z,2092,96.513,96.613,96.507,96.581,96.513,96.613,96.507,96.581,96.531,96.631,96.524,96.6
2024-01-02T05:30:00.000000Z,1615,96.581,96.693,96.547,96.659,96.581,96.693,96.547,96.659,96.601,96.712,96.566,96.675
2024-01-02T06:00:00.000000Z,1530,96.659,96.677,96.569,96.639,96.659,96.677,96.569,96.639,96.676,96.694,96.587,96.659
2024-01-02T06:30:00.000000Z,1813,96.635,96.664,96.585,96.597,96.635,96.664,96.585,96.597,96.657,96.686,96.603,96.615
2024-01-02T07:00:00.000000Z,3383,96.595,96.622,96.534,96.567,96.595,96.622,96.534,96.567,96.615,96.642,96.553,96.587
2024-01-02T07:30:00.000000Z,3524,96.564,96.584,96.493,96.524,96.564,96.584,96.493,96.524,96.586,96.607,96.511,96.54
2024-01-02T08:00:00.000000Z,3907,96.523,96.653,96.511,96.558,96.523,96.653,96.511,96.558,96.542,96.669,96.529,96.578
2024-01-02T08:30:00.000000Z,3261,96.561,96.63,96.55,96.602,96.561,96.63,96.55,96.602,96.58,96.651,96.57,96.622
2024-01-02T09:00:00.000000Z,3362,96.6,96.71,96.565,96.608,96.6,96.71,96.565,96.608,96.621,96.727,96.586,96.627
2024-01-02T09:30:00.000000Z,3310,96.606,96.656,96.54,96.557,96.606,96.656,96.54,96.557,96.626,96.673,96.56,96.575
2024-01-02T10:00:00.000000Z,3403,96.556,96.583,96.492,96.508,96.556,96.583,96.492,96.508,96.573,96.602,96.51,96.527
2024-01-02T10:30:00.000000Z,3364,96.508,96.598,96.506,96.554,96.508,96.598,96.506,96.554,96.526,96.615,96.525,96.574
2024-01-02T11:00:00.000000Z,3600,96.548,96.556,96.386,96.397,96.548,96.556,96.386,96.397,96.57,96.577,96.405,96.416
2024-01-02T11:30:00.000000Z,3264,96.398,96.459,96.374,96.439,96.398,96.459,96.374,96.439,96.415,96.478,96.393,96.46
2024-01-02T12:00:00.000000Z,3492,96.44,96.512,96.404,96.51,96.44,96.512,96.404,96.51,96.46,96.533,96.422,96.525
2024-01-02T12:30:00.000000Z,4083,96.51,96.565,96.425,96.429,96.51,96.565,96.425,96.429,96.523,96.585,96.445,96.448
2024-01-02T13:00:00.000000Z,4069,96.427,96.445,96.293,96.314,96.427,96.445,96.293,96.314,96.447,96.462,96.312,96.335
2024-01-02T13:30:00.000000Z,3586,96.315,96.376,96.291,96.37,96.315,96.376,96.291,96.37,96.335,96.396,96.311,96.39
2024-01-02T14:00:00.000000Z,3960,96.368,96.383,96.138,96.164,96.368,96.383,96.138,96.164,96.387,96.402,96.154,96.184
2024-01-02T14:30:00.000000Z,6579,96.168,96.226,96.001,96.06,96.168,96.226,96.001,96.06,96.187,96.247,96.021,96.08
2024-01-02T15:00:00.000000Z,6388,96.06,96.143,95.979,96.004,96.06,96.143,95.979,96.004,96.079,96.162,95.998,96.023
2024-01-02T15:30:00.000000Z,5701,96.002,96.104,95.893,96.053,96.002,96.104,95.893,96.053,96.022,96.123,95.911,96.07
2024-01-02T16:00:00.000000Z,4787,96.051,96.123,95.974,96.0,96.051,96.123,95.974,96.0,96.069,96.139,95.992,96.014
2024-01-02T16:30:00.000000Z,3027,95.998,96.087,95.966,96.064,95.998,96.087,95.966,96.064,96.014,96.106,95.986,96.082
2024-01-02T17:00:00.000000Z,2716,96.063,96.15,96.059,96.143,96.063,96.15,96.059,96.143,96.083,96.169,96.077,96.161
2024-01-02T17:30:00.000000Z,2319,96.143,96.195,96.134,96.156,96.143,96.195,96.134,96.156,96.162,96.214,96.154,96.176
2024-01-02T18:00:00.000000Z,1797,96.156,96.161,96.031,96.039,96.156,96.161,96.031,96.039,96.175,96.179,96.05,96.057
2024-01-02T18:30:00.000000Z,2136,96.038,96.078,96.012,96.02,96.038,96.078,96.012,96.02,96.057,96.097,96.033,96.039
2024-01-02T19:00:00.000000Z,1619,96.02,96.02,95.965,96.001,96.02,96.02,95.965,96.001,96.037,96.039,95.981,96.019
2024-01-02T19:30:00.000000Z,1390,95.999,96.021,95.965,95.965,95.999,96.021,95.965,95.965,96.017,96.039,95.981,95.981
2024-01-02T20:00:00.000000Z,1120,95.965,95.971,95.898,95.898,95.965,95.971,95.898,95.898,95.982,95.99,95.915,95.916
2024-01-02T20:30:00.000000Z,1655,95.897,95.943,95.834,95.936,95.897,95.943,95.834,95.936,95.917,95.962,95.85,95.956
2024-01-02T21:00:00.000000Z,899,95.936,95.977,95.919,95.966,95.936,95.977,95.919,95.966,95.955,95.996,95.939,95.987
2024-01-02T21:30:00.000000Z,431,95.964,96.011,95.956,95.994,95.964,96.011,95.956,95.994,95.986,96.036,95.976,96.025
2024-01-02T22:00:00.000000Z,525,95.991,96.007,95.905,95.946,95.991,96.007,95.905,95.946,96.017,96.186,95.979,96.003
2024-01-02T22:30:00.000000Z,944,95.947,96.09,95.935,96.089,95.947,96.09,95.935,96.089,96.003,96.165,95.987,96.141
2024-01-02T23:00:00.000000Z,973,96.088,96.147,96.067,96.143,96.088,96.147,96.067,96.143,96.141,96.168,96.104,96.162
2024-01-02T23:30:00.000000Z,1047,96.144,96.195,96.121,96.192,96.144,96.195,96.121,96.192,96.162,96.213,96.14,96.211
2024-01-03T00:00:00.000000Z,1875,96.194,96.197,96.052,96.077,96.194,96.197,96.052,96.077,96.212,96.216,96.071,96.095
2024-01-03T00:30:00.000000Z,1909,96.074,96.086,95.989,96.009,96.074,96.086,95.989,96.009,96.093,96.105,96.01,96.028
2024-01-03T01:00:00.000000Z,2876,96.009,96.037,95.924,95.939,96.009,96.037,95.924,95.939,96.026,96.057,95.945,95.959
2024-01-03T01:30:00.000000Z,2555,95.941,96.005,95.909,95.946,95.941,96.005,95.909,95.946,95.96,96.022,95.93,95.963
2024-01-03T02:00:00.000000Z,2092,95.944,95.956,95.867,95.882,95.944,95.956,95.867,95.882,95.962,95.976,95.885,95.9
2024-01-03T02:30:00.000000Z,1535,95.882,95.953,95.882,95.943,95.882,95.953,95.882,95.943,95.899,95.972,95.899,95.961
2024-01-03T03:00:00.000000Z,1596,95.945,95.975,95.891,95.94,95.945,95.975,95.891,95.94,95.961,95.992,95.908,95.958
2024-01-03T03:30:00.000000Z,2273,95.943,96.011,95.895,95.996,95.943,96.011,95.895,95.996,95.961,96.029,95.916,96.015
2024-01-03T04:00:00.000000Z,1796,95.994,96.044,95.97,96.006,95.994,96.044,95.97,96.006,96.015,96.061,95.992,96.028
2024-01-03T04:30:00.000000Z,1657,96.008,96.019,95.953,95.962,96.008,96.019,95.953,95.962,96.028,96.04,95.972,95.98
2024-01-03T05:00:00.000000Z,1606,95.965,96.091,95.949,96.069,95.965,96.091,95.949,96.069,95.981,96.11,95.968,96.09
2024-01-03T05:30:00.000000Z,1636,96.067,96.152,96.048,96.13,96.067,96.152,96.048,96.13,96.089,96.166,96.067,96.151
2024-01-03T06:00:00.000000Z,2089,96.128,96.171,96.06,96.128,96.128,96.171,96.06,96.128,96.148,96.188,96.08,96.149
2024-01-03T06:30:00.000000Z,1568,96.129,96.162,96.094,96.132,96.129,96.162,96.094,96.132,96.149,96.182,96.114,96.147
2024-01-03T07:00:00.000000Z,3068,96.131,96.265,96.06,96.226,96.131,96.265,96.06,96.226,96.148,96.285,96.08,96.245
2024-01-03T07:30:00.000000Z,3705,96.228,96.3,96.207,96.23,96.228,96.3,96.207,96.23,96.245,96.32,96.228,96.251
2024-01-03T08:00:00.000000Z,4285,96.229,96.289,96.193,96.28,96.229,96.289,96.193,96.28,96.251,96.305,96.213,96.298
2024-01-03T08:30:00.000000Z,3109,96.281,96.368,96.26,96.316,96.281,96.368,96.26,96.316,96.297,96.388,96.281,96.333
2024-01-03T09:00:00.000000Z,3735,96.314,96.367,96.242,96.265,96.314,96.367,96.242,96.265,96.333,96.388,96.263,96.285
2024-01-03T09:30:00.000000Z,3141,96.262,96.278,96.187,96.262,96.262,96.278,96.187,96.262,96.282,96.296,96.209,96.281
2024-01-03T10:00:00.000000Z,2545,96.26,96.286,96.192,96.256,96.26,96.286,96.192,96.256,96.279,96.304,96.214,96.276
2024-01-03T10:30:00.000000Z,2198,96.258,96.281,96.173,96.174,96.258,96.281,96.173,96.174,96.278,96.3,96.189,96.19
2024-01-03T11:00:00.000000Z,2600,96.176,96.2,96.09,96.12,96.176,96.2,96.09,96.12,96.193,96.218,96.106,96.137
2024-01-03T11:30:00.000000Z,2948,96.117,96.237,96.111,96.177,96.117,96.237,96.111,96.177,96.134,96.255,96.129,96.195
2024-01-03T12:00:00.000000Z,2728,96.176,96.205,96.141,96.202,96.176,96.205,96.141,96.202,96.195,96.223,96.158,96.22
2024-01-03T12:30:00.000000Z,3397,96.205,96.228,96.12,96.146,96.205,96.228,96.12,96.146,96.222,96.246,96.139,96.165
2024-01-03T13:00:00.000000Z,4133,96.146,96.19,96.099,96.131,96.146,96.19,96.099,96.131,96.168,96.21,96.117,96.151
2024-01-03T13:30:00.000000Z,4241,96.129,96.141,96.017,96.026,96.129,96.141,96.017,96.026,96.148,96.159,96.036,96.045
2024-01-03T14:00:00.000000Z,4045,96.028,96.139,96.011,96.127,96.028,96.139,96.011,96.127,96.048,96.157,96.031,96.145
2024-01-03T14:30:00.000000Z,5718,96.128,96.286,96.128,96.206,96.128,96.286,96.128,96.206,96.147,96.306,96.147,96.265
2024-01-03T15:00:00.000000Z,9088,96.199,96.365,96.107,96.322,96.199,96.365,96.107,96.322,96.256,96.385,96.154,96.337
2024-01-03T15:30:00.000000Z,6809,96.321,96.415,96.266,96.378,96.321,96.415,96.266,96.378,96.338,96.435,96.284,96.397
2024-01-03T16:00:00.000000Z,5046,96.376,96.453,96.331,96.418,96.376,96.453,96.331,96.418,96.394,96.47,96.351,96.436
2024-01-03T16:30:00.000000Z,3651,96.416,96.453,96.381,96.453,96.416,96.453,96.381,96.453,96.435,96.473,96.401,96.471
2024-01-03T17:00:00.000000Z,2253,96.452,96.476,96.393,96.471,96.452,96.476,96.393,96.471,96.471,96.496,96.414,96.488
2024-01-03T17:30:00.000000Z,2387,96.469,96.58,96.461,96.5,96.469,96.58,96.461,96.5,96.488,96.6,96.481,96.518
2024-01-03T18:00:00.000000Z,2505,96.497,96.59,96.483,96.557,96.497,96.59,96.483,96.557,96.515,96.61,96.5,96.575
2024-01-03T18:30:00.000000Z,2482,96.556,96.56,96.417,96.476,96.556,96.56,96.417,96.476,96.573,96.58,96.435,96.536
2024-01-03T19:00:00.000000Z,6615,96.477,96.526,96.345,96.474,96.477,96.526,96.345,96.474,96.536,96.57,96.365,96.494
2024-01-03T19:30:00.000000Z,4475,96.478,96.5,96.387,96.388,96.478,96.5,96.387,96.388,96.495,96.516,96.406,96.406
2024-01-03T20:00:00.000000Z,2999,96.387,96.405,96.288,96.318,96.387,96.405,96.288,96.318,96.406,96.425,96.308,96.337
2024-01-03T20:30:00.000000Z,2257,96.319,96.368,96.288,96.326,96.319,96.368,96.288,96.326,96.337,96.388,96.306,96.346
2024-01-03T21:00:00.000000Z,959,96.328,96.409,96.31,96.405,96.328,96.409,96.31,96.405,96.347,96.427,96.331,96.423
2024-01-03T21:30:00.000000Z,795,96.402,96.452,96.371,96.447,96.402,96.452,96.371,96.447,96.422,96.484,96.391,96.48
2024-01-03T22:00:00.000000Z,341,96.26,96.435,96.229,96.348,96.26,96.435,96.229,96.348,96.475,96.622,96.42,96.462
2024-01-03T22:30:00.000000Z,432,96.34,96.363,96.298,96.321,96.34,96.363,96.298,96.321,96.474,96.474,96.34,96.362
2024-01-03T23:00:00.000000Z,1073,96.322,96.376,96.259,96.309,96.322,96.376,96.259,96.309,96.356,96.399,96.28,96.331
2024-01-03T23:30:00.000000Z,1195,96.309,96.36,96.267,96.299,96.309,96.36,96.267,96.299,96.329,96.381,96.286,96.319
2024-01-04T00:00:00.000000Z,2438,96.3,96.307,96.181,96.299,96.3,96.307,96.181,96.299,96.317,96.328,96.201,96.318
2024-01-04T00:30:00.000000Z,2419,96.298,96.427,96.298,96.418,96.298,96.427,96.298,96.418,96.318,96.445,96.318,96.438
2024-01-04T01:00:00.000000Z,2601,96.418,96.444,96.302,96.428,96.418,96.444,96.302,96.428,96.437,96.464,96.322,96.445
2024-01-04T01:30:00.000000Z,2505,96.428,96.566,96.404,96.528,96.428,96.566,96.404,96.528,96.446,96.587,96.42,96.545
2024-01-04T02:00:00.000000Z,2656,96.527,96.527,96.379,96.436,96.527,96.527,96.379,96.436,96.546,96.546,96.401,96.455
2024-01-04T02:30:00.000000Z,1676,96.433,96.549,96.425,96.538,96.433,96.549,96.425,96.538,96.454,96.565,96.443,96.555
2024-01-04T03:00:00.000000Z,1881,96.537,96.597,96.488,96.589,96.537,96.597,96.488,96.589,96.557,96.617,96.51,96.608
2024-01-04T03:30:00.000000Z,2116,96.59,96.644,96.564,96.596,96.59,96.644,96.564,96.596,96.608,96.665,96.582,96.613
2024-01-04T04:00:00.000000Z,1701,96.594,96.711,96.579,96.668,96.594,96.711,96.579,96.668,96.612,96.729,96.598,96.685
2024-01-04T04:30:00.000000Z,1883,96.668,96.783,96.622,96.753,96.668,96.783,96.622,96.753,96.684,96.801,96.637,96.77
2024-01-04T05:00:00.000000Z,2348,96.753,96.851,96.742,96.839,96.753,96.851,96.742,96.839,96.771,96.869,96.756,96.856
2024-01-04T05:30:00.000000Z,2959,96.836,96.952,96.821,96.897,96.836,96.952,96.821,96.897,96.854,96.97,96.84,96.917
2024-01-04T06:00:00.000000Z,2898,96.9,96.973,96.844,96.945,96.9,96.973,96.844,96.945,96.92,96.992,96.863,96.964
2024-01-04T06:30:00.000000Z,2540,96.942,96.984,96.904,96.92,96.942,96.984,96.904,96.92,96.963,97.003,96.923,96.937
2024-01-04T07:00:00.000000Z,3842,96.921,96.974,96.854,96.878,96.921,96.974,96.854,96.878,96.937,96.993,96.875,96.9
2024-01-04T07:30:00.000000Z,4077,96.877,96.913,96.767,96.831,96.877,96.913,96.767,96.831,96.9,96.934,96.788,96.853
2024-01-04T08:00:00.000000Z,4558,96.832,96.933,96.817,96.822,96.832,96.933,96.817,96.822,96.852,96.951,96.837,96.841
2024-01-04T08:30:00.000000Z,3719,96.824,96.929,96.814,96.917,96.824,96.929,96.814,96.917,96.844,96.946,96.832,96.933
2024-01-04T09:00:00.000000Z,3746,96.919,97.03,96.871,97.02,96.919,97.03,96.871,97.02,96.934,97.049,96.889,97.04
2024-01-04T09:30:00.000000Z,3583,97.021,97.089,96.964,97.002,97.021,97.089,96.964,97.002,97.04,97.105,96.978,97.024
2024-01-04T10:00:00.000000Z,2977,97.004,97.079,96.984,97.029,97.004,97.079,96.984,97.029,97.025,97.097,97.004,97.049
2024-01-04T10:30:00.000000Z,3163,97.027,97.165,96.999,97.157,97.027,97.165,96.999,97.157,97.049,97.188,97.02,97.177
2024-01-04T11:00:00.000000Z,2427,97.157,97.189,97.101,97.171,97.157,97.189,97.101,97.171,97.176,97.209,97.121,97.191
2024-01-04T11:30:00.000000Z,2338,97.172,97.178,97.013,97.063,97.172,97.178,97.013,97.063,97.193,97.198,97.033,97.079
2024-01-04T12:00:00.000000Z,2494,97.063,97.064,96.925,97.046,97.063,97.064,96.925,97.046,97.08,97.083,96.944,97.065
2024-01-04T12:30:00.000000Z,2500,97.046,97.051,96.96,96.97,97.046,97.051,96.96,96.97,97.064,97.07,96.979,96.989
2024-01-04T13:00:00.000000Z,4681,96.971,97.072,96.894,96.966,96.971,97.072,96.894,96.966,96.989,97.092,96.948,97.008
2024-01-04T13:30:00.000000Z,6059,96.966,97.061,96.909,97.02,96.966,97.061,96.909,97.02,97.009,97.082,96.948,97.041
2024-01-04T14:00:00.000000Z,4186,97.021,97.104,97.012,97.057,97.021,97.104,97.012,97.057,97.041,97.123,97.03,97.077
2024-01-04T14:30:00.000000Z,5385,97.056,97.101,96.976,97.016,97.056,97.101,96.976,97.016,97.077,97.12,96.996,97.032
2024-01-04T15:00:00.000000Z,5531,97.013,97.118,97.004,97.037,97.013,97.118,97.004,97.037,97.028,97.137,97.023,97.057
2024-01-04T15:30:00.000000Z,4292,97.039,97.108,97.027,97.072,97.039,97.108,97.027,97.072,97.057,97.129,97.045,97.088
2024-01-04T16:00:00.000000Z,4233,97.071,97.086,96.99,97.01,97.071,97.086,96.99,97.01,97.088,97.104,97.006,97.031
2024-01-04T16:30:00.000000Z,3588,97.012,97.024,96.945,97.004,97.012,97.024,96.945,97.004,97.033,97.044,96.964,97.021
2024-01-04T17:00:00.000000Z,3077,97.004,97.012,96.927,96.958,97.004,97.012,96.927,96.958,97.022,97.03,96.946,96.976
2024-01-04T17:30:00.000000Z,2249,96.958,96.958,96.821,96.918,96.958,96.958,96.821,96.918,96.977,96.977,96.84,96.937
2024-01-04T18:00:00.000000Z,2115,96.915,96.998,96.891,96.955,96.915,96.998,96.891,96.955,96.933,97.016,96.909,96.972
2024-01-04T18:30:00.000000Z,2050,96.956,96.96,96.886,96.901,96.956,96.96,96.886,96.901,96.97,96.976,96.903,96.918
2024-01-04T19:00:00.000000Z,1559,96.901,96.927,96.882,96.894,96.901,96.927,96.882,96.894,96.92,96.948,96.901,96.911
2024-01-04T19:30:00.000000Z,1822,96.893,96.945,96.844,96.912,96.893,96.945,96.844,96.912,96.911,96.961,96.859,96.932
2024-01-04T20:00:00.000000Z,1464,96.913,96.916,96.861,96.891,96.913,96.916,96.861,96.891,96.931,96.935,96.879,96.91
2024-01-04T20:30:00.000000Z,1679,96.893,96.954,96.881,96.934,96.893,96.954,96.881,96.934,96.912,96.974,96.9,96.955
2024-01-04T21:00:00.000000Z,1070,96.934,96.971,96.926,96.952,96.934,96.971,96.926,96.952,96.954,96.988,96.945,96.97
2024-01-04T21:30:00.000000Z,1031,96.953,97.006,96.95,96.988,96.953,97.006,96.95,96.988,96.974,97.026,96.971,97.017
2024-01-04T22:00:00.000000Z,378,96.943,96.989,96.912,96.958,96.943,96.989,96.912,96.958,97.036,97.036,96.979,97.004
2024-01-04T22:30:00.000000Z,741,96.957,96.983,96.912,96.927,96.957,96.983,96.912,96.927,97.004,97.028,96.962,96.984
2024-01-04T23:00:00.000000Z,804,96.928,97.032,96.92,97.013,96.928,97.032,96.92,97.013,96.979,97.055,96.963,97.032
2024-01-04T23:30:00.000000Z,1045,97.014,97.094,97.011,97.081,97.014,97.094,97.011,97.081,97.031,97.115,97.031,97.103
2024-01-05T00:00:00.000000Z,1967,97.083,97.114,97.014,97.046,97.083,97.114,97.014,97.046,97.101,97.133,97.032,97.066
2024-01-05T00:30:00.000000Z,2851,97.045,97.222,97.04,97.114,97.045,97.222,97.04,97.114,97.064,97.243,97.061,97.13
2024-01-05T01:00:00.000000Z,2524,97.111,97.158,97.092,97.123,97.111,97.158,97.092,97.123,97.126,97.178,97.111,97.14
2024-01-05T01:30:00.000000Z,2292,97.123,97.179,97.073,97.136,97.123,97.179,97.073,97.136,97.141,97.201,97.091,97.154
2024-01-05T02:00:00.000000Z,1904,97.134,97.221,97.094,97.188,97.134,97.221,97.094,97.188,97.154,97.242,97.113,97.208
2024-01-05T02:30:00.000000Z,2117,97.187,97.207,97.131,97.149,97.187,97.207,97.131,97.149,97.205,97.226,97.151,97.167
