time,volume,open,high,low,close,bid_open,bid_high,bid_low,bid_close,ask_open,ask_high,ask_low,ask_close
2024-01-01T18:00:00.000000Z,1,1.07658,1.07658,1.07658,1.07658,1.07658,1.07658,1.07658,1.07658,1.07871,1.07871,1.07871,1.07871
2024-01-01T22:00:00.000000Z,8228,1.07658,1.08058,1.076,1.08044,1.07658,1.08058,1.076,1.08044,1.07871,1.08083,1.0775,1.08071
2024-01-02T02:00:00.000000Z,8933,1.08045,1.08269,1.07976,1.08263,1.08045,1.08269,1.07976,1.08263,1.08073,1.0829,1.08005,1.08283
2024-01-02T06:00:00.000000Z,15374,1.08265,1.08314,1.08077,1.08079,1.08265,1.08314,1.08077,1.08079,1.08287,1.08339,1.081,1.08105
2024-01-02T10:00:00.000000Z,20580,1.0808,1.0827,1.08009,1.08125,1.0808,1.0827,1.08009,1.08125,1.08105,1.08298,1.08038,1.08153
2024-01-02T14:00:00.000000Z,25529,1.08132,1.0821,1.08056,1.08203,1.08132,1.0821,1.08056,1.08203,1.0816,1.08239,1.08082,1.08233
2024-01-02T18:00:00.000000Z,8415,1.08214,1.08224,1.08103,1.08138,1.08214,1.08224,1.08103,1.08138,1.08244,1.08252,1.08126,1.08188
2024-01-02T22:00:00.000000Z,10651,1.08075,1.08273,1.0798,1.07995,1.08075,1.08273,1.0798,1.07995,1.08325,1.08356,1.08006,1.08021
2024-01-03T02:00:00.000000Z,10747,1.07995,1.08003,1.0785,1.0787,1.07995,1.08003,1.0785,1.0787,1.08019,1.08026,1.07878,1.07895
2024-01-03T06:00:00.000000Z,16291,1.07868,1.07941,1.07787,1.07888,1.07868,1.07941,1.07787,1.07888,1.07895,1.07971,1.07817,1.07918
2024-01-03T10:00:00.000000Z,16129,1.07888,1.07919,1.0774,1.07894,1.07888,1.07919,1.0774,1.07894,1.07917,1.0794,1.07765,1.07919
2024-01-03T14:00:00.000000Z,27127,1.07894,1.07903,1.07675,1.07785,1.07894,1.07903,1.07675,1.07785,1.07921,1.07927,1.07722,1.07812
2024-01-03T18:00:00.000000Z,17509,1.07787,1.07802,1.07684,1.07756,1.07787,1.07802,1.07684,1.07756,1.07815,1.07848,1.07708,1.07795
2024-01-03T22:00:00.000000Z,11677,1.07589,1.07873,1.07588,1.07814,1.07589,1.07873,1.07588,1.07814,1.07785,1.07937,1.07683,1.07839
2024-01-04T02:00:00.000000Z,11952,1.07813,1.07815,1.07506,1.07619,1.07813,1.07815,1.07506,1.07619,1.07841,1.07841,1.07532,1.07646
2024-01-04T06:00:00.000000Z,18788,1.0762,1.07735,1.07534,1.07673,1.0762,1.07735,1.07534,1.07673,1.07646,1.0776,1.07563,1.077
2024-01-04T10:00:00.000000Z,17090,1.07673,1.07726,1.07615,1.07655,1.07673,1.07726,1.07615,1.07655,1.07701,1.07751,1.07642,1.07681
2024-01-04T14:00:00.000000Z,23103,1.07651,1.0769,1.07562,1.07648,1.07651,1.0769,1.07562,1.07648,1.0768,1.07715,1.07587,1.07675
2024-01-04T18:00:00.000000Z,9629,1.07635,1.07678,1.07543,1.07553,1.07635,1.07678,1.07543,1.07553,1.07664,1.07708,1.07569,1.07596
2024-01-04T22:00:00.000000Z,9171,1.07551,1.07657,1.07482,1.0756,1.07551,1.07657,1.07482,1.0756,1.07689,1.07769,1.0753,1.07591
2024-01-05T02:00:00.000000Z,9417,1.07562,1.07635,1.07518,1.07575,1.07562,1.07635,1.07518,1.07575,1.07592,1.07663,1.07545,1.07602
2024-01-05T06:00:00.000000Z,15739,1.07575,1.07643,1.07402,1.07443,1.07575,1.07643,1.07402,1.07443,1.07601,1.07671,1.07428,1.07472
2024-01-05T10:00:00.000000Z,21905,1.07441,1.0755,1.07247,1.07543,1.07441,1.0755,1.07247,1.07543,1.07471,1.07603,1.0737,1.0757
2024-01-05T14:00:00.000000Z,37109,1.07545,1.07592,1.0739,1.07477,1.07545,1.07592,1.0739,1.07477,1.07571,1.07683,1.07412,1.07503
2024-01-05T18:00:00.000000Z,8364,1.0748,1.07548,1.0745,1.07499,1.0748,1.07548,1.0745,1.07499,1.07509,1.07598,1.07477,1.07598
2024-01-07T22:00:00.000000Z,8127,1.07546,1.07583,1.07449,1.07545,1.07546,1.07583,1.07449,1.07545,1.07696,1.07789,1.07475,1.07573
2024-01-08T02:00:00.000000Z,10291,1.07547,1.07558,1.07395,1.07416,1.07547,1.07558,1.07395,1.07416,1.07572,1.07584,1.07424,1.07441
2024-01-08T06:00:00.000000Z,18487,1.07416,1.07537,1.07337,1.07436,1.07416,1.07537,1.07337,1.07436,1.07443,1.07568,1.07365,1.07463
2024-01-08T10:00:00.000000Z,15021,1.07433,1.07546,1.07418,1.07451,1.07433,1.07546,1.07418,1.07451,1.07461,1.07572,1.07444,1.07478
2024-01-08T14:00:00.000000Z,21781,1.07453,1.07517,1.07432,1.07466,1.07453,1.07517,1.07432,1.07466,1.07477,1.0754,1.07458,1.07493
2024-01-08T18:00:00.000000Z,6889,1.07493,1.07581,1.07453,1.07482,1.07493,1.07581,1.07453,1.07482,1.07515,1.07607,1.07476,1.07527
2024-01-08T22:00:00.000000Z,10057,1.07439,1.07581,1.07228,1.07492,1.07439,1.07581,1.07228,1.07492,1.07606,1.0768,1.0743,1.0752
2024-01-09T02:00:00.000000Z,10204,1.07496,1.07507,1.07406,1.07474,1.07496,1.07507,1.07406,1.07474,1.0752,1.0753,1.07433,1.07499
2024-01-09T06:00:00.000000Z,16862,1.07474,1.07492,1.0725,1.07284,1.07474,1.07492,1.0725,1.07284,1.07501,1.07517,1.07274,1.07312
2024-01-09T10:00:00.000000Z,15339,1.07287,1.07288,1.07206,1.07208,1.07287,1.07288,1.07206,1.07208,1.07313,1.07314,1.07233,1.07237
2024-01-09T14:00:00.000000Z,20774,1.07209,1.07253,1.07157,1.07217,1.07209,1.07253,1.07157,1.07217,1.07237,1.07279,1.07183,1.07244
2024-01-09T18:00:00.000000Z,10978,1.07223,1.07261,1.07099,1.07165,1.07223,1.07261,1.07099,1.07165,1.07251,1.07283,1.07125,1.07193
2024-01-09T22:00:00.000000Z,10702,1.07109,1.07339,1.07069,1.07324,1.07109,1.07339,1.07069,1.07324,1.07307,1.07366,1.07138,1.07353
2024-01-10T02:00:00.000000Z,9901,1.07321,1.07427,1.07313,1.07424,1.07321,1.07427,1.07313,1.07424,1.07349,1.07455,1.0734,1.07453
2024-01-10T06:00:00.000000Z,16516,1.07424,1.07436,1.0725,1.07386,1.07424,1.07436,1.0725,1.07386,1.07452,1.07457,1.07274,1.07414
2024-01-10T10:00:00.000000Z,12961,1.07382,1.07578,1.07366,1.07554,1.07382,1.07578,1.07366,1.07554,1.07409,1.07604,1.0739,1.07581
2024-01-10T14:00:00.000000Z,14702,1.07553,1.0757,1.07468,1.07513,1.07553,1.0757,1.07468,1.07513,1.07579,1.07593,1.0749,1.07538
2024-01-10T18:00:00.000000Z,11918,1.07518,1.07715,1.07514,1.07577,1.07518,1.07715,1.07514,1.07577,1.07543,1.0774,1.07538,1.07606
2024-01-10T22:00:00.000000Z,8419,1.07518,1.07644,1.07492,1.07631,1.07518,1.07644,1.07492,1.07631,1.07687,1.07699,1.07563,1.07657
2024-01-11T02:00:00.000000Z,9329,1.0763,1.07646,1.07454,1.07473,1.0763,1.07646,1.07454,1.07473,1.07655,1.07668,1.07477,1.07498
2024-01-11T06:00:00.000000Z,13552,1.07473,1.07485,1.07355,1.07417,1.07473,1.07485,1.07355,1.07417,1.07497,1.07512,1.07383,1.07441
2024-01-11T10:00:00.000000Z,21536,1.07416,1.07482,1.07233,1.07353,1.07416,1.07482,1.07233,1.07353,1.07441,1.07594,1.07255,1.07379
2024-01-11T14:00:00.000000Z,30550,1.07354,1.07393,1.07068,1.07096,1.07354,1.07393,1.07068,1.07096,1.07378,1.07417,1.07094,1.0712
2024-01-11T18:00:00.000000Z,15558,1.07137,1.0731,1.07121,1.07275,1.07137,1.0731,1.07121,1.07275,1.07161,1.07335,1.07146,1.07311
2024-01-11T22:00:00.000000Z,11264,1.07214,1.07392,1.0717,1.07336,1.07214,1.07392,1.0717,1.07336,1.07338,1.07423,1.07285,1.07365
2024-01-12T02:00:00.000000Z,10917,1.07335,1.07359,1.07232,1.07308,1.07335,1.07359,1.07232,1.07308,1.07361,1.07385,1.07258,1.07329
2024-01-12T06:00:00.000000Z,17104,1.07307,1.07384,1.07272,1.07299,1.07307,1.07384,1.07272,1.07299,1.0733,1.07407,1.07295,1.07327
2024-01-12T10:00:00.000000Z,19684,1.07297,1.07315,1.07095,1.07159,1.07297,1.07315,1.07095,1.07159,1.07326,1.07342,1.07128,1.07186
2024-01-12T14:00:00.000000Z,28007,1.0716,1.07241,1.07045,1.07085,1.0716,1.07241,1.07045,1.07085,1.07186,1.07265,1.07072,1.07111
2024-01-12T18:00:00.000000Z,7894,1.07094,1.07147,1.07029,1.07098,1.07094,1.07147,1.07029,1.07098,1.07121,1.0719,1.07052,1.07172
2024-01-14T22:00:00.000000Z,11797,1.07077,1.07412,1.06958,1.07378,1.07077,1.07412,1.06958,1.07378,1.07197,1.07438,1.07164,1.07407
2024-01-15T02:00:00.000000Z,9518,1.0738,1.0743,1.07344,1.07345,1.0738,1.0743,1.07344,1.07345,1.07407,1.07456,1.07371,1.07374
2024-01-15T06:00:00.000000Z,14979,1.07346,1.07625,1.07302,1.07588,1.07346,1.07625,1.07302,1.07588,1.07372,1.0765,1.07329,1.07615
2024-01-15T10:00:00.000000Z,14038,1.07587,1.07605,1.07443,1.07451,1.07587,1.07605,1.07443,1.07451,1.07613,1.07629,1.0747,1.07479
2024-01-15T14:00:00.000000Z,9782,1.07453,1.07504,1.07348,1.0736,1.07453,1.07504,1.07348,1.0736,1.07482,1.07529,1.07376,1.07383
2024-01-15T18:00:00.000000Z,1807,1.07371,1.07491,1.07364,1.07386,1.07371,1.07491,1.07364,1.07386,1.07402,1.0752,1.0739,1.07432
2024-01-15T22:00:00.000000Z,13956,1.07355,1.07507,1.07271,1.07351,1.07355,1.07507,1.07271,1.07351,1.07497,1.07544,1.07357,1.0738
2024-01-16T02:00:00.000000Z,13577,1.07352,1.07402,1.07228,1.07234,1.07352,1.07402,1.07228,1.07234,1.0738,1.0743,1.07254,1.07263
2024-01-16T06:00:00.000000Z,20664,1.07234,1.0734,1.07174,1.07215,1.07234,1.0734,1.07174,1.07215,1.07261,1.07364,1.07198,1.07242
2024-01-16T10:00:00.000000Z,20432,1.07217,1.07308,1.07156,1.07237,1.07217,1.07308,1.07156,1.07237,1.07242,1.07332,1.07183,1.0726
2024-01-16T14:00:00.000000Z,29173,1.07237,1.07336,1.07176,1.07317,1.07237,1.07336,1.07176,1.07317,1.07262,1.0736,1.072,1.07344
2024-01-16T18:00:00.000000Z,6836,1.07307,1.07376,1.07241,1.07246,1.07307,1.07376,1.07241,1.07246,1.0733,1.07399,1.07273,1.0729
2024-01-16T22:00:00.000000Z,9511,1.07241,1.07347,1.07133,1.0721,1.07241,1.07347,1.07133,1.0721,1.07296,1.07373,1.07217,1.07238
2024-01-17T02:00:00.000000Z,14107,1.0721,1.07221,1.07046,1.07113,1.0721,1.07221,1.07046,1.07113,1.07237,1.07246,1.07068,1.0714
2024-01-17T06:00:00.000000Z,23721,1.07115,1.07177,1.06982,1.07092,1.07115,1.07177,1.06982,1.07092,1.0714,1.07207,1.07003,1.07118
2024-01-17T10:00:00.000000Z,18038,1.07091,1.07223,1.0709,1.0721,1.07091,1.07223,1.0709,1.0721,1.07118,1.07248,1.07113,1.07237
2024-01-17T14:00:00.000000Z,20925,1.0721,1.07221,1.07113,1.07148,1.0721,1.07221,1.07113,1.07148,1.07236,1.07247,1.07137,1.07172
2024-01-17T18:00:00.000000Z,17749,1.0717,1.07228,1.07113,1.07127,1.0717,1.07228,1.07113,1.07127,1.07196,1.07252,1.07148,1.07161
2024-01-17T22:00:00.000000Z,11855,1.07094,1.07182,1.06902,1.06958,1.07094,1.07182,1.06902,1.06958,1.07176,1.07211,1.06922,1.06987
