time,volume,open,high,low,close,bid_open,bid_high,bid_low,bid_close,ask_open,ask_high,ask_low,ask_close
2024-01-01T22:00:00.000000Z,1,9.2661,9.2661,9.2661,9.2661,9.2661,9.2661,9.2661,9.2661,9.29299,9.29299,9.29299,9.29299
2024-01-01T22:30:00.000000Z,16,9.27853,9.27869,9.27828,9.27869,9.27853,9.27869,9.27828,9.27869,9.30903,9.30911,9.30753,9.30753
2024-01-01T23:00:00.000000Z,667,9.27691,9.28269,9.27355,9.27436,9.27691,9.28269,9.27355,9.27436,9.30741,9.30741,9.27986,9.2807
2024-01-01T23:30:00.000000Z,1178,9.27428,9.27779,9.26947,9.27369,9.27428,9.27779,9.26947,9.27369,9.2807,9.28288,9.27419,9.27848
2024-01-02T00:00:00.000000Z,1076,9.27356,9.27634,9.26924,9.26994,9.27356,9.27634,9.26924,9.26994,9.27841,9.2817,9.27207,9.27277
2024-01-02T00:30:00.000000Z,1433,9.26994,9.27526,9.26935,9.27344,9.26994,9.27526,9.26935,9.27344,9.27271,9.27813,9.27199,9.27623
2024-01-02T01:00:00.000000Z,1588,9.27341,9.2793,9.27105,9.27126,9.27341,9.2793,9.27105,9.27126,9.2759,9.28233,9.2733,9.27348
2024-01-02T01:30:00.000000Z,1044,9.27129,9.2746,9.26964,9.26995,9.27129,9.2746,9.26964,9.26995,9.2735,9.27662,9.27143,9.27173
2024-01-02T02:00:00.000000Z,1079,9.27008,9.27068,9.26381,9.26381,9.27008,9.27068,9.26381,9.26381,9.27189,9.27252,9.26611,9.26613
2024-01-02T02:30:00.000000Z,1400,9.2639,9.2641,9.24567,9.24574,9.2639,9.2641,9.24567,9.24574,9.26621,9.26622,9.24764,9.24781
2024-01-02T03:00:00.000000Z,1073,9.24574,9.25096,9.24529,9.24881,9.24574,9.25096,9.24529,9.24881,9.24778,9.25307,9.24729,9.25065
2024-01-02T03:30:00.000000Z,942,9.24872,9.2506,9.24794,9.25038,9.24872,9.2506,9.24794,9.25038,9.25067,9.25247,9.2499,9.25223
2024-01-02T04:00:00.000000Z,635,9.25053,9.25118,9.24413,9.2442,9.25053,9.25118,9.24413,9.2442,9.25223,9.25292,9.24613,9.24669
2024-01-02T04:30:00.000000Z,1027,9.2445,9.24608,9.23676,9.24114,9.2445,9.24608,9.23676,9.24114,9.24686,9.24885,9.23883,9.24324
2024-01-02T05:00:00.000000Z,1194,9.24121,9.24864,9.24121,9.24752,9.24121,9.24864,9.24121,9.24752,9.24334,9.25084,9.24324,9.2499
2024-01-02T05:30:00.000000Z,1315,9.24754,9.25639,9.2474,9.25569,9.24754,9.25639,9.2474,9.25569,9.2499,9.25844,9.24959,9.25777
2024-01-02T06:00:00.000000Z,1086,9.25569,9.25748,9.25255,9.25653,9.25569,9.25748,9.25255,9.25653,9.2579,9.25987,9.25442,9.25878
2024-01-02T06:30:00.000000Z,1203,9.25646,9.26364,9.24686,9.24737,9.25646,9.26364,9.24686,9.24737,9.25878,9.26552,9.24881,9.24943
