time,volume,open,high,low,close,bid_open,bid_high,bid_low,bid_close,ask_open,ask_high,ask_low,ask_close
2024-01-01T22:00:00.000000Z,105555,1.46123,1.46337,1.45486,1.45737,1.46123,1.46337,1.45486,1.45737,1.46365,1.4652,1.45505,1.45757
2024-01-02T22:00:00.000000Z,123973,1.45756,1.46113,1.45526,1.45823,1.45756,1.46113,1.45526,1.45823,1.45916,1.46132,1.45545,1.45849
2024-01-03T22:00:00.000000Z,112948,1.45703,1.46432,1.45583,1.46095,1.45703,1.46432,1.45583,1.46095,1.45986,1.46451,1.45603,1.4612
2024-01-04T22:00:00.000000Z,129861,1.45982,1.46444,1.45645,1.46155,1.45982,1.46444,1.45645,1.46155,1.46213,1.46461,1.45686,1.46209
2024-01-07T22:00:00.000000Z,88577,1.46144,1.46879,1.45996,1.46157,1.46144,1.46879,1.45996,1.46157,1.46217,1.46897,1.46143,1.46187
2024-01-08T22:00:00.000000Z,102316,1.46122,1.46768,1.46043,1.46357,1.46122,1.46768,1.46043,1.46357,1.46354,1.46786,1.46059,1.46379
2024-01-09T22:00:00.000000Z,87979,1.46265,1.46808,1.46199,1.46802,1.46265,1.46808,1.46199,1.46802,1.46421,1.46831,1.46252,1.4682
2024-01-10T22:00:00.000000Z,131569,1.46682,1.47192,1.46491,1.46964,1.46682,1.47192,1.46491,1.46964,1.46873,1.47212,1.46564,1.46993
2024-01-11T22:00:00.000000Z,113527,1.46848,1.47009,1.46264,1.46815,1.46848,1.47009,1.46264,1.46815,1.47038,1.47071,1.46281,1.46841
2024-01-14T22:00:00.000000Z,85829,1.46689,1.47244,1.46577,1.47,1.46689,1.47244,1.46577,1.47,1.46864,1.47262,1.4672,1.4704
2024-01-15T22:00:00.000000Z,144215,1.46963,1.47262,1.46341,1.46743,1.46963,1.47262,1.46341,1.46743,1.47067,1.47283,1.46364,1.46775
2024-01-16T22:00:00.000000Z,121869,1.4662,1.47159,1.46605,1.46948,1.4662,1.47159,1.46605,1.46948,1.46838,1.47176,1.46624,1.46972
2024-01-17T22:00:00.000000Z,122222,1.46945,1.47084,1.46509,1.46671,1.46945,1.47084,1.46509,1.46671,1.4709,1.47122,1.46532,1.46697
2024-01-18T22:00:00.000000Z,106092,1.46634,1.46866,1.463,1.46319,1.46634,1.46866,1.463,1.46319,1.4671,1.46883,1.46318,1.46358
2024-01-21T22:00:00.000000Z,92461,1.4623,1.46733,1.46057,1.4667,1.4623,1.46733,1.46057,1.4667,1.46511,1.46751,1.46075,1.46698
2024-01-22T22:00:00.000000Z,94230,1.46653,1.46928,1.45887,1.46085,1.46653,1.46928,1.45887,1.46085,1.46774,1.4695,1.45905,1.46124
2024-01-23T22:00:00.000000Z,105847,1.45932,1.47219,1.45922,1.47179,1.45932,1.47219,1.45922,1.47179,1.4614,1.47239,1.46091,1.47203
2024-01-24T22:00:00.000000Z,119531,1.47092,1.47348,1.46018,1.46138,1.47092,1.47348,1.46018,1.46138,1.47237,1.47369,1.46033,1.46168
2024-01-25T22:00:00.000000Z,88278,1.4607,1.46296,1.457,1.45972,1.4607,1.46296,1.457,1.45972,1.46209,1.46313,1.45722,1.46053
2024-01-28T22:00:00.000000Z,82027,1.45763,1.45947,1.4521,1.45309,1.45763,1.45947,1.4521,1.45309,1.46072,1.46195,1.45227,1.45344
2024-01-29T22:00:00.000000Z,86517,1.45299,1.45693,1.44981,1.45291,1.45299,1.45693,1.44981,1.45291,1.45481,1.4571,1.45001,1.45313
2024-01-30T22:00:00.000000Z,134391,1.4522,1.45723,1.44987,1.45322,1.4522,1.45723,1.44987,1.45322,1.45356,1.45741,1.45008,1.45348
2024-01-31T22:00:00.000000Z,126023,1.45309,1.4558,1.45025,1.45511,1.45309,1.4558,1.45025,1.45511,1.4542,1.45598,1.45042,1.4554
2024-02-01T22:00:00.000000Z,107970,1.45513,1.45698,1.45072,1.45237,1.45513,1.45698,1.45072,1.45237,1.45582,1.45714,1.45088,1.45297
2024-02-04T22:00:00.000000Z,110319,1.45149,1.45469,1.44936,1.45452,1.45149,1.45469,1.44936,1.45452,1.45308,1.45497,1.44954,1.45482
2024-02-05T22:00:00.000000Z,101583,1.45367,1.45476,1.44915,1.45085,1.45367,1.45476,1.44915,1.45085,1.45491,1.4556,1.4493,1.45112
2024-02-06T22:00:00.000000Z,104711,1.44986,1.45242,1.4482,1.45018,1.44986,1.45242,1.4482,1.45018,1.45138,1.45261,1.44836,1.45047
2024-02-07T22:00:00.000000Z,107026,1.4495,1.45195,1.44812,1.4504,1.4495,1.45195,1.44812,1.4504,1.45121,1.45213,1.44831,1.45072
2024-02-08T22:00:00.000000Z,89228,1.44964,1.45343,1.44575,1.4514,1.44964,1.45343,1.44575,1.4514,1.45208,1.45359,1.44641,1.45213
2024-02-11T22:00:00.000000Z,75604,1.45079,1.45337,1.44717,1.44875,1.45079,1.45337,1.44717,1.44875,1.45337,1.45378,1.44733,1.44903
2024-02-12T22:00:00.000000Z,107380,1.44866,1.45522,1.44545,1.4525,1.44866,1.45522,1.44545,1.4525,1.44992,1.45541,1.44699,1.45278
2024-02-13T22:00:00.000000Z,103453,1.45198,1.45487,1.44779,1.45271,1.45198,1.45487,1.44779,1.45271,1.45416,1.45506,1.44796,1.45314
2024-02-14T22:00:00.000000Z,105518,1.45211,1.45611,1.4502,1.45023,1.45211,1.45611,1.4502,1.45023,1.45364,1.45637,1.45035,1.45051
2024-02-15T22:00:00.000000Z,101569,1.44961,1.45404,1.44899,1.453,1.44961,1.45404,1.44899,1.453,1.45065,1.45419,1.44916,1.45355
2024-02-18T22:00:00.000000Z,63679,1.45116,1.45448,1.45091,1.45382,1.45116,1.45448,1.45091,1.45382,1.45433,1.45464,1.45106,1.45447
2024-02-19T22:00:00.000000Z,103447,1.45333,1.46471,1.45227,1.46138,1.45333,1.46471,1.45227,1.46138,1.45466,1.4649,1.45363,1.46174
2024-02-20T22:00:00.000000Z,104876,1.46127,1.46236,1.4596,1.46096,1.46127,1.46236,1.4596,1.46096,1.46222,1.4625,1.45982,1.46125
2024-02-21T22:00:00.000000Z,129452,1.4604,1.46399,1.4576,1.45904,1.4604,1.46399,1.4576,1.45904,1.46155,1.46429,1.4578,1.45928
2024-02-22T22:00:00.000000Z,106577,1.45896,1.46262,1.45776,1.46163,1.45896,1.46262,1.45776,1.46163,1.45972,1.46277,1.45791,1.46201
2024-02-25T22:00:00.000000Z,95257,1.46091,1.46777,1.45918,1.46538,1.46091,1.46777,1.45918,1.46538,1.46252,1.46792,1.46122,1.46558
2024-02-26T22:00:00.000000Z,98305,1.46487,1.46893,1.46294,1.46706,1.46487,1.46893,1.46294,1.46706,1.46581,1.4691,1.46311,1.46729
2024-02-27T22:00:00.000000Z,108020,1.46623,1.47188,1.46611,1.4715,1.46623,1.47188,1.46611,1.4715,1.4677,1.47206,1.46627,1.47176
2024-02-28T22:00:00.000000Z,137844,1.47119,1.47472,1.46559,1.46707,1.47119,1.47472,1.46559,1.46707,1.47243,1.4749,1.46577,1.46739
2024-02-29T22:00:00.000000Z,111037,1.46532,1.47031,1.46523,1.46953,1.46532,1.47031,1.46523,1.46953,1.46747,1.4705,1.4661,1.47023
2024-03-03T22:00:00.000000Z,94825,1.4677,1.47462,1.4677,1.47346,1.4677,1.47462,1.4677,1.47346,1.4705,1.47479,1.46921,1.47366
2024-03-04T22:00:00.000000Z,102670,1.47278,1.4762,1.47174,1.47553,1.47278,1.4762,1.47174,1.47553,1.47413,1.47636,1.47196,1.47569
2024-03-05T22:00:00.000000Z,115876,1.47563,1.47792,1.47213,1.47268,1.47563,1.47792,1.47213,1.47268,1.47643,1.47811,1.4723,1.47293
2024-03-06T22:00:00.000000Z,123895,1.47197,1.47397,1.4657,1.47342,1.47197,1.47397,1.4657,1.47342,1.47436,1.47436,1.4659,1.47363
2024-03-07T22:00:00.000000Z,127756,1.47262,1.47609,1.46807,1.47499,1.47262,1.47609,1.46807,1.47499,1.47433,1.47624,1.46821,1.47561
