time,volume,open,high,low,close,bid_open,bid_high,bid_low,bid_close,ask_open,ask_high,ask_low,ask_close
2024-01-01T22:00:00.000000Z,25586,7.45353,7.45655,7.45305,7.4533,7.45353,7.45655,7.45305,7.4533,7.45667,7.45792,7.45433,7.45583
2024-01-02T22:00:00.000000Z,28847,7.45437,7.45852,7.45407,7.45713,7.45437,7.45852,7.45407,7.45713,7.45615,7.45977,7.45615,7.45866
2024-01-03T22:00:00.000000Z,20430,7.45713,7.45934,7.45169,7.45621,7.45713,7.45934,7.45169,7.45621,7.45866,7.46069,7.4568,7.45782
2024-01-04T22:00:00.000000Z,26507,7.45687,7.45877,7.45519,7.45626,7.45687,7.45877,7.45519,7.45626,7.45835,7.46006,7.45706,7.45909
2024-01-07T22:00:00.000000Z,17131,7.45665,7.46098,7.45529,7.45738,7.45665,7.46098,7.45529,7.45738,7.45877,7.46217,7.45722,7.45953
2024-01-08T22:00:00.000000Z,18399,7.45665,7.45805,7.45601,7.45687,7.45665,7.45805,7.45601,7.45687,7.45827,7.45925,7.45719,7.45882
2024-01-09T22:00:00.000000Z,12965,7.45667,7.45785,7.45558,7.45714,7.45667,7.45785,7.45558,7.45714,7.45828,7.45907,7.45685,7.45853
2024-01-10T22:00:00.000000Z,21985,7.45707,7.45767,7.45455,7.45455,7.45707,7.45767,7.45455,7.45455,7.45857,7.45922,7.45581,7.45783
2024-01-11T22:00:00.000000Z,19282,7.4558,7.45782,7.45435,7.45598,7.4558,7.45782,7.45435,7.45598,7.45783,7.45941,7.45684,7.45932
2024-01-14T22:00:00.000000Z,20775,7.45565,7.45902,7.45459,7.45777,7.45565,7.45902,7.45459,7.45777,7.45891,7.46224,7.45727,7.46002
2024-01-15T22:00:00.000000Z,11258,7.45787,7.459,7.45659,7.45758,7.45787,7.459,7.45659,7.45758,7.45985,7.46035,7.45775,7.45908
2024-01-16T22:00:00.000000Z,11298,7.45745,7.45825,7.45579,7.45726,7.45745,7.45825,7.45579,7.45726,7.4593,7.45956,7.45735,7.45863
2024-01-17T22:00:00.000000Z,12052,7.45741,7.45811,7.45441,7.45453,7.45741,7.45811,7.45441,7.45453,7.45888,7.4594,7.45571,7.45658
2024-01-18T22:00:00.000000Z,10586,7.45454,7.4579,7.45432,7.45711,7.45454,7.4579,7.45432,7.45711,7.45677,7.45941,7.45625,7.45891
2024-01-21T22:00:00.000000Z,7092,7.45608,7.45837,7.45418,7.45766,7.45608,7.45837,7.45418,7.45766,7.45845,7.45959,7.45802,7.45904
2024-01-22T22:00:00.000000Z,9819,7.45685,7.45824,7.45426,7.45521,7.45685,7.45824,7.45426,7.45521,7.45875,7.46042,7.45587,7.45696
2024-01-23T22:00:00.000000Z,14379,7.45529,7.45702,7.45439,7.45549,7.45529,7.45702,7.45439,7.45549,7.45694,7.45825,7.45576,7.4569
2024-01-24T22:00:00.000000Z,12200,7.45525,7.45637,7.45299,7.4536,7.45525,7.45637,7.45299,7.4536,7.45688,7.45754,7.45415,7.45498
2024-01-25T22:00:00.000000Z,9173,7.45356,7.4552,7.45308,7.45365,7.45356,7.4552,7.45308,7.45365,7.45514,7.4564,7.45423,7.4558
2024-01-28T22:00:00.000000Z,18816,7.45375,7.45451,7.45276,7.45321,7.45375,7.45451,7.45276,7.45321,7.45583,7.45626,7.454,7.45476
2024-01-29T22:00:00.000000Z,13227,7.45322,7.45495,7.45272,7.45352,7.45322,7.45495,7.45272,7.45352,7.45528,7.45642,7.45401,7.45492
2024-01-30T22:00:00.000000Z,23268,7.45335,7.45572,7.45257,7.45402,7.45335,7.45572,7.45257,7.45402,7.45493,7.45687,7.4538,7.45553
2024-01-31T22:00:00.000000Z,19162,7.45338,7.45506,7.45254,7.45351,7.45338,7.45506,7.45254,7.45351,7.45531,7.4562,7.4537,7.45509
2024-02-01T22:00:00.000000Z,17316,7.45305,7.45459,7.45225,7.45263,7.45305,7.45459,7.45225,7.45263,7.45513,7.45573,7.45342,7.45529
2024-02-04T22:00:00.000000Z,12315,7.45255,7.45906,7.45219,7.45768,7.45255,7.45906,7.45219,7.45768,7.45489,7.46026,7.45425,7.4591
2024-02-05T22:00:00.000000Z,9566,7.45619,7.46069,7.45535,7.45917,7.45619,7.46069,7.45535,7.45917,7.4586,7.46189,7.45739,7.46073
2024-02-06T22:00:00.000000Z,10159,7.45817,7.46046,7.45546,7.4568,7.45817,7.46046,7.45546,7.4568,7.46025,7.46166,7.45657,7.45813
2024-02-07T22:00:00.000000Z,9054,7.45645,7.45736,7.45316,7.45363,7.45645,7.45736,7.45316,7.45363,7.45804,7.46014,7.4543,7.45496
2024-02-08T22:00:00.000000Z,10648,7.45385,7.45534,7.45248,7.45451,7.45385,7.45534,7.45248,7.45451,7.45545,7.45655,7.45372,7.4559
2024-02-11T22:00:00.000000Z,7928,7.45435,7.45519,7.45244,7.45294,7.45435,7.45519,7.45244,7.45294,7.45609,7.4564,7.45368,7.45417
2024-02-12T22:00:00.000000Z,9882,7.45322,7.45471,7.45224,7.45324,7.45322,7.45471,7.45224,7.45324,7.45529,7.45659,7.45394,7.45478
2024-02-13T22:00:00.000000Z,9885,7.45305,7.45507,7.45286,7.4539,7.45305,7.45507,7.45286,7.4539,7.45488,7.45627,7.45409,7.45518
2024-02-14T22:00:00.000000Z,7539,7.45376,7.45539,7.45322,7.45413,7.45376,7.45539,7.45322,7.45413,7.45539,7.4565,7.45471,7.4557
2024-02-15T22:00:00.000000Z,6258,7.4538,7.45513,7.45285,7.45376,7.4538,7.45513,7.45285,7.45376,7.45569,7.4565,7.45446,7.45538
2024-02-18T22:00:00.000000Z,8418,7.45343,7.45478,7.45311,7.45343,7.45343,7.45478,7.45311,7.45343,7.45576,7.45686,7.45456,7.45478
2024-02-19T22:00:00.000000Z,7560,7.4536,7.45516,7.4529,7.45403,7.4536,7.45516,7.4529,7.45403,7.4552,7.45641,7.45413,7.4554
2024-02-20T22:00:00.000000Z,11263,7.45391,7.45448,7.45311,7.45355,7.45391,7.45448,7.45311,7.45355,7.45554,7.4568,7.45435,7.45486
2024-02-21T22:00:00.000000Z,8328,7.45335,7.45425,7.45281,7.45338,7.45335,7.45425,7.45281,7.45338,7.45499,7.4561,7.45416,7.4548
2024-02-22T22:00:00.000000Z,6417,7.45337,7.45459,7.4527,7.45345,7.45337,7.45459,7.4527,7.45345,7.45486,7.45672,7.45442,7.45513
2024-02-25T22:00:00.000000Z,8441,7.45325,7.45418,7.45282,7.45322,7.45325,7.45418,7.45282,7.45322,7.45508,7.45592,7.45434,7.45461
2024-02-26T22:00:00.000000Z,7439,7.45335,7.45464,7.4529,7.45322,7.45335,7.45464,7.4529,7.45322,7.45499,7.4561,7.45407,7.45449
2024-02-27T22:00:00.000000Z,5785,7.4535,7.45392,7.45272,7.45289,7.4535,7.45392,7.45272,7.45289,7.45487,7.45525,7.45387,7.45432
2024-02-28T22:00:00.000000Z,7927,7.45315,7.45376,7.45269,7.45315,7.45315,7.45376,7.45269,7.45315,7.45468,7.45494,7.45402,7.45458
2024-02-29T22:00:00.000000Z,6092,7.4528,7.45413,7.45236,7.45272,7.4528,7.45413,7.45236,7.45272,7.45448,7.45867,7.45349,7.45505
2024-03-03T22:00:00.000000Z,6335,7.45314,7.45386,7.45224,7.45272,7.45314,7.45386,7.45224,7.45272,7.45525,7.45556,7.4535,7.45413
2024-03-04T22:00:00.000000Z,6092,7.45263,7.45375,7.45258,7.45297,7.45263,7.45375,7.45258,7.45297,7.45428,7.45502,7.4539,7.45443
2024-03-05T22:00:00.000000Z,8737,7.45305,7.45415,7.45291,7.45388,7.45305,7.45415,7.45291,7.45388,7.4548,7.45687,7.45415,7.4552
2024-03-06T22:00:00.000000Z,7260,7.45402,7.45476,7.45215,7.45256,7.45402,7.45476,7.45215,7.45256,7.45608,7.45685,7.45341,7.45414
2024-03-07T22:00:00.000000Z,11274,7.45294,7.45475,7.45224,7.45305,7.45294,7.45475,7.45224,7.45305,7.4548,7.45715,7.45362,7.45497
2024-03-10T21:00:00.000000Z,7543,7.4534,7.45588,7.45295,7.45528,7.4534,7.45588,7.45295,7.45528,7.45625,7.45715,7.45505,7.45664
2024-03-11T21:00:00.000000Z,7667,7.45545,7.45676,7.45486,7.45586,7.45545,7.45676,7.45486,7.45586,7.45704,7.45793,7.45605,7.45724
2024-03-12T21:00:00.000000Z,7238,7.45555,7.45708,7.45519,7.45557,7.45555,7.45708,7.45519,7.45557,7.45725,7.45822,7.45638,7.45693
2024-03-13T21:00:00.000000Z,5973,7.45552,7.45711,7.45464,7.45532,7.45552,7.45711,7.45464,7.45532,7.45704,7.45829,7.45575,7.45653
