time,volume,open,high,low,close,bid_open,bid_high,bid_low,bid_close,ask_open,ask_high,ask_low,ask_close
2024-01-01T22:00:00.000000Z,119,8.62031,8.62141,8.61851,8.61968,8.62031,8.62141,8.61851,8.61968,8.63721,8.63838,8.62924,8.63132
2024-01-01T23:00:00.000000Z,811,8.61994,8.62079,8.61534,8.61824,8.61994,8.62079,8.61534,8.61824,8.6312,8.6312,8.6209,8.62189
2024-01-02T00:00:00.000000Z,1347,8.61818,8.62662,8.6172,8.6248,8.61818,8.62662,8.6172,8.6248,8.6218,8.62896,8.61952,8.62701
2024-01-02T01:00:00.000000Z,2398,8.6246,8.6282,8.61905,8.61956,8.6246,8.6282,8.61905,8.61956,8.62685,8.63011,8.62036,8.62091
2024-01-02T02:00:00.000000Z,2007,8.61958,8.6201,8.606,8.60626,8.61958,8.6201,8.606,8.60626,8.62097,8.62159,8.6074,8.60775
2024-01-02T03:00:00.000000Z,1186,8.60635,8.61086,8.60545,8.61073,8.60635,8.61086,8.60545,8.61073,8.60789,8.61242,8.60701,8.61224
2024-01-02T04:00:00.000000Z,1151,8.61079,8.61161,8.60497,8.60958,8.61079,8.61161,8.60497,8.60958,8.61233,8.6131,8.60648,8.6111
2024-01-02T05:00:00.000000Z,1221,8.6096,8.61884,8.60957,8.61866,8.6096,8.61884,8.60957,8.61866,8.61121,8.62074,8.61097,8.6205
2024-01-02T06:00:00.000000Z,1383,8.61866,8.6209,8.61463,8.61598,8.61866,8.6209,8.61463,8.61598,8.62055,8.62228,8.61623,8.61759
2024-01-02T07:00:00.000000Z,3416,8.61597,8.62432,8.60663,8.60679,8.61597,8.62432,8.60663,8.60679,8.61756,8.62571,8.6082,8.6085
2024-01-02T08:00:00.000000Z,4535,8.60704,8.624,8.60704,8.61838,8.60704,8.624,8.60704,8.61838,8.6088,8.62545,8.6088,8.62031
2024-01-02T09:00:00.000000Z,3934,8.61803,8.62471,8.60313,8.60725,8.61803,8.62471,8.60313,8.60725,8.62006,8.62634,8.60472,8.60882
2024-01-02T10:00:00.000000Z,3708,8.60725,8.6088,8.5936,8.60102,8.60725,8.6088,8.5936,8.60102,8.60875,8.61041,8.59514,8.60254
2024-01-02T11:00:00.000000Z,4454,8.60069,8.60111,8.56977,8.57115,8.60069,8.60111,8.56977,8.57115,8.60222,8.60265,8.57122,8.57265
2024-01-02T12:00:00.000000Z,3883,8.57128,8.5733,8.55862,8.55891,8.57128,8.5733,8.55862,8.55891,8.57275,8.57504,8.56011,8.5603
2024-01-02T13:00:00.000000Z,5579,8.5588,8.5678,8.5555,8.5582,8.5588,8.5678,8.5555,8.5582,8.56021,8.56944,8.55684,8.55976
2024-01-02T14:00:00.000000Z,6676,8.5581,8.5668,8.55187,8.5659,8.5581,8.5668,8.55187,8.5659,8.55968,8.56879,8.55332,8.5674
2024-01-02T15:00:00.000000Z,7675,8.5658,8.56986,8.55057,8.55246,8.5658,8.56986,8.55057,8.55246,8.56728,8.57141,8.55213,8.55388
2024-01-02T16:00:00.000000Z,4607,8.55253,8.56611,8.54999,8.56202,8.55253,8.56611,8.54999,8.56202,8.55395,8.56756,8.55144,8.56359
2024-01-02T17:00:00.000000Z,2813,8.56194,8.5629,8.5536,8.5573,8.56194,8.5629,8.5536,8.5573,8.56359,8.56449,8.5552,8.55877
2024-01-02T18:00:00.000000Z,2370,8.55724,8.56152,8.55419,8.55476,8.55724,8.56152,8.55419,8.55476,8.55877,8.5631,8.5557,8.55618
2024-01-02T19:00:00.000000Z,1992,8.55471,8.55718,8.55103,8.55451,8.55471,8.55718,8.55103,8.55451,8.55608,8.5586,8.5525,8.556
2024-01-02T20:00:00.000000Z,2094,8.55443,8.55837,8.55097,8.5517,8.55443,8.55837,8.55097,8.5517,8.556,8.55978,8.55249,8.55318
2024-01-02T21:00:00.000000Z,1091,8.55168,8.552,8.54834,8.54969,8.55168,8.552,8.54834,8.54969,8.55321,8.55376,8.5499,8.55252
2024-01-02T22:00:00.000000Z,552,8.54601,8.55087,8.5447,8.54924,8.54601,8.55087,8.5447,8.54924,8.56238,8.56238,8.55154,8.5539
2024-01-02T23:00:00.000000Z,974,8.54929,8.55266,8.54913,8.55003,8.54929,8.55266,8.54913,8.55003,8.5539,8.5574,8.55152,8.55201
2024-01-03T00:00:00.000000Z,1243,8.55008,8.5568,8.5495,8.55526,8.55008,8.5568,8.5495,8.55526,8.55201,8.55902,8.55135,8.55684
