time,volume,open,high,low,close,bid_open,bid_high,bid_low,bid_close,ask_open,ask_high,ask_low,ask_close
2024-01-01T22:00:00.000000Z,1,383.175,383.175,383.175,383.175,383.175,383.175,383.175,383.175,383.865,383.865,383.865,383.865
2024-01-01T23:00:00.000000Z,11,380.934,381.023,380.934,381.021,380.934,381.023,380.934,381.021,383.891,384.023,383.854,384.021
2024-01-02T00:00:00.000000Z,1276,381.605,383.105,381.589,383.026,381.605,383.105,381.589,383.026,384.128,384.571,383.454,383.688
2024-01-02T01:00:00.000000Z,2732,382.993,383.085,382.92,382.995,382.993,383.085,382.92,382.995,383.688,383.688,383.215,383.485
2024-01-02T02:00:00.000000Z,1700,382.995,383.255,382.885,383.245,382.995,383.255,382.885,383.245,383.503,383.754,383.155,383.728
2024-01-02T03:00:00.000000Z,833,383.255,383.405,383.245,383.325,383.255,383.405,383.245,383.325,383.786,383.949,383.495,383.857
2024-01-02T04:00:00.000000Z,537,383.345,383.475,383.285,383.455,383.345,383.475,383.285,383.455,383.875,384.005,383.505,383.955
2024-01-02T05:00:00.000000Z,1122,383.475,383.485,383.235,383.305,383.475,383.485,383.235,383.305,383.952,383.985,383.585,383.855
2024-01-02T06:00:00.000000Z,2148,383.325,383.415,383.049,383.185,383.325,383.415,383.049,383.185,383.875,383.895,383.395,383.575
2024-01-02T07:00:00.000000Z,1492,383.155,383.195,381.796,382.141,383.155,383.195,381.796,382.141,383.585,383.645,382.171,382.375
2024-01-02T08:00:00.000000Z,1777,382.141,382.955,381.957,382.555,382.141,382.955,381.957,382.555,382.365,383.242,382.265,382.889
2024-01-02T09:00:00.000000Z,1639,382.561,382.609,382.025,382.067,382.561,382.609,382.025,382.067,382.884,382.925,382.277,382.297
2024-01-02T10:00:00.000000Z,2130,382.038,382.066,380.895,381.375,382.038,382.066,380.895,381.375,382.297,382.345,381.185,381.611
2024-01-02T11:00:00.000000Z,2334,381.375,382.429,381.255,382.024,381.375,382.429,381.255,382.024,381.605,382.699,381.505,382.354
2024-01-02T12:00:00.000000Z,2521,382.012,382.518,381.926,382.335,382.012,382.518,381.926,382.335,382.345,382.778,382.176,382.571
2024-01-02T13:00:00.000000Z,1843,382.335,382.375,381.555,381.761,382.335,382.375,381.555,381.761,382.601,382.647,381.845,381.999
2024-01-02T14:00:00.000000Z,2563,381.761,381.928,381.206,381.33,381.761,381.928,381.206,381.33,381.995,382.165,381.552,381.595
2024-01-02T15:00:00.000000Z,2237,381.33,381.537,380.835,381.302,381.33,381.537,380.835,381.302,381.605,381.805,381.083,381.505
2024-01-02T16:00:00.000000Z,2556,381.301,381.74,381.135,381.437,381.301,381.74,381.135,381.437,381.505,382.084,381.425,381.789
2024-01-02T17:00:00.000000Z,2975,381.437,381.716,381.355,381.655,381.437,381.716,381.355,381.655,381.805,382.005,381.605,381.935
2024-01-02T18:00:00.000000Z,883,381.645,381.645,381.405,381.575,381.645,381.645,381.405,381.575,381.935,381.935,381.712,381.933
2024-01-02T19:00:00.000000Z,344,381.575,381.798,381.575,381.772,381.575,381.798,381.575,381.772,381.915,382.125,381.895,382.125
2024-01-02T20:00:00.000000Z,392,381.777,381.805,381.71,381.733,381.777,381.805,381.71,381.733,382.125,382.191,382.015,382.174
