time,volume,open,high,low,close,bid_open,bid_high,bid_low,bid_close,ask_open,ask_high,ask_low,ask_close
2024-01-01T22:00:00.000000Z,22203,4.34002,4.3706,4.3344,4.3699,4.34002,4.3706,4.3344,4.3699,4.35,4.373,4.33611,4.373
2024-01-02T22:00:00.000000Z,31861,4.37071,4.37344,4.34787,4.3532,4.37071,4.37344,4.34787,4.3532,4.375,4.3795,4.3498,4.3565
2024-01-03T22:00:00.000000Z,27550,4.3504,4.35461,4.3401,4.3425,4.3504,4.35461,4.3401,4.3425,4.3565,4.3611,4.3419,4.3479
2024-01-04T22:00:00.000000Z,42106,4.339,4.3631,4.3368,4.3483,4.339,4.3631,4.3368,4.3483,4.34906,4.36797,4.34008,4.354
2024-01-07T22:00:00.000000Z,33390,4.3384,4.35894,4.3298,4.3325,4.3384,4.35894,4.3298,4.3325,4.3595,4.3609,4.33177,4.3364
2024-01-08T22:00:00.000000Z,27692,4.333,4.3515,4.3218,4.34743,4.333,4.3515,4.3218,4.34743,4.344,4.35332,4.3316,4.35133
2024-01-09T22:00:00.000000Z,18756,4.3372,4.3503,4.3316,4.3353,4.3372,4.3503,4.3316,4.3353,4.3505,4.35862,4.3379,4.3386
2024-01-10T22:00:00.000000Z,28796,4.3335,4.35803,4.3294,4.34921,4.3335,4.35803,4.3294,4.34921,4.3413,4.36175,4.3343,4.35273
2024-01-11T22:00:00.000000Z,28932,4.3446,4.3641,4.342,4.355,4.3446,4.3641,4.342,4.355,4.358,4.36617,4.3487,4.3608
2024-01-14T22:00:00.000000Z,27616,4.35031,4.37684,4.35029,4.3653,4.35031,4.37684,4.35029,4.3653,4.362,4.3788,4.35676,4.3692
2024-01-15T22:00:00.000000Z,32814,4.3645,4.3964,4.3583,4.3897,4.3645,4.3964,4.3583,4.3897,4.3689,4.39782,4.3689,4.394
2024-01-16T22:00:00.000000Z,38834,4.38573,4.41122,4.3833,4.3949,4.38573,4.41122,4.3833,4.3949,4.39521,4.4133,4.38542,4.3989
2024-01-17T22:00:00.000000Z,39973,4.391,4.4096,4.3835,4.384,4.391,4.4096,4.3835,4.384,4.397,4.4116,4.385,4.3864
