time,volume,open,high,low,close,bid_open,bid_high,bid_low,bid_close,ask_open,ask_high,ask_low,ask_close
2024-01-01T22:00:00.000000Z,93,1.10416,1.10432,1.10407,1.10424,1.10416,1.10432,1.10407,1.10424,1.10465,1.1047,1.10456,1.10464
2024-01-01T22:30:00.000000Z,95,1.10423,1.10444,1.10417,1.10438,1.10423,1.10444,1.10417,1.10438,1.10464,1.10477,1.10441,1.10462
2024-01-01T23:00:00.000000Z,447,1.10434,1.10436,1.10363,1.1037,1.10434,1.10436,1.10363,1.1037,1.10457,1.10459,1.1038,1.10386
2024-01-01T23:30:00.000000Z,571,1.1037,1.10378,1.10349,1.10359,1.1037,1.10378,1.10349,1.10359,1.10386,1.10394,1.10364,1.10376
2024-01-02T00:00:00.000000Z,655,1.10359,1.10373,1.10335,1.1034,1.10359,1.10373,1.10335,1.1034,1.10375,1.10388,1.1035,1.10357
2024-01-02T00:30:00.000000Z,673,1.10339,1.10378,1.10338,1.10375,1.10339,1.10378,1.10338,1.10375,1.10355,1.10393,1.10353,1.10392
2024-01-02T01:00:00.000000Z,1296,1.10372,1.10425,1.10369,1.10389,1.10372,1.10425,1.10369,1.10389,1.10388,1.10442,1.10384,1.10403
2024-01-02T01:30:00.000000Z,1139,1.10386,1.10395,1.10335,1.10343,1.10386,1.10395,1.10335,1.10343,1.10402,1.1041,1.1035,1.10357
2024-01-02T02:00:00.000000Z,782,1.10344,1.10352,1.10254,1.10254,1.10344,1.10352,1.10254,1.10254,1.10358,1.10366,1.10269,1.10269
2024-01-02T02:30:00.000000Z,1186,1.10257,1.10261,1.10176,1.10181,1.10257,1.10261,1.10176,1.10181,1.10271,1.10275,1.10192,1.10198
2024-01-02T03:00:00.000000Z,798,1.10181,1.10233,1.10172,1.10207,1.10181,1.10233,1.10172,1.10207,1.10197,1.10249,1.10187,1.10221
2024-01-02T03:30:00.000000Z,566,1.1021,1.10241,1.10202,1.10239,1.1021,1.10241,1.10202,1.10239,1.10225,1.10257,1.10216,1.10255
