time,volume,open,high,low,close,bid_open,bid_high,bid_low,bid_close,ask_open,ask_high,ask_low,ask_close
2024-01-01T22:00:00.000000Z,8366,1.68156,1.68653,1.68156,1.68428,1.68156,1.68653,1.68156,1.68428,1.68507,1.68846,1.68405,1.68457
2024-01-02T02:00:00.000000Z,11266,1.68429,1.68703,1.68421,1.68579,1.68429,1.68703,1.68421,1.68579,1.68457,1.68732,1.68448,1.68609
2024-01-02T06:00:00.000000Z,19930,1.68579,1.68912,1.68525,1.68538,1.68579,1.68912,1.68525,1.68538,1.68605,1.68934,1.68545,1.68558
2024-01-02T10:00:00.000000Z,27771,1.68537,1.68574,1.67865,1.67955,1.68537,1.68574,1.67865,1.67955,1.68558,1.68598,1.6789,1.67981
2024-01-02T14:00:00.000000Z,36475,1.67954,1.6839,1.67913,1.68069,1.67954,1.6839,1.67913,1.68069,1.67979,1.68413,1.6794,1.68093
2024-01-02T18:00:00.000000Z,11477,1.68069,1.68286,1.68042,1.68087,1.68069,1.68286,1.68042,1.68087,1.68092,1.68309,1.68067,1.68114
2024-01-02T22:00:00.000000Z,11938,1.68034,1.68316,1.68012,1.68286,1.68034,1.68316,1.68012,1.68286,1.68182,1.68344,1.6811,1.68313
2024-01-03T02:00:00.000000Z,21456,1.68288,1.68474,1.68282,1.6832,1.68288,1.68474,1.68282,1.6832,1.68316,1.68498,1.68308,1.68346
2024-01-03T06:00:00.000000Z,27718,1.6832,1.6859,1.68248,1.68261,1.6832,1.6859,1.68248,1.68261,1.68345,1.68613,1.68273,1.68286
2024-01-03T10:00:00.000000Z,21432,1.68261,1.68807,1.68215,1.68749,1.68261,1.68807,1.68215,1.68749,1.68287,1.6883,1.68239,1.68773
2024-01-03T14:00:00.000000Z,35733,1.6875,1.68952,1.68527,1.68939,1.6875,1.68952,1.68527,1.68939,1.68775,1.68976,1.68552,1.68962
2024-01-03T18:00:00.000000Z,24749,1.68937,1.69233,1.68858,1.6909,1.68937,1.69233,1.68858,1.6909,1.68958,1.69258,1.68881,1.69118
2024-01-03T22:00:00.000000Z,13108,1.69033,1.69169,1.68973,1.68983,1.69033,1.69169,1.68973,1.68983,1.69265,1.69314,1.69,1.69007
2024-01-04T02:00:00.000000Z,17935,1.68984,1.6905,1.68928,1.6894,1.68984,1.6905,1.68928,1.6894,1.69007,1.69076,1.68954,1.68963
2024-01-04T06:00:00.000000Z,29545,1.68937,1.69505,1.68878,1.69467,1.68937,1.69505,1.68878,1.69467,1.68963,1.6953,1.68905,1.69492
2024-01-04T10:00:00.000000Z,28389,1.69461,1.69598,1.69108,1.69258,1.69461,1.69598,1.69108,1.69258,1.69492,1.69624,1.69172,1.69284
2024-01-04T14:00:00.000000Z,31198,1.69257,1.69694,1.69074,1.6937,1.69257,1.69694,1.69074,1.6937,1.69284,1.6972,1.69096,1.69394
2024-01-04T18:00:00.000000Z,12692,1.69374,1.69417,1.69215,1.69291,1.69374,1.69417,1.69215,1.69291,1.694,1.69437,1.69248,1.69319
2024-01-04T22:00:00.000000Z,9173,1.69139,1.6947,1.69139,1.69449,1.69139,1.6947,1.69139,1.69449,1.69419,1.69573,1.6934,1.69472
2024-01-05T02:00:00.000000Z,16479,1.69452,1.6948,1.69336,1.69343,1.69452,1.6948,1.69336,1.69343,1.69474,1.69502,1.69366,1.6937
2024-01-05T06:00:00.000000Z,23071,1.69342,1.69516,1.69158,1.69282,1.69342,1.69516,1.69158,1.69282,1.6937,1.69537,1.6918,1.69302
2024-01-05T10:00:00.000000Z,29427,1.69285,1.69386,1.68835,1.6909,1.69285,1.69386,1.68835,1.6909,1.69306,1.69436,1.68929,1.69112
2024-01-05T14:00:00.000000Z,57890,1.69088,1.70147,1.69035,1.6974,1.69088,1.70147,1.69035,1.6974,1.69111,1.7017,1.69062,1.69762
2024-01-05T18:00:00.000000Z,22272,1.6974,1.70085,1.6969,1.69892,1.6974,1.70085,1.6969,1.69892,1.69757,1.70107,1.69711,1.69977
2024-01-07T22:00:00.000000Z,7240,1.69883,1.69967,1.69622,1.69874,1.69883,1.69967,1.69622,1.69874,1.69985,1.70083,1.69856,1.69901
2024-01-08T02:00:00.000000Z,10703,1.69874,1.69907,1.69782,1.69884,1.69874,1.69907,1.69782,1.69884,1.69896,1.69939,1.69804,1.69908
2024-01-08T06:00:00.000000Z,25108,1.69886,1.7007,1.69687,1.69836,1.69886,1.7007,1.69687,1.69836,1.69908,1.70097,1.69707,1.69859
2024-01-08T10:00:00.000000Z,22522,1.69844,1.70311,1.69837,1.70272,1.69844,1.70311,1.69837,1.70272,1.69866,1.70338,1.69861,1.70294
2024-01-08T14:00:00.000000Z,30997,1.70271,1.70674,1.70204,1.70477,1.70271,1.70674,1.70204,1.70477,1.70294,1.70695,1.70228,1.70501
2024-01-08T18:00:00.000000Z,14479,1.70477,1.70485,1.70127,1.70163,1.70477,1.70485,1.70127,1.70163,1.70499,1.7051,1.70163,1.70185
2024-01-08T22:00:00.000000Z,12665,1.70097,1.70327,1.70027,1.70322,1.70097,1.70327,1.70027,1.70322,1.70308,1.70357,1.70114,1.70347
2024-01-09T02:00:00.000000Z,17188,1.70322,1.70327,1.7016,1.70276,1.70322,1.70327,1.7016,1.70276,1.70344,1.70353,1.70188,1.70302
2024-01-09T06:00:00.000000Z,23477,1.70278,1.703,1.69984,1.70036,1.70278,1.703,1.69984,1.70036,1.70302,1.70325,1.70008,1.70061
2024-01-09T10:00:00.000000Z,27278,1.70046,1.70193,1.69887,1.70144,1.70046,1.70193,1.69887,1.70144,1.7007,1.70217,1.69909,1.70168
2024-01-09T14:00:00.000000Z,31591,1.70147,1.70557,1.70071,1.70196,1.70147,1.70557,1.70071,1.70196,1.7017,1.70584,1.70094,1.70222
2024-01-09T18:00:00.000000Z,21376,1.70196,1.70248,1.70037,1.70163,1.70196,1.70248,1.70037,1.70163,1.70224,1.7027,1.70061,1.70192
2024-01-09T22:00:00.000000Z,11264,1.70019,1.70238,1.70019,1.70085,1.70019,1.70238,1.70019,1.70085,1.70265,1.70348,1.70104,1.70111
2024-01-10T02:00:00.000000Z,9534,1.70084,1.70092,1.69917,1.69954,1.70084,1.70092,1.69917,1.69954,1.70111,1.70117,1.69939,1.69983
2024-01-10T06:00:00.000000Z,18084,1.69955,1.70179,1.699,1.70142,1.69955,1.70179,1.699,1.70142,1.69981,1.70203,1.69922,1.70165
2024-01-10T10:00:00.000000Z,19866,1.7014,1.70446,1.70057,1.70296,1.7014,1.70446,1.70057,1.70296,1.70161,1.7047,1.70077,1.70316
2024-01-10T14:00:00.000000Z,25061,1.70296,1.70487,1.70054,1.70368,1.70296,1.70487,1.70054,1.70368,1.70319,1.70507,1.70077,1.70388
2024-01-10T18:00:00.000000Z,15315,1.70366,1.70518,1.70341,1.70475,1.70366,1.70518,1.70341,1.70475,1.70387,1.70539,1.70362,1.70492
2024-01-10T22:00:00.000000Z,9530,1.70249,1.70545,1.70249,1.70525,1.70249,1.70545,1.70249,1.70525,1.70493,1.70574,1.70459,1.70552
2024-01-11T02:00:00.000000Z,12609,1.7053,1.70614,1.70474,1.70493,1.7053,1.70614,1.70474,1.70493,1.70556,1.70642,1.70502,1.70519
2024-01-11T06:00:00.000000Z,18790,1.70492,1.70626,1.7032,1.70325,1.70492,1.70626,1.7032,1.70325,1.70519,1.70649,1.70337,1.70347
2024-01-11T10:00:00.000000Z,31459,1.7032,1.70666,1.70139,1.70347,1.7032,1.70666,1.70139,1.70347,1.70341,1.70708,1.70237,1.7037
2024-01-11T14:00:00.000000Z,51322,1.70346,1.70899,1.70252,1.70765,1.70346,1.70899,1.70252,1.70765,1.7037,1.70914,1.70275,1.70789
2024-01-11T18:00:00.000000Z,26194,1.70765,1.71021,1.70752,1.70935,1.70765,1.71021,1.70752,1.70935,1.70787,1.71044,1.70774,1.70956
2024-01-11T22:00:00.000000Z,10136,1.70757,1.71016,1.7073,1.70888,1.70757,1.71016,1.7073,1.70888,1.71017,1.71078,1.70862,1.7091
2024-01-12T02:00:00.000000Z,12546,1.70888,1.70962,1.70821,1.70874,1.70888,1.70962,1.70821,1.70874,1.70912,1.70985,1.70848,1.70903
2024-01-12T06:00:00.000000Z,21168,1.70874,1.70896,1.70305,1.70316,1.70874,1.70896,1.70305,1.70316,1.70898,1.70931,1.70328,1.70341
2024-01-12T10:00:00.000000Z,28415,1.70315,1.70574,1.70167,1.70343,1.70315,1.70574,1.70167,1.70343,1.70339,1.70646,1.7019,1.70363
2024-01-12T14:00:00.000000Z,44387,1.70343,1.70859,1.70239,1.70733,1.70343,1.70859,1.70239,1.70733,1.70364,1.70884,1.7026,1.70754
2024-01-12T18:00:00.000000Z,18999,1.70732,1.70981,1.70671,1.70962,1.70732,1.70981,1.70671,1.70962,1.70754,1.71013,1.70693,1.71002
2024-01-14T22:00:00.000000Z,9959,1.70755,1.70917,1.7062,1.70658,1.70755,1.70917,1.7062,1.70658,1.7109,1.7109,1.7065,1.70685
