time,volume,open,high,low,close,bid_open,bid_high,bid_low,bid_close,ask_open,ask_high,ask_low,ask_close
2024-01-01T22:00:00.000000Z,124,1.68156,1.68649,1.68156,1.68608,1.68156,1.68649,1.68156,1.68608,1.68507,1.68846,1.68507,1.68764
2024-01-01T22:30:00.000000Z,435,1.68556,1.68653,1.68399,1.68531,1.68556,1.68653,1.68399,1.68531,1.6878,1.68821,1.68593,1.68667
2024-01-01T23:00:00.000000Z,784,1.68583,1.68626,1.6854,1.68605,1.68583,1.68626,1.6854,1.68605,1.68667,1.68673,1.68583,1.68629
2024-01-01T23:30:00.000000Z,499,1.68606,1.68613,1.68553,1.6856,1.68606,1.68613,1.68553,1.6856,1.68631,1.68644,1.68577,1.68588
2024-01-02T00:00:00.000000Z,1063,1.6856,1.68585,1.68518,1.68538,1.6856,1.68585,1.68518,1.68538,1.68586,1.68613,1.68537,1.68566
2024-01-02T00:30:00.000000Z,1365,1.68538,1.68558,1.68509,1.68537,1.68538,1.68558,1.68509,1.68537,1.68563,1.68588,1.68534,1.68563
2024-01-02T01:00:00.000000Z,1994,1.68538,1.68544,1.68386,1.6839,1.68538,1.68544,1.68386,1.6839,1.68567,1.68571,1.68413,1.68415
2024-01-02T01:30:00.000000Z,2102,1.68388,1.68435,1.68379,1.68428,1.68388,1.68435,1.68379,1.68428,1.68415,1.68463,1.68405,1.68457
2024-01-02T02:00:00.000000Z,1688,1.68429,1.68535,1.68421,1.68513,1.68429,1.68535,1.68421,1.68513,1.68457,1.68564,1.68448,1.68542
2024-01-02T02:30:00.000000Z,1287,1.68508,1.68557,1.68444,1.68455,1.68508,1.68557,1.68444,1.68455,1.68536,1.68588,1.68475,1.68486
2024-01-02T03:00:00.000000Z,1114,1.68451,1.68519,1.68443,1.68514,1.68451,1.68519,1.68443,1.68514,1.68481,1.68547,1.68469,1.68545
2024-01-02T03:30:00.000000Z,1381,1.68508,1.68586,1.68498,1.68586,1.68508,1.68586,1.68498,1.68586,1.68538,1.68612,1.68527,1.68609
