time,volume,open,high,low,close,bid_open,bid_high,bid_low,bid_close,ask_open,ask_high,ask_low,ask_close
2024-01-01T22:00:00.000000Z,5657,1.07013,1.07229,1.06756,1.07177,1.07013,1.07229,1.06756,1.07177,1.07252,1.07252,1.0702,1.07195
2024-01-02T02:00:00.000000Z,6897,1.07186,1.07521,1.07186,1.07484,1.07186,1.07521,1.07186,1.07484,1.07206,1.07543,1.07206,1.07505
2024-01-02T06:00:00.000000Z,15762,1.07485,1.07867,1.0739,1.07613,1.07485,1.07867,1.0739,1.07613,1.07505,1.07883,1.07411,1.07632
2024-01-02T10:00:00.000000Z,22422,1.0761,1.07871,1.07135,1.07271,1.0761,1.07871,1.07135,1.07271,1.0763,1.07889,1.07151,1.07294
2024-01-02T14:00:00.000000Z,25278,1.07272,1.074,1.06902,1.07396,1.07272,1.074,1.06902,1.07396,1.07289,1.07419,1.06921,1.07415
2024-01-02T18:00:00.000000Z,8871,1.07398,1.07411,1.07166,1.07302,1.07398,1.07411,1.07166,1.07302,1.07415,1.07431,1.07182,1.07328
2024-01-02T22:00:00.000000Z,9571,1.07287,1.07356,1.07114,1.07281,1.07287,1.07356,1.07114,1.07281,1.0732,1.07416,1.07259,1.073
2024-01-03T02:00:00.000000Z,9328,1.07278,1.07395,1.07267,1.07347,1.07278,1.07395,1.07267,1.07347,1.07299,1.07414,1.07282,1.07368
2024-01-03T06:00:00.000000Z,16983,1.07345,1.0766,1.07338,1.07512,1.07345,1.0766,1.07338,1.07512,1.07365,1.07681,1.07357,1.07531
2024-01-03T10:00:00.000000Z,18941,1.07513,1.07994,1.07507,1.07697,1.07513,1.07994,1.07507,1.07697,1.0753,1.08013,1.07526,1.07718
2024-01-03T14:00:00.000000Z,28955,1.07699,1.07883,1.07579,1.07692,1.07699,1.07883,1.07579,1.07692,1.07718,1.07937,1.07602,1.07708
2024-01-03T18:00:00.000000Z,20479,1.07691,1.07864,1.07514,1.07514,1.07691,1.07864,1.07514,1.07514,1.07706,1.07879,1.07542,1.07545
