time,volume,open,high,low,close,bid_open,bid_high,bid_low,bid_close,ask_open,ask_high,ask_low,ask_close
2024-01-01T22:00:00.000000Z,77216,2.01392,2.02322,2.0093,2.01832,2.01392,2.02322,2.0093,2.01832,2.01548,2.02388,2.01136,2.01908
2024-01-02T22:00:00.000000Z,88260,2.01822,2.03068,2.01368,2.02722,2.01822,2.03068,2.01368,2.02722,2.01908,2.03155,2.01433,2.02798
2024-01-03T22:00:00.000000Z,77402,2.02492,2.038,2.01812,2.03392,2.02492,2.038,2.01812,2.03392,2.02818,2.03868,2.01887,2.03468
2024-01-04T22:00:00.000000Z,96349,2.03335,2.04054,2.03124,2.03602,2.03335,2.04054,2.03124,2.03602,2.03835,2.04534,2.0329,2.03738
2024-01-07T22:00:00.000000Z,65896,2.03602,2.0453,2.03233,2.03912,2.03602,2.0453,2.03233,2.03912,2.03768,2.04595,2.03301,2.03998
2024-01-08T22:00:00.000000Z,67632,2.03765,2.04265,2.0348,2.03652,2.03765,2.04265,2.0348,2.03652,2.04265,2.04328,2.03569,2.03728
2024-01-09T22:00:00.000000Z,66632,2.0351,2.04792,2.03303,2.04572,2.0351,2.04792,2.03303,2.04572,2.0401,2.0487,2.03379,2.04638
2024-01-10T22:00:00.000000Z,102763,2.04402,2.04906,2.03752,2.04722,2.04402,2.04906,2.03752,2.04722,2.04828,2.04985,2.03917,2.04788
2024-01-11T22:00:00.000000Z,83566,2.04582,2.04872,2.03511,2.04272,2.04582,2.04872,2.03511,2.04272,2.05038,2.05137,2.03584,2.04398
2024-01-14T22:00:00.000000Z,44612,2.04282,2.05731,2.04031,2.05232,2.04282,2.05731,2.04031,2.05232,2.04388,2.05797,2.04312,2.05318
2024-01-15T22:00:00.000000Z,99038,2.05045,2.06068,2.0493,2.05812,2.05045,2.06068,2.0493,2.05812,2.05545,2.06147,2.05134,2.05888
2024-01-16T22:00:00.000000Z,100389,2.05652,2.07798,2.05442,2.07292,2.05652,2.07798,2.05442,2.07292,2.05908,2.07862,2.05509,2.07368
2024-01-17T22:00:00.000000Z,95186,2.07162,2.07924,2.06837,2.07702,2.07162,2.07924,2.06837,2.07702,2.07528,2.07999,2.06905,2.07818
2024-01-18T22:00:00.000000Z,84886,2.07815,2.08478,2.06994,2.07632,2.07815,2.08478,2.06994,2.07632,2.08315,2.08555,2.07056,2.07828
2024-01-21T22:00:00.000000Z,71855,2.07632,2.09287,2.07022,2.09112,2.07632,2.09287,2.07022,2.09112,2.07828,2.09374,2.07096,2.09178
2024-01-22T22:00:00.000000Z,78721,2.08922,2.09416,2.0768,2.07852,2.08922,2.09416,2.0768,2.07852,2.09258,2.0955,2.07768,2.07928
2024-01-23T22:00:00.000000Z,96673,2.07575,2.0839,2.07366,2.08122,2.07575,2.0839,2.07366,2.08122,2.08075,2.08462,2.07436,2.08228
2024-01-24T22:00:00.000000Z,85892,2.08082,2.08277,2.07431,2.07922,2.08082,2.08277,2.07431,2.07922,2.08488,2.08593,2.07507,2.08008
2024-01-25T22:00:00.000000Z,66547,2.07802,2.08689,2.07568,2.08239,2.07802,2.08689,2.07568,2.08239,2.08088,2.08817,2.07938,2.08588
2024-01-28T22:00:00.000000Z,61210,2.08153,2.08524,2.06892,2.07232,2.08153,2.08524,2.06892,2.07232,2.08591,2.08789,2.06968,2.07298
2024-01-29T22:00:00.000000Z,73057,2.07002,2.07284,2.06395,2.06932,2.07002,2.07284,2.06395,2.06932,2.07478,2.07578,2.06463,2.07008
2024-01-30T22:00:00.000000Z,114192,2.06782,2.07432,2.06341,2.07362,2.06782,2.07432,2.06341,2.07362,2.07208,2.07797,2.06406,2.07438
2024-01-31T22:00:00.000000Z,91599,2.07392,2.08235,2.06712,2.07372,2.07392,2.08235,2.06712,2.07372,2.07468,2.08295,2.06794,2.07448
2024-02-01T22:00:00.000000Z,82562,2.07392,2.08501,2.0704,2.08232,2.07392,2.08501,2.0704,2.08232,2.07468,2.08566,2.07106,2.08398
2024-02-04T22:00:00.000000Z,79111,2.08202,2.08472,2.06907,2.07022,2.08202,2.08472,2.06907,2.07022,2.08368,2.08712,2.06977,2.07098
2024-02-05T22:00:00.000000Z,62332,2.0693,2.07633,2.06453,2.06592,2.0693,2.07633,2.06453,2.06592,2.0743,2.07699,2.06605,2.06658
2024-02-06T22:00:00.000000Z,69792,2.06512,2.0705,2.06244,2.06572,2.06512,2.0705,2.06244,2.06572,2.06808,2.07261,2.06312,2.06648
2024-02-07T22:00:00.000000Z,68362,2.06492,2.07237,2.06332,2.06932,2.06492,2.07237,2.06332,2.06932,2.06628,2.07301,2.06417,2.07008
2024-02-08T22:00:00.000000Z,62024,2.0663,2.06993,2.05017,2.05292,2.0663,2.06993,2.05017,2.05292,2.0713,2.07408,2.05077,2.05588
2024-02-11T22:00:00.000000Z,54343,2.05061,2.0624,2.05061,2.05982,2.05061,2.0624,2.05061,2.05982,2.05531,2.06305,2.0541,2.06088
2024-02-12T22:00:00.000000Z,77464,2.05852,2.08146,2.05722,2.07732,2.05852,2.08146,2.05722,2.07732,2.06288,2.08221,2.06002,2.07818
2024-02-13T22:00:00.000000Z,81340,2.07612,2.08086,2.06168,2.06432,2.07612,2.08086,2.06168,2.06432,2.07948,2.08158,2.06229,2.06528
2024-02-14T22:00:00.000000Z,77205,2.06312,2.06607,2.05156,2.06322,2.06312,2.06607,2.05156,2.06322,2.06778,2.06784,2.05323,2.06398
2024-02-15T22:00:00.000000Z,75972,2.06132,2.06661,2.05467,2.05682,2.06132,2.06661,2.05467,2.05682,2.06468,2.06853,2.05628,2.05798
2024-02-18T22:00:00.000000Z,41677,2.05652,2.05782,2.04696,2.04782,2.05652,2.05782,2.04696,2.04782,2.05768,2.06178,2.04831,2.04858
2024-02-19T22:00:00.000000Z,82428,2.04592,2.05241,2.03953,2.04722,2.04592,2.05241,2.03953,2.04722,2.04938,2.05306,2.04014,2.04798
2024-02-20T22:00:00.000000Z,78086,2.04692,2.04782,2.03713,2.04462,2.04692,2.04782,2.03713,2.04462,2.04978,2.05068,2.03781,2.04528
2024-02-21T22:00:00.000000Z,95873,2.04422,2.04592,2.0373,2.04342,2.04422,2.04592,2.0373,2.04342,2.04678,2.04855,2.03788,2.04428
2024-02-22T22:00:00.000000Z,76606,2.04252,2.04837,2.03982,2.04422,2.04252,2.04837,2.03982,2.04422,2.04498,2.04898,2.04091,2.04518
2024-02-25T22:00:00.000000Z,71552,2.043,2.0565,2.04272,2.05472,2.043,2.0565,2.04272,2.05472,2.048,2.05708,2.04621,2.05538
2024-02-26T22:00:00.000000Z,77886,2.05302,2.06062,2.05233,2.05532,2.05302,2.06062,2.05233,2.05532,2.05548,2.06119,2.05408,2.05638
2024-02-27T22:00:00.000000Z,87684,2.05312,2.08041,2.05205,2.07572,2.05312,2.08041,2.05205,2.07572,2.05708,2.08098,2.05348,2.07658
