time,volume,open,high,low,close,bid_open,bid_high,bid_low,bid_close,ask_open,ask_high,ask_low,ask_close
2024-01-01T18:00:00.000000Z,1,2.01392,2.01392,2.01392,2.01392,2.01392,2.01392,2.01392,2.01392,2.01548,2.01548,2.01548,2.01548
2024-01-01T22:00:00.000000Z,5974,2.01392,2.01792,2.0093,2.01744,2.01392,2.01792,2.0093,2.01744,2.01548,2.01869,2.01298,2.01814
2024-01-02T02:00:00.000000Z,7183,2.01744,2.01994,2.0156,2.01632,2.01744,2.01994,2.0156,2.01632,2.0181,2.0206,2.01628,2.01698
2024-01-02T06:00:00.000000Z,11562,2.01632,2.02322,2.01439,2.01488,2.01632,2.02322,2.01439,2.01488,2.01696,2.02388,2.01509,2.01554
2024-01-02T10:00:00.000000Z,19636,2.01492,2.01742,2.01051,2.01416,2.01492,2.01742,2.01051,2.01416,2.01555,2.01802,2.01136,2.0148
2024-01-02T14:00:00.000000Z,25135,2.01412,2.01816,2.01072,2.01783,2.01412,2.01816,2.01072,2.01783,2.0148,2.01887,2.01138,2.01853
2024-01-02T18:00:00.000000Z,7726,2.01826,2.01967,2.01761,2.01832,2.01826,2.01967,2.01761,2.01832,2.01905,2.02038,2.01838,2.01908
2024-01-02T22:00:00.000000Z,5632,2.01822,2.02167,2.01531,2.01846,2.01822,2.02167,2.01531,2.01846,2.01908,2.02237,2.01829,2.01916
2024-01-03T02:00:00.000000Z,7312,2.01843,2.01917,2.01387,2.01409,2.01843,2.01917,2.01387,2.01409,2.01914,2.01987,2.01456,2.01477
2024-01-03T06:00:00.000000Z,12650,2.01411,2.02066,2.01368,2.01849,2.01411,2.02066,2.01368,2.01849,2.01477,2.02128,2.01433,2.01922
2024-01-03T10:00:00.000000Z,14834,2.0185,2.02928,2.01737,2.02928,2.0185,2.02928,2.01737,2.02928,2.01924,2.03002,2.01803,2.03002
2024-01-03T14:00:00.000000Z,28370,2.02927,2.02935,2.02255,2.02782,2.02927,2.02935,2.02255,2.02782,2.03,2.03,2.02328,2.02859
2024-01-03T18:00:00.000000Z,19462,2.02652,2.03068,2.0248,2.02722,2.02652,2.03068,2.0248,2.02722,2.02736,2.03155,2.02702,2.02798
2024-01-03T22:00:00.000000Z,7034,2.02492,2.03064,2.02402,2.02834,2.02492,2.03064,2.02402,2.02834,2.02818,2.0319,2.02667,2.02896
2024-01-04T02:00:00.000000Z,7694,2.02841,2.02852,2.02099,2.02231,2.02841,2.02852,2.02099,2.02231,2.02901,2.02921,2.02168,2.02306
2024-01-04T06:00:00.000000Z,13845,2.02224,2.03154,2.01812,2.03113,2.02224,2.03154,2.01812,2.03113,2.02293,2.0322,2.01887,2.03177
2024-01-04T10:00:00.000000Z,16270,2.03114,2.03394,2.02973,2.03237,2.03114,2.03394,2.02973,2.03237,2.03177,2.03487,2.03035,2.03299
2024-01-04T14:00:00.000000Z,25258,2.03233,2.038,2.03186,2.03728,2.03233,2.038,2.03186,2.03728,2.03297,2.03868,2.03244,2.03796
2024-01-04T18:00:00.000000Z,7301,2.03652,2.03722,2.03332,2.03392,2.03652,2.03722,2.03332,2.03392,2.03731,2.03796,2.03428,2.03468
