time,volume,open,high,low,close,bid_open,bid_high,bid_low,bid_close,ask_open,ask_high,ask_low,ask_close
2024-01-01T22:00:00.000000Z,43884,4.9954,5.04291,4.9944,5.03849,4.9954,5.04291,4.9944,5.03849,5.0141,5.0476,5.0091,5.0446
2024-01-02T22:00:00.000000Z,52179,5.0364,5.0561,5.0283,5.0469,5.0364,5.0561,5.0283,5.0469,5.0471,5.06043,5.03366,5.0521
2024-01-03T22:00:00.000000Z,42514,5.0419,5.0514,5.02517,5.0324,5.0419,5.0514,5.02517,5.0324,5.0581,5.0601,5.03052,5.0396
2024-01-04T22:00:00.000000Z,57287,5.0244,5.06094,5.0224,5.0514,5.0244,5.06094,5.0224,5.0514,5.0446,5.0656,5.0356,5.0596
2024-01-07T22:00:00.000000Z,33914,5.05272,5.06292,5.0314,5.0429,5.05272,5.06292,5.0314,5.0429,5.0606,5.06719,5.03441,5.0481
2024-01-08T22:00:00.000000Z,44796,5.0394,5.06243,5.0354,5.0529,5.0394,5.06243,5.0354,5.0529,5.0566,5.06665,5.03902,5.0591
2024-01-09T22:00:00.000000Z,34161,5.0424,5.0579,5.033,5.0339,5.0424,5.0579,5.033,5.0339,5.0606,5.0646,5.0386,5.0391
2024-01-10T22:00:00.000000Z,58396,5.0324,5.06703,5.0229,5.0574,5.0324,5.06703,5.0229,5.0574,5.0426,5.073,5.0361,5.0638
2024-01-11T22:00:00.000000Z,49227,5.0544,5.0774,5.04645,5.0699,5.0544,5.0774,5.04645,5.0699,5.0676,5.08388,5.06142,5.0816
2024-01-14T22:00:00.000000Z,33070,5.056,5.0879,5.05554,5.0739,5.056,5.0879,5.05554,5.0739,5.081,5.09183,5.06706,5.0791
2024-01-15T22:00:00.000000Z,57672,5.0714,5.1099,5.06876,5.0999,5.0714,5.1099,5.06876,5.0999,5.0841,5.11328,5.0791,5.10625
2024-01-16T22:00:00.000000Z,57436,5.0944,5.14183,5.08798,5.1214,5.0944,5.14183,5.08798,5.1214,5.1101,5.1456,5.0996,5.1266
2024-01-17T22:00:00.000000Z,55388,5.1149,5.13802,5.1076,5.1209,5.1149,5.13802,5.1076,5.1209,5.1261,5.1476,5.1226,5.1256
2024-01-18T22:00:00.000000Z,46109,5.1199,5.1219,5.0659,5.07164,5.1199,5.1219,5.0659,5.07164,5.1291,5.1316,5.07408,5.08042
2024-01-21T22:00:00.000000Z,46223,5.07164,5.09899,5.0619,5.0919,5.07164,5.09899,5.0619,5.0919,5.08042,5.10229,5.0654,5.0966
2024-01-22T22:00:00.000000Z,48951,5.0884,5.13625,5.08065,5.1269,5.0884,5.13625,5.08065,5.1269,5.0986,5.1408,5.0876,5.1331
2024-01-23T22:00:00.000000Z,67296,5.1249,5.13496,5.092,5.1149,5.1249,5.13496,5.092,5.1149,5.1406,5.14578,5.1066,5.1211
2024-01-24T22:00:00.000000Z,66760,5.1154,5.1364,5.1039,5.1214,5.1154,5.1364,5.1039,5.1214,5.1306,5.1391,5.1101,5.12717
2024-01-25T22:00:00.000000Z,61144,5.1169,5.1349,5.10493,5.1054,5.1169,5.1349,5.10493,5.1054,5.1346,5.1382,5.10886,5.1161
2024-01-28T22:00:00.000000Z,44549,5.1069,5.1344,5.10179,5.1224,5.1069,5.1344,5.10179,5.1224,5.1206,5.1379,5.1151,5.1276
2024-01-29T22:00:00.000000Z,47756,5.1154,5.12954,5.0834,5.0894,5.1154,5.12954,5.0834,5.0894,5.1276,5.1331,5.08659,5.0941
2024-01-30T22:00:00.000000Z,64624,5.0904,5.1024,5.0555,5.0754,5.0904,5.1024,5.0555,5.0754,5.1031,5.10681,5.06499,5.0796
2024-01-31T22:00:00.000000Z,73300,5.0659,5.08541,5.0424,5.0559,5.0659,5.08541,5.0424,5.0559,5.0836,5.0921,5.0456,5.0616
2024-02-01T22:00:00.000000Z,53423,5.0539,5.07293,5.034,5.0474,5.0539,5.07293,5.034,5.0474,5.0661,5.0766,5.04904,5.0591
2024-02-04T22:00:00.000000Z,52075,5.0464,5.07858,5.0434,5.0624,5.0464,5.07858,5.0434,5.0624,5.0586,5.08393,5.05319,5.0681
2024-02-05T22:00:00.000000Z,63825,5.0659,5.09592,5.05202,5.0899,5.0659,5.09592,5.05202,5.0899,5.0776,5.10022,5.05601,5.0981
2024-02-06T22:00:00.000000Z,53579,5.0859,5.1084,5.0789,5.0864,5.0859,5.1084,5.0789,5.0864,5.1016,5.11172,5.08956,5.0916
2024-02-07T22:00:00.000000Z,47937,5.0809,5.09117,5.045,5.0609,5.0809,5.09117,5.045,5.0609,5.0926,5.10668,5.04889,5.0691
2024-02-08T22:00:00.000000Z,46345,5.0584,5.07014,5.0464,5.0629,5.0584,5.07014,5.0464,5.0629,5.0751,5.0796,5.0496,5.0711
2024-02-11T22:00:00.000000Z,38784,5.0525,5.07227,5.0481,5.0509,5.0525,5.07227,5.0481,5.0509,5.0775,5.07975,5.0521,5.0581
2024-02-12T22:00:00.000000Z,60683,5.0489,5.10619,5.03442,5.0989,5.0489,5.10619,5.03442,5.0989,5.0681,5.10967,5.0516,5.1061
2024-02-13T22:00:00.000000Z,57651,5.0819,5.1039,5.07585,5.0799,5.0819,5.1039,5.07585,5.0799,5.1041,5.1087,5.0791,5.0871
2024-02-14T22:00:00.000000Z,51612,5.0749,5.08522,5.0602,5.0759,5.0749,5.08522,5.0602,5.0759,5.0891,5.0946,5.0646,5.08243
2024-02-15T22:00:00.000000Z,58181,5.0704,5.0889,5.06081,5.0724,5.0704,5.0889,5.06081,5.0724,5.0821,5.09412,5.0646,5.0796
2024-02-18T22:00:00.000000Z,37717,5.0729,5.0814,5.0524,5.0539,5.0729,5.0814,5.0524,5.0539,5.0796,5.0859,5.0566,5.0596
2024-02-19T22:00:00.000000Z,44671,5.0519,5.05802,5.03456,5.0389,5.0519,5.05802,5.03456,5.0389,5.0611,5.06874,5.03897,5.0441
2024-02-20T22:00:00.000000Z,40566,5.0384,5.05232,5.0309,5.0399,5.0384,5.05232,5.0309,5.0399,5.0486,5.05612,5.0361,5.0451
2024-02-21T22:00:00.000000Z,59961,5.0369,5.058,5.0248,5.0559,5.0369,5.058,5.0248,5.0559,5.0466,5.0623,5.02937,5.0606
2024-02-22T22:00:00.000000Z,42014,5.0544,5.07193,5.0364,5.0384,5.0544,5.07193,5.0364,5.0384,5.0631,5.07517,5.0411,5.0461
2024-02-25T22:00:00.000000Z,31449,5.0414,5.05507,5.0291,5.0359,5.0414,5.05507,5.0291,5.0359,5.0651,5.0651,5.03282,5.0396
2024-02-26T22:00:00.000000Z,30947,5.0319,5.0454,5.02172,5.0349,5.0319,5.0454,5.02172,5.0349,5.0406,5.0521,5.0251,5.0406
2024-02-27T22:00:00.000000Z,34758,5.0334,5.0479,5.0184,5.0429,5.0334,5.0479,5.0184,5.0429,5.0426,5.0515,5.02197,5.0481
2024-02-28T22:00:00.000000Z,63947,5.0429,5.0524,5.0339,5.03883,5.0429,5.0524,5.0339,5.03883,5.0551,5.0589,5.0381,5.0456
2024-02-29T22:00:00.000000Z,42671,5.0354,5.04753,5.02765,5.0369,5.0354,5.04753,5.02765,5.0369,5.0491,5.05199,5.0366,5.0491
2024-03-03T22:00:00.000000Z,31871,5.0299,5.05391,5.02766,5.05035,5.0299,5.05391,5.02766,5.05035,5.0536,5.0576,5.04106,5.0571
2024-03-04T22:00:00.000000Z,36671,5.0484,5.0579,5.0408,5.0434,5.0484,5.0579,5.0408,5.0434,5.0611,5.0684,5.0466,5.0506
2024-03-05T22:00:00.000000Z,47222,5.0394,5.05167,5.00852,5.0216,5.0394,5.05167,5.00852,5.0216,5.0551,5.0578,5.02061,5.02847
2024-03-06T22:00:00.000000Z,61351,5.01481,5.04149,5.0124,5.0289,5.01481,5.04149,5.0124,5.0289,5.0311,5.045,5.0237,5.0341
2024-03-07T22:00:00.000000Z,52517,5.0254,5.06174,5.02426,5.0474,5.0254,5.06174,5.02426,5.0474,5.0356,5.0654,5.0331,5.0576
2024-03-10T21:00:00.000000Z,41962,5.0411,5.0544,5.00988,5.0174,5.0411,5.0544,5.00988,5.0174,5.0661,5.06665,5.01333,5.0236
2024-03-11T21:00:00.000000Z,53722,5.0134,5.0234,4.9934,5.0184,5.0134,5.0234,4.9934,5.0184,5.0271,5.03482,5.008,5.0246
2024-03-12T21:00:00.000000Z,42909,5.0129,5.0219,5.0013,5.0044,5.0129,5.0219,5.0013,5.0044,5.02776,5.0296,5.00546,5.0091
2024-03-13T21:00:00.000000Z,75652,4.9999,5.02875,4.99429,5.0264,4.9999,5.02875,4.99429,5.0264,5.0121,5.03438,5.0071,5.0321
2024-03-14T21:00:00.000000Z,49120,5.02428,5.0354,5.01679,5.0274,5.02428,5.0354,5.01679,5.0274,5.0371,5.04456,5.02112,5.0366
2024-03-17T21:00:00.000000Z,41948,5.0239,5.0625,5.015,5.0564,5.0239,5.0625,5.015,5.0564,5.0381,5.0661,5.03078,5.0626
2024-03-18T21:00:00.000000Z,42783,5.05511,5.05921,5.04571,5.0474,5.05511,5.05921,5.04571,5.0474,5.06672,5.06813,5.049,5.0546
2024-03-19T21:00:00.000000Z,46094,5.0479,5.0666,5.0299,5.0424,5.0479,5.0666,5.0299,5.0424,5.0616,5.07165,5.0436,5.0471
2024-03-20T21:00:00.000000Z,55654,5.0444,5.05412,5.01402,5.0159,5.0444,5.05412,5.01402,5.0159,5.0536,5.0626,5.01792,5.0221
2024-03-21T21:00:00.000000Z,44881,5.0109,5.0384,5.00384,5.0349,5.0109,5.0384,5.00384,5.0349,5.0221,5.0447,5.01741,5.0416
2024-03-24T21:00:00.000000Z,33843,5.0248,5.03921,5.0172,5.0214,5.0248,5.03921,5.0172,5.0214,5.0498,5.04994,5.02106,5.0281
2024-03-25T21:00:00.000000Z,37579,5.0184,5.0274,5.0139,5.0234,5.0184,5.0274,5.0139,5.0234,5.02861,5.0322,5.01733,5.0281
2024-03-26T21:00:00.000000Z,37090,5.0229,5.0399,5.0174,5.0364,5.0229,5.0399,5.0174,5.0364,5.0311,5.04359,5.02153,5.0411
2024-03-27T21:00:00.000000Z,44020,5.0339,5.0489,5.02286,5.0374,5.0339,5.0489,5.02286,5.0374,5.0431,5.05232,5.03461,5.0431
2024-03-28T21:00:00.000000Z,28342,5.03397,5.0469,4.9994,5.0094,5.03397,5.0469,4.9994,5.0094,5.0457,5.05352,5.0211,5.0226
2024-03-31T21:00:00.000000Z,24194,5.0094,5.0309,5.0054,5.0179,5.0094,5.0309,5.0054,5.0179,5.0226,5.0406,5.0126,5.0221
2024-04-01T21:00:00.000000Z,43483,5.0124,5.0274,5.00106,5.0084,5.0124,5.0274,5.00106,5.0084,5.0261,5.03129,5.00487,5.0116
2024-04-02T21:00:00.000000Z,39682,5.0079,5.0197,4.99798,5.0079,5.0079,5.0197,4.99798,5.0079,5.0151,5.02307,5.00455,5.01365
2024-04-03T21:00:00.000000Z,36592,5.0059,5.0154,4.9915,5.0039,5.0059,5.0154,4.9915,5.0039,5.01576,5.0221,4.99538,5.0091
2024-04-04T21:00:00.000000Z,41601,4.9984,5.0054,4.98022,4.9889,4.9984,5.0054,4.98022,4.9889,5.0116,5.0141,4.9881,4.9956
2024-04-07T21:00:00.000000Z,40311,4.97964,4.99649,4.95856,4.9629,4.97964,4.99649,4.95856,4.9629,4.99653,5.0001,4.9636,4.9691
2024-04-08T21:00:00.000000Z,34297,4.9619,4.98263,4.9549,4.9749,4.9619,4.98263,4.9549,4.9749,4.9731,4.9866,4.9596,4.9796
2024-04-09T21:00:00.000000Z,50408,4.9714,4.9899,4.9659,4.9764,4.9714,4.9899,4.9659,4.9764,4.9806,4.9936,4.9741,4.9811
2024-04-10T21:00:00.000000Z,51004,4.9734,4.9894,4.96277,4.9834,4.9734,4.9894,4.96277,4.9834,4.9816,4.9931,4.97477,4.9911
2024-04-11T21:00:00.000000Z,48830,4.9814,5.01794,4.97947,5.0099,4.9814,5.01794,4.97947,5.0099,4.9946,5.02571,4.98335,5.0206
2024-04-14T21:00:00.000000Z,51841,5.0099,5.04455,4.99936,5.0389,5.0099,5.04455,4.99936,5.0389,5.0211,5.04826,5.00287,5.0456
2024-04-15T21:00:00.000000Z,60321,5.0359,5.1161,5.03001,5.1084,5.0359,5.1161,5.03001,5.1084,5.0496,5.12431,5.0431,5.1196
2024-04-16T21:00:00.000000Z,53211,5.101,5.1179,5.05006,5.0544,5.101,5.1179,5.05006,5.0544,5.126,5.12679,5.0611,5.0641
