time,volume,open,high,low,close,bid_open,bid_high,bid_low,bid_close,ask_open,ask_high,ask_low,ask_close
2024-01-01T22:00:00.000000Z,120,4.9954,5.00039,4.9944,4.9982,4.9954,5.00039,4.9944,4.9982,5.0141,5.02222,5.0091,5.0146
2024-01-01T23:00:00.000000Z,345,4.9944,5.0054,4.9944,5.0044,4.9944,5.0054,4.9944,5.0044,5.0146,5.0219,5.0116,5.0151
2024-01-02T00:00:00.000000Z,831,5.00336,5.00813,5.0029,5.00721,5.00336,5.00813,5.0029,5.00721,5.02055,5.02062,5.0101,5.0143
2024-01-02T01:00:00.000000Z,1776,5.00741,5.00833,5.00502,5.00815,5.00741,5.00833,5.00502,5.00815,5.0143,5.0151,5.0106,5.0146
2024-01-02T02:00:00.000000Z,904,5.00845,5.01308,5.00845,5.01215,5.00845,5.01308,5.00845,5.01215,5.0148,5.0196,5.0131,5.0181
2024-01-02T03:00:00.000000Z,519,5.01195,5.013,5.01067,5.01255,5.01195,5.013,5.01067,5.01255,5.0181,5.0191,5.0156,5.0186
2024-01-02T04:00:00.000000Z,420,5.01252,5.01421,5.01168,5.01269,5.01252,5.01421,5.01168,5.01269,5.0186,5.0205,5.0161,5.0186
2024-01-02T05:00:00.000000Z,663,5.01286,5.01868,5.01224,5.0163,5.01286,5.01868,5.01224,5.0163,5.0186,5.0246,5.0171,5.0221
2024-01-02T06:00:00.000000Z,751,5.0163,5.0169,5.0139,5.0159,5.0163,5.0169,5.0139,5.0159,5.0226,5.0226,5.0196,5.0196
2024-01-02T07:00:00.000000Z,2178,5.0154,5.0254,5.0139,5.0249,5.0154,5.0254,5.0139,5.0249,5.0196,5.02978,5.0181,5.0291
2024-01-02T08:00:00.000000Z,3359,5.0244,5.02594,5.0111,5.01554,5.0244,5.02594,5.0111,5.01554,5.0289,5.0301,5.01574,5.0206
2024-01-02T09:00:00.000000Z,2713,5.0154,5.0169,5.0084,5.0129,5.0154,5.0169,5.0084,5.0129,5.0206,5.02079,5.01183,5.01634
2024-01-02T10:00:00.000000Z,2366,5.0129,5.0229,5.0108,5.0169,5.0129,5.0229,5.0108,5.0169,5.01637,5.0266,5.01447,5.0206
2024-01-02T11:00:00.000000Z,3420,5.0164,5.0254,5.0114,5.0229,5.0164,5.0254,5.0114,5.0229,5.0201,5.0281,5.0146,5.0261
2024-01-02T12:00:00.000000Z,2739,5.0224,5.03798,5.0214,5.03798,5.0224,5.03798,5.0214,5.03798,5.0261,5.04219,5.0246,5.0416
2024-01-02T13:00:00.000000Z,3236,5.03826,5.04291,5.02643,5.0279,5.03826,5.04291,5.02643,5.0279,5.0416,5.0476,5.03006,5.0316
2024-01-02T14:00:00.000000Z,3701,5.02754,5.03466,5.01951,5.01951,5.02754,5.03466,5.01951,5.01951,5.03139,5.03875,5.02291,5.02291
2024-01-02T15:00:00.000000Z,4424,5.01955,5.02914,5.0189,5.0274,5.01955,5.02914,5.0189,5.0274,5.02291,5.0326,5.0221,5.0306
2024-01-02T16:00:00.000000Z,2598,5.0269,5.0279,5.0199,5.0234,5.0269,5.0279,5.0199,5.0234,5.0306,5.0316,5.02398,5.0271
2024-01-02T17:00:00.000000Z,1495,5.0234,5.0304,5.0234,5.0299,5.0234,5.0304,5.0234,5.0299,5.0276,5.0351,5.0276,5.03421
2024-01-02T18:00:00.000000Z,1373,5.0299,5.03249,5.0264,5.03245,5.0299,5.03249,5.0264,5.03245,5.03428,5.0361,5.0311,5.0361
2024-01-02T19:00:00.000000Z,1831,5.03248,5.03523,5.03171,5.03377,5.03248,5.03523,5.03171,5.03377,5.0361,5.0401,5.0361,5.03808
