time,volume,open,high,low,close,bid_open,bid_high,bid_low,bid_close,ask_open,ask_high,ask_low,ask_close
2024-01-01T22:00:00.000000Z,5261,1.67798,1.68085,1.67798,1.68028,1.67798,1.68085,1.67798,1.68028,1.68198,1.6832,1.67927,1.68068
2024-01-02T02:00:00.000000Z,7152,1.6803,1.68333,1.68008,1.6826,1.6803,1.68333,1.68008,1.6826,1.68068,1.68374,1.68047,1.68299
2024-01-02T06:00:00.000000Z,9475,1.68261,1.686,1.6819,1.68218,1.68261,1.686,1.6819,1.68218,1.68302,1.68635,1.68232,1.68257
2024-01-02T10:00:00.000000Z,16861,1.68215,1.68244,1.67388,1.67523,1.68215,1.68244,1.67388,1.67523,1.68247,1.68285,1.67427,1.67562
2024-01-02T14:00:00.000000Z,21271,1.67518,1.67596,1.67237,1.67552,1.67518,1.67596,1.67237,1.67552,1.67556,1.67632,1.67274,1.67593
2024-01-02T18:00:00.000000Z,10109,1.67547,1.67576,1.6737,1.6737,1.67547,1.67576,1.6737,1.6737,1.67584,1.67616,1.67431,1.67482
2024-01-02T22:00:00.000000Z,4677,1.67365,1.67651,1.67136,1.67577,1.67365,1.67651,1.67136,1.67577,1.67477,1.67696,1.67382,1.67612
2024-01-03T02:00:00.000000Z,8246,1.67579,1.6766,1.67438,1.67443,1.67579,1.6766,1.67438,1.67443,1.67615,1.67702,1.67476,1.67483
2024-01-03T06:00:00.000000Z,12983,1.67443,1.67764,1.67435,1.67555,1.67443,1.67764,1.67435,1.67555,1.67482,1.67799,1.67474,1.67597
2024-01-03T10:00:00.000000Z,13583,1.67553,1.67874,1.67467,1.67808,1.67553,1.67874,1.67467,1.67808,1.67596,1.67913,1.67508,1.67848
2024-01-03T14:00:00.000000Z,22756,1.67811,1.68166,1.67683,1.68072,1.67811,1.68166,1.67683,1.68072,1.67848,1.68246,1.67718,1.68114
2024-01-03T18:00:00.000000Z,14303,1.68071,1.68373,1.67913,1.68233,1.68071,1.68373,1.67913,1.68233,1.68112,1.68423,1.68054,1.68348
2024-01-03T22:00:00.000000Z,5661,1.68229,1.68347,1.68112,1.68281,1.68229,1.68347,1.68112,1.68281,1.68345,1.686,1.68275,1.68313
2024-01-04T02:00:00.000000Z,8266,1.68277,1.68468,1.68246,1.68401,1.68277,1.68468,1.68246,1.68401,1.68313,1.68511,1.68288,1.68439
2024-01-04T06:00:00.000000Z,11899,1.68397,1.68857,1.68324,1.68811,1.68397,1.68857,1.68324,1.68811,1.68432,1.68904,1.68362,1.6885
2024-01-04T10:00:00.000000Z,14484,1.68814,1.68955,1.68311,1.68425,1.68814,1.68955,1.68311,1.68425,1.68854,1.68996,1.68457,1.68465
2024-01-04T14:00:00.000000Z,20565,1.68422,1.68893,1.6832,1.68559,1.68422,1.68893,1.6832,1.68559,1.68461,1.6893,1.68356,1.68602
2024-01-04T18:00:00.000000Z,8606,1.68559,1.68632,1.68471,1.68561,1.68559,1.68632,1.68471,1.68561,1.68597,1.68677,1.68509,1.68667
2024-01-04T22:00:00.000000Z,4801,1.68556,1.68757,1.68407,1.68743,1.68556,1.68757,1.68407,1.68743,1.6865,1.68905,1.68594,1.68775
2024-01-05T02:00:00.000000Z,8359,1.68741,1.68784,1.68577,1.68577,1.68741,1.68784,1.68577,1.68577,1.68775,1.68824,1.68619,1.6862
2024-01-05T06:00:00.000000Z,12841,1.6858,1.6884,1.68472,1.68544,1.6858,1.6884,1.68472,1.68544,1.68621,1.68879,1.68507,1.68586
2024-01-05T10:00:00.000000Z,18543,1.68541,1.68658,1.68,1.68542,1.68541,1.68658,1.68,1.68542,1.68581,1.68761,1.68237,1.6859
2024-01-05T14:00:00.000000Z,32445,1.68544,1.69293,1.68505,1.69177,1.68544,1.69293,1.68505,1.69177,1.6859,1.69482,1.68545,1.69221
2024-01-05T18:00:00.000000Z,12597,1.69177,1.69252,1.68785,1.69025,1.69177,1.69252,1.68785,1.69025,1.69216,1.69307,1.69106,1.69194
2024-01-07T22:00:00.000000Z,3600,1.69021,1.69116,1.6879,1.69007,1.69021,1.69116,1.6879,1.69007,1.6918,1.6929,1.69023,1.69047
2024-01-08T02:00:00.000000Z,7155,1.69,1.69164,1.68983,1.69078,1.69,1.69164,1.68983,1.69078,1.6904,1.69204,1.69024,1.69114
2024-01-08T06:00:00.000000Z,12631,1.69072,1.69157,1.68763,1.6891,1.69072,1.69157,1.68763,1.6891,1.69109,1.69197,1.68805,1.68949
2024-01-08T10:00:00.000000Z,14111,1.68918,1.69318,1.68893,1.69155,1.68918,1.69318,1.68893,1.69155,1.68954,1.69356,1.6893,1.69189
2024-01-08T14:00:00.000000Z,18883,1.69155,1.69485,1.69088,1.69391,1.69155,1.69485,1.69088,1.69391,1.6919,1.69518,1.69126,1.69427
2024-01-08T18:00:00.000000Z,9646,1.69392,1.69425,1.69225,1.69248,1.69392,1.69425,1.69225,1.69248,1.69425,1.69462,1.69292,1.69359
2024-01-08T22:00:00.000000Z,4463,1.69243,1.69433,1.69085,1.69364,1.69243,1.69433,1.69085,1.69364,1.69355,1.69551,1.69291,1.69399
