time,volume,open,high,low,close,bid_open,bid_high,bid_low,bid_close,ask_open,ask_high,ask_low,ask_close
2024-01-01T22:00:00.000000Z,83934,89.091,89.375,88.623,88.749,89.091,89.375,88.623,88.749,89.173,89.4,88.649,88.785
2024-01-02T22:00:00.000000Z,92238,88.65,89.589,88.637,89.443,88.65,89.589,88.637,89.443,88.795,89.617,88.729,89.483
2024-01-03T22:00:00.000000Z,93284,89.493,90.241,89.195,90.142,89.493,90.241,89.195,90.142,89.609,90.272,89.222,90.176
2024-01-04T22:00:00.000000Z,119645,90.049,90.504,89.986,90.276,90.049,90.504,89.986,90.276,90.187,90.571,90.093,90.36
2024-01-07T22:00:00.000000Z,77644,90.284,90.494,89.753,90.121,90.284,90.494,89.753,90.121,90.36,90.52,89.779,90.16
2024-01-08T22:00:00.000000Z,98668,90.122,90.169,89.675,90.134,90.122,90.169,89.675,90.134,90.25,90.342,89.7,90.17
2024-01-09T22:00:00.000000Z,81004,90.002,90.727,89.942,90.715,90.002,90.727,89.942,90.715,90.193,90.763,90.029,90.749
2024-01-10T22:00:00.000000Z,117344,90.618,90.976,90.546,90.553,90.618,90.976,90.546,90.553,90.743,91.0,90.569,90.588
2024-01-11T22:00:00.000000Z,100589,90.456,90.807,90.356,90.407,90.456,90.807,90.356,90.407,90.547,90.848,90.383,90.459
2024-01-14T22:00:00.000000Z,55495,90.404,90.534,90.079,90.358,90.404,90.534,90.079,90.358,90.455,90.566,90.103,90.402
2024-01-15T22:00:00.000000Z,113918,90.302,90.419,89.88,90.31,90.302,90.419,89.88,90.31,90.417,90.516,89.907,90.345
2024-01-16T22:00:00.000000Z,120149,90.37,90.562,90.166,90.542,90.37,90.562,90.166,90.542,90.422,90.6,90.193,90.575
2024-01-17T22:00:00.000000Z,112641,90.477,90.793,90.17,90.559,90.477,90.793,90.17,90.559,90.656,90.817,90.278,90.605
2024-01-18T22:00:00.000000Z,98100,90.413,90.693,90.301,90.572,90.413,90.693,90.301,90.572,90.613,90.719,90.326,90.648
2024-01-21T22:00:00.000000Z,90537,90.627,90.797,89.898,89.982,90.627,90.797,89.898,89.982,90.803,90.824,89.922,90.015
2024-01-22T22:00:00.000000Z,97946,89.948,90.6,89.73,90.515,89.948,90.6,89.73,90.515,90.081,90.627,89.758,90.543
2024-01-23T22:00:00.000000Z,98310,90.425,90.545,90.014,90.09,90.425,90.545,90.014,90.09,90.622,90.622,90.038,90.129
2024-01-24T22:00:00.000000Z,88277,90.004,90.419,89.969,90.189,90.004,90.419,89.969,90.189,90.148,90.446,90.084,90.227
2024-01-25T22:00:00.000000Z,70821,90.131,90.397,90.037,90.198,90.131,90.397,90.037,90.198,90.265,90.424,90.062,90.26
2024-01-28T22:00:00.000000Z,64231,90.158,90.503,90.07,90.423,90.158,90.503,90.07,90.423,90.346,90.527,90.098,90.464
2024-01-29T22:00:00.000000Z,74992,90.425,90.577,90.223,90.544,90.425,90.577,90.223,90.544,90.479,90.604,90.248,90.581
2024-01-30T22:00:00.000000Z,129540,90.518,90.709,89.751,89.846,90.518,90.709,89.751,89.846,90.584,90.733,89.786,89.893
2024-01-31T22:00:00.000000Z,107816,89.79,90.002,89.25,89.913,89.79,90.002,89.25,89.913,89.97,90.028,89.273,89.945
2024-02-01T22:00:00.000000Z,91319,89.911,90.329,89.789,89.939,89.911,90.329,89.789,89.939,89.972,90.355,89.903,90.008
2024-02-04T22:00:00.000000Z,84981,89.989,90.266,89.752,89.994,89.989,90.266,89.752,89.994,90.182,90.29,89.781,90.026
2024-02-05T22:00:00.000000Z,82423,89.869,90.225,89.792,90.183,89.869,90.225,89.792,90.183,90.069,90.252,89.817,90.21
2024-02-06T22:00:00.000000Z,73623,90.128,90.685,90.058,90.498,90.128,90.685,90.058,90.498,90.232,90.71,90.105,90.552
2024-02-07T22:00:00.000000Z,71314,90.522,91.024,90.404,91.008,90.522,91.024,90.404,91.008,90.565,91.055,90.43,91.045
2024-02-08T22:00:00.000000Z,65948,91.005,91.856,90.85,91.788,91.005,91.856,90.85,91.788,91.205,91.884,90.993,91.838
2024-02-11T22:00:00.000000Z,53874,91.675,91.768,91.228,91.512,91.675,91.768,91.228,91.512,91.875,91.88,91.252,91.55
2024-02-12T22:00:00.000000Z,80913,91.464,91.564,91.012,91.363,91.464,91.564,91.012,91.363,91.604,91.644,91.068,91.406
2024-02-13T22:00:00.000000Z,71358,91.31,91.64,91.125,91.579,91.31,91.64,91.125,91.579,91.424,91.665,91.152,91.632
2024-02-14T22:00:00.000000Z,76609,91.505,91.824,91.253,91.539,91.505,91.824,91.253,91.539,91.654,91.848,91.277,91.562
2024-02-15T22:00:00.000000Z,71885,91.521,92.107,91.436,91.96,91.521,92.107,91.436,91.96,91.594,92.135,91.462,92.012
2024-02-18T22:00:00.000000Z,38194,91.978,92.34,91.843,92.307,91.978,92.34,91.843,92.307,92.026,92.366,91.952,92.348
2024-02-19T22:00:00.000000Z,75166,92.295,92.797,92.136,92.397,92.295,92.797,92.136,92.397,92.359,92.822,92.161,92.427
2024-02-20T22:00:00.000000Z,77742,92.357,92.98,92.34,92.849,92.357,92.98,92.34,92.849,92.48,93.005,92.426,92.891
2024-02-21T22:00:00.000000Z,78975,92.807,93.357,92.747,93.232,92.807,93.357,92.747,93.232,92.901,93.384,92.862,93.269
2024-02-22T22:00:00.000000Z,61177,93.206,93.441,93.056,93.26,93.206,93.441,93.056,93.26,93.265,93.466,93.08,93.308
2024-02-25T22:00:00.000000Z,61999,93.119,93.233,92.649,93.004,93.119,93.233,92.649,93.004,93.309,93.333,92.674,93.036
2024-02-26T22:00:00.000000Z,63565,92.982,93.018,92.569,92.85,92.982,93.018,92.569,92.85,93.05,93.067,92.593,92.877
2024-02-27T22:00:00.000000Z,70971,92.85,92.931,91.672,91.851,92.85,92.931,91.672,91.851,92.971,93.052,91.695,91.888
2024-02-28T22:00:00.000000Z,85870,91.859,91.88,91.044,91.27,91.859,91.88,91.044,91.27,91.922,91.961,91.064,91.311
2024-02-29T22:00:00.000000Z,67626,91.25,91.767,91.119,91.654,91.25,91.767,91.119,91.654,91.3,91.792,91.264,91.72
2024-03-03T22:00:00.000000Z,52195,91.613,91.818,91.499,91.711,91.613,91.818,91.499,91.711,91.798,91.843,91.524,91.748
2024-03-04T22:00:00.000000Z,67265,91.728,91.745,91.129,91.313,91.728,91.745,91.129,91.313,91.829,91.914,91.154,91.352
