time,volume,open,high,low,close,bid_open,bid_high,bid_low,bid_close,ask_open,ask_high,ask_low,ask_close
2024-01-01T18:00:00.000000Z,1,89.091,89.091,89.091,89.091,89.091,89.091,89.091,89.091,89.173,89.173,89.173,89.173
2024-01-01T22:00:00.000000Z,7390,89.091,89.258,88.965,89.155,89.091,89.258,88.965,89.155,89.173,89.285,89.001,89.18
2024-01-02T02:00:00.000000Z,8667,89.157,89.297,89.039,89.266,89.157,89.297,89.039,89.266,89.181,89.32,89.066,89.29
2024-01-02T06:00:00.000000Z,13746,89.267,89.351,89.131,89.32,89.267,89.351,89.131,89.32,89.289,89.378,89.155,89.345
2024-01-02T10:00:00.000000Z,20474,89.317,89.375,88.998,89.107,89.317,89.375,88.998,89.107,89.343,89.4,89.023,89.135
2024-01-02T14:00:00.000000Z,26052,89.106,89.118,88.693,88.852,89.106,89.118,88.693,88.852,89.132,89.146,88.72,88.879
2024-01-02T18:00:00.000000Z,7605,88.83,88.83,88.623,88.749,88.83,88.83,88.623,88.749,88.855,88.857,88.649,88.785
2024-01-02T22:00:00.000000Z,8174,88.65,88.876,88.637,88.827,88.65,88.876,88.637,88.827,88.795,88.903,88.729,88.853
2024-01-03T02:00:00.000000Z,6229,88.825,89.117,88.788,89.103,88.825,89.117,88.788,89.103,88.852,89.144,88.814,89.128
2024-01-03T06:00:00.000000Z,15334,89.101,89.289,89.027,89.206,89.101,89.289,89.027,89.206,89.125,89.314,89.056,89.233
2024-01-03T10:00:00.000000Z,15413,89.206,89.264,88.982,88.984,89.206,89.264,88.982,88.984,89.232,89.287,89.006,89.012
2024-01-03T14:00:00.000000Z,27515,88.984,89.589,88.98,89.54,88.984,89.589,88.98,89.54,89.011,89.617,89.003,89.561
2024-01-03T18:00:00.000000Z,19573,89.48,89.575,89.294,89.443,89.48,89.575,89.294,89.443,89.512,89.608,89.325,89.483
2024-01-03T22:00:00.000000Z,10832,89.493,89.543,89.195,89.515,89.493,89.543,89.195,89.515,89.609,89.618,89.222,89.538
2024-01-04T02:00:00.000000Z,9617,89.515,90.098,89.475,90.016,89.515,90.098,89.475,90.016,89.54,90.122,89.5,90.044
2024-01-04T06:00:00.000000Z,19740,90.022,90.15,89.879,90.073,90.022,90.15,89.879,90.073,90.048,90.175,89.905,90.099
2024-01-04T10:00:00.000000Z,20886,90.073,90.241,89.975,90.101,90.073,90.241,89.975,90.101,90.101,90.272,90.027,90.128
2024-01-04T14:00:00.000000Z,23417,90.103,90.216,89.941,90.004,90.103,90.216,89.941,90.004,90.128,90.244,89.969,90.031
2024-01-04T18:00:00.000000Z,8792,89.991,90.154,89.942,90.142,89.991,90.154,89.942,90.142,90.021,90.186,89.97,90.176
2024-01-04T22:00:00.000000Z,7656,90.049,90.362,89.986,90.286,90.049,90.362,89.986,90.286,90.187,90.387,90.126,90.311
2024-01-05T02:00:00.000000Z,7666,90.287,90.343,90.068,90.167,90.287,90.343,90.068,90.167,90.31,90.368,90.093,90.192
2024-01-05T06:00:00.000000Z,18526,90.158,90.455,90.146,90.276,90.158,90.455,90.146,90.276,90.183,90.483,90.171,90.299
2024-01-05T10:00:00.000000Z,23648,90.276,90.449,90.145,90.416,90.276,90.449,90.145,90.416,90.301,90.473,90.205,90.445
2024-01-05T14:00:00.000000Z,46003,90.419,90.504,90.204,90.401,90.419,90.504,90.204,90.401,90.444,90.571,90.233,90.429
2024-01-05T18:00:00.000000Z,16146,90.392,90.472,90.256,90.276,90.392,90.472,90.256,90.276,90.419,90.496,90.302,90.36
2024-01-07T22:00:00.000000Z,6651,90.284,90.494,90.103,90.274,90.284,90.494,90.103,90.274,90.36,90.52,90.247,90.299
2024-01-08T02:00:00.000000Z,6085,90.274,90.328,89.992,90.025,90.274,90.328,89.992,90.025,90.297,90.352,90.016,90.049
2024-01-08T06:00:00.000000Z,15850,90.023,90.122,89.856,89.896,90.023,90.122,89.856,89.896,90.047,90.147,89.881,89.92
2024-01-08T10:00:00.000000Z,13581,89.896,89.963,89.776,89.8,89.896,89.963,89.776,89.8,89.919,89.989,89.802,89.828
2024-01-08T14:00:00.000000Z,22464,89.801,89.941,89.753,89.895,89.801,89.941,89.753,89.895,89.827,89.966,89.779,89.921
2024-01-08T18:00:00.000000Z,13013,89.875,90.167,89.855,90.121,89.875,90.167,89.855,90.121,89.897,90.196,89.881,90.16
2024-01-08T22:00:00.000000Z,11458,90.122,90.169,89.779,89.791,90.122,90.169,89.779,89.791,90.25,90.342,89.807,89.815
2024-01-09T02:00:00.000000Z,10673,89.789,89.975,89.7,89.734,89.789,89.975,89.7,89.734,89.815,90.003,89.727,89.759
2024-01-09T06:00:00.000000Z,22180,89.735,90.037,89.733,89.928,89.735,90.037,89.733,89.928,89.758,90.065,89.758,89.956
2024-01-09T10:00:00.000000Z,17490,89.926,89.963,89.772,89.806,89.926,89.963,89.772,89.806,89.956,89.992,89.799,89.833
2024-01-09T14:00:00.000000Z,20620,89.806,90.097,89.675,90.026,89.806,90.097,89.675,90.026,89.832,90.124,89.7,90.052
2024-01-09T18:00:00.000000Z,16247,89.995,90.146,89.963,90.134,89.995,90.146,89.963,90.134,90.024,90.187,89.992,90.17
2024-01-09T22:00:00.000000Z,9963,90.002,90.345,89.942,90.317,90.002,90.345,89.942,90.317,90.193,90.37,90.029,90.344
2024-01-10T02:00:00.000000Z,7241,90.314,90.477,90.298,90.328,90.314,90.477,90.298,90.328,90.34,90.503,90.321,90.355
2024-01-10T06:00:00.000000Z,15282,90.328,90.652,90.283,90.511,90.328,90.652,90.283,90.511,90.354,90.677,90.306,90.536
2024-01-10T10:00:00.000000Z,15539,90.508,90.581,90.394,90.465,90.508,90.581,90.394,90.465,90.533,90.606,90.42,90.489
2024-01-10T14:00:00.000000Z,20594,90.464,90.7,90.432,90.682,90.464,90.7,90.432,90.682,90.489,90.724,90.455,90.709
2024-01-10T18:00:00.000000Z,12385,90.619,90.727,90.524,90.715,90.619,90.727,90.524,90.715,90.647,90.763,90.55,90.749
2024-01-10T22:00:00.000000Z,8436,90.618,90.803,90.598,90.704,90.618,90.803,90.598,90.704,90.743,90.832,90.653,90.73
2024-01-11T02:00:00.000000Z,8770,90.708,90.955,90.676,90.934,90.708,90.955,90.676,90.934,90.733,90.979,90.7,90.96
2024-01-11T06:00:00.000000Z,13305,90.936,90.976,90.818,90.907,90.936,90.976,90.818,90.907,90.96,91.0,90.843,90.933
2024-01-11T10:00:00.000000Z,25383,90.909,90.962,90.586,90.779,90.909,90.962,90.586,90.779,90.934,90.993,90.619,90.806
2024-01-11T14:00:00.000000Z,44142,90.779,90.928,90.558,90.679,90.779,90.928,90.558,90.679,90.807,90.954,90.582,90.7
2024-01-11T18:00:00.000000Z,17308,90.685,90.764,90.546,90.553,90.685,90.764,90.546,90.553,90.71,90.787,90.569,90.588
2024-01-11T22:00:00.000000Z,11627,90.456,90.735,90.356,90.723,90.456,90.735,90.356,90.723,90.547,90.76,90.383,90.749
