time,volume,open,high,low,close,bid_open,bid_high,bid_low,bid_close,ask_open,ask_high,ask_low,ask_close
2024-01-01T18:00:00.000000Z,1,89.091,89.091,89.091,89.091,89.091,89.091,89.091,89.091,89.173,89.173,89.173,89.173
2024-01-01T22:00:00.000000Z,246,89.091,89.091,88.965,89.053,89.091,89.091,88.965,89.053,89.173,89.246,89.107,89.145
2024-01-01T22:30:00.000000Z,377,89.02,89.094,88.993,89.002,89.02,89.094,88.993,89.002,89.148,89.197,89.07,89.08
2024-01-01T23:00:00.000000Z,852,89.003,89.062,88.966,89.055,89.003,89.062,88.966,89.055,89.078,89.124,89.001,89.086
2024-01-01T23:30:00.000000Z,798,89.059,89.107,88.993,89.092,89.059,89.107,88.993,89.092,89.089,89.136,89.02,89.125
2024-01-02T00:00:00.000000Z,824,89.093,89.235,89.092,89.194,89.093,89.235,89.092,89.194,89.125,89.261,89.123,89.219
2024-01-02T00:30:00.000000Z,728,89.198,89.212,89.1,89.107,89.198,89.212,89.1,89.107,89.224,89.238,89.124,89.135
2024-01-02T01:00:00.000000Z,1654,89.109,89.22,89.107,89.209,89.109,89.22,89.107,89.209,89.136,89.247,89.13,89.232
2024-01-02T01:30:00.000000Z,1911,89.209,89.258,89.135,89.155,89.209,89.258,89.135,89.155,89.233,89.285,89.158,89.18
2024-01-02T02:00:00.000000Z,1162,89.157,89.183,89.1,89.124,89.157,89.183,89.1,89.124,89.181,89.211,89.124,89.146
2024-01-02T02:30:00.000000Z,1432,89.125,89.238,89.039,89.124,89.125,89.238,89.039,89.124,89.145,89.264,89.066,89.148
2024-01-02T03:00:00.000000Z,831,89.129,89.186,89.063,89.186,89.129,89.186,89.063,89.186,89.154,89.213,89.089,89.213
2024-01-02T03:30:00.000000Z,876,89.183,89.231,89.152,89.154,89.183,89.231,89.152,89.154,89.211,89.257,89.18,89.182
2024-01-02T04:00:00.000000Z,516,89.159,89.234,89.128,89.218,89.159,89.234,89.128,89.218,89.187,89.26,89.153,89.245
2024-01-02T04:30:00.000000Z,521,89.22,89.25,89.193,89.208,89.22,89.25,89.193,89.208,89.245,89.277,89.22,89.236
2024-01-02T05:00:00.000000Z,1394,89.212,89.269,89.199,89.244,89.212,89.269,89.199,89.244,89.239,89.292,89.228,89.273
2024-01-02T05:30:00.000000Z,1935,89.242,89.297,89.226,89.266,89.242,89.297,89.226,89.266,89.272,89.32,89.25,89.29
2024-01-02T06:00:00.000000Z,816,89.267,89.307,89.246,89.302,89.267,89.307,89.246,89.302,89.289,89.334,89.271,89.326
2024-01-02T06:30:00.000000Z,709,89.298,89.324,89.279,89.297,89.298,89.324,89.279,89.297,89.322,89.349,89.303,89.323
2024-01-02T07:00:00.000000Z,2113,89.295,89.32,89.195,89.223,89.295,89.32,89.195,89.223,89.323,89.345,89.224,89.248
2024-01-02T07:30:00.000000Z,2125,89.221,89.236,89.132,89.197,89.221,89.236,89.132,89.197,89.246,89.263,89.159,89.223
2024-01-02T08:00:00.000000Z,2361,89.19,89.297,89.131,89.151,89.19,89.297,89.131,89.151,89.217,89.323,89.155,89.176
2024-01-02T08:30:00.000000Z,2024,89.153,89.251,89.145,89.243,89.153,89.251,89.145,89.243,89.177,89.278,89.173,89.27
2024-01-02T09:00:00.000000Z,1878,89.241,89.351,89.217,89.3,89.241,89.351,89.217,89.3,89.267,89.378,89.242,89.323
2024-01-02T09:30:00.000000Z,1720,89.298,89.34,89.243,89.32,89.298,89.34,89.243,89.32,89.323,89.366,89.266,89.345
2024-01-02T10:00:00.000000Z,2204,89.317,89.375,89.27,89.285,89.317,89.375,89.27,89.285,89.343,89.4,89.296,89.309
2024-01-02T10:30:00.000000Z,2456,89.289,89.352,89.262,89.35,89.289,89.352,89.262,89.35,89.312,89.379,89.288,89.379
2024-01-02T11:00:00.000000Z,2233,89.349,89.358,89.177,89.195,89.349,89.358,89.177,89.195,89.377,89.386,89.203,89.218
2024-01-02T11:30:00.000000Z,1806,89.198,89.198,89.026,89.073,89.198,89.198,89.026,89.073,89.22,89.225,89.05,89.1
2024-01-02T12:00:00.000000Z,2738,89.076,89.169,89.047,89.163,89.076,89.169,89.047,89.163,89.102,89.197,89.074,89.189
2024-01-02T12:30:00.000000Z,3775,89.161,89.206,89.121,89.123,89.161,89.206,89.121,89.123,89.189,89.232,89.145,89.151
2024-01-02T13:00:00.000000Z,2497,89.124,89.141,88.998,89.017,89.124,89.141,88.998,89.017,89.153,89.168,89.023,89.046
