time,volume,open,high,low,close,bid_open,bid_high,bid_low,bid_close,ask_open,ask_high,ask_low,ask_close
2024-01-01T22:00:00.000000Z,66107,106.577,107.256,106.56,107.011,106.577,107.256,106.56,107.011,106.786,107.279,106.721,107.069
2024-01-02T22:00:00.000000Z,75620,106.993,108.089,106.929,107.821,106.993,108.089,106.929,107.821,107.051,108.128,106.958,107.888
2024-01-03T22:00:00.000000Z,69445,107.665,108.911,107.538,108.769,107.665,108.911,107.538,108.769,107.907,108.932,107.56,108.83
2024-01-04T22:00:00.000000Z,92697,108.77,109.409,108.451,108.633,108.77,109.409,108.451,108.633,108.822,109.446,108.475,108.863
2024-01-07T22:00:00.000000Z,66943,108.69,108.96,108.163,108.575,108.69,108.96,108.163,108.575,108.895,109.02,108.183,108.641
2024-01-08T22:00:00.000000Z,74592,108.568,108.606,108.024,108.455,108.568,108.606,108.024,108.455,108.634,108.718,108.044,108.705
2024-01-09T22:00:00.000000Z,60368,108.447,109.486,108.37,109.441,108.447,109.486,108.37,109.441,108.697,109.51,108.465,109.501
2024-01-10T22:00:00.000000Z,93931,109.287,109.787,109.009,109.148,109.287,109.787,109.009,109.148,109.514,109.807,109.164,109.212
2024-01-11T22:00:00.000000Z,79449,109.028,109.273,108.613,108.753,109.028,109.273,108.613,108.753,109.244,109.326,108.635,108.884
2024-01-14T22:00:00.000000Z,39002,108.744,109.427,108.633,109.244,108.744,109.427,108.633,109.244,108.886,109.45,108.854,109.391
2024-01-15T22:00:00.000000Z,82138,109.152,109.688,109.101,109.611,109.152,109.688,109.101,109.611,109.402,109.709,109.122,109.669
2024-01-16T22:00:00.000000Z,76612,109.6,110.289,109.451,110.158,109.6,110.289,109.451,110.158,109.661,110.309,109.566,110.219
2024-01-17T22:00:00.000000Z,69114,110.16,110.272,109.928,110.214,110.16,110.272,109.928,110.214,110.219,110.293,109.95,110.274
2024-01-18T22:00:00.000000Z,68423,110.217,110.768,110.05,110.44,110.217,110.768,110.05,110.44,110.277,110.789,110.156,110.639
2024-01-21T22:00:00.000000Z,59752,110.441,110.587,110.07,110.35,110.441,110.587,110.07,110.35,110.64,110.658,110.089,110.41
2024-01-22T22:00:00.000000Z,77148,110.347,110.777,109.868,110.598,110.347,110.777,109.868,110.598,110.406,110.799,109.899,110.657
2024-01-23T22:00:00.000000Z,75226,110.513,110.612,109.73,110.101,110.513,110.612,109.73,110.101,110.707,110.718,109.752,110.164
2024-01-24T22:00:00.000000Z,70393,110.081,110.366,109.845,110.147,110.081,110.366,109.845,110.147,110.141,110.481,109.864,110.212
2024-01-25T22:00:00.000000Z,60133,110.019,110.538,109.978,110.383,110.019,110.538,109.978,110.383,110.254,110.6,110.032,110.562
2024-01-28T22:00:00.000000Z,54745,110.363,110.561,109.924,110.061,110.363,110.561,109.924,110.061,110.493,110.586,109.949,110.127
2024-01-29T22:00:00.000000Z,56972,110.062,110.323,109.862,110.188,110.062,110.323,109.862,110.188,110.129,110.343,109.885,110.25
2024-01-30T22:00:00.000000Z,112204,110.188,110.379,109.203,109.646,110.188,110.379,109.203,109.646,110.248,110.398,109.256,109.712
2024-01-31T22:00:00.000000Z,92040,109.633,109.714,109.111,109.511,109.633,109.714,109.111,109.511,109.697,109.736,109.131,109.573
2024-02-01T22:00:00.000000Z,73617,109.384,110.567,109.384,110.411,109.384,110.567,109.384,110.411,109.621,110.677,109.43,110.661
2024-02-04T22:00:00.000000Z,66070,110.426,110.629,110.114,110.357,110.426,110.629,110.114,110.357,110.676,110.725,110.185,110.417
2024-02-05T22:00:00.000000Z,65700,110.342,110.531,109.974,110.044,110.342,110.531,109.974,110.044,110.405,110.552,109.994,110.103
2024-02-06T22:00:00.000000Z,60101,109.967,110.371,109.889,110.266,109.967,110.371,109.889,110.266,110.14,110.388,109.95,110.326
2024-02-07T22:00:00.000000Z,63820,110.168,110.901,110.084,110.807,110.168,110.901,110.084,110.807,110.313,110.919,110.177,110.866
2024-02-08T22:00:00.000000Z,57305,110.715,111.063,110.679,110.811,110.715,111.063,110.679,110.811,110.965,111.084,110.792,110.989
2024-02-11T22:00:00.000000Z,41110,110.836,111.14,110.682,111.051,110.836,111.14,110.682,111.051,111.037,111.16,110.774,111.104
2024-02-12T22:00:00.000000Z,62747,110.994,111.632,110.93,111.579,110.994,111.632,110.93,111.579,111.182,111.656,110.987,111.64
2024-02-13T22:00:00.000000Z,58467,111.559,111.723,111.312,111.68,111.559,111.723,111.312,111.68,111.655,111.789,111.418,111.784
2024-02-14T22:00:00.000000Z,65645,111.571,111.707,111.033,111.394,111.571,111.707,111.033,111.394,111.764,111.764,111.141,111.453
2024-02-15T22:00:00.000000Z,57523,111.339,111.74,111.286,111.465,111.339,111.74,111.286,111.465,111.52,111.873,111.365,111.705
2024-02-18T22:00:00.000000Z,31280,111.409,111.595,111.267,111.478,111.409,111.595,111.267,111.478,111.659,111.659,111.408,111.623
2024-02-19T22:00:00.000000Z,55116,111.406,111.751,111.402,111.607,111.406,111.751,111.402,111.607,111.656,111.771,111.473,111.667
2024-02-20T22:00:00.000000Z,50946,111.58,111.875,111.499,111.804,111.58,111.875,111.499,111.804,111.689,111.955,111.58,111.863
2024-02-21T22:00:00.000000Z,63579,111.796,112.16,111.769,112.065,111.796,112.16,111.769,112.065,111.864,112.25,111.84,112.124
2024-02-22T22:00:00.000000Z,51072,111.963,112.118,111.868,111.99,111.963,112.118,111.868,111.99,112.122,112.173,111.889,112.124
2024-02-25T22:00:00.000000Z,47681,111.982,112.17,111.804,112.075,111.982,112.17,111.804,112.075,112.127,112.191,111.825,112.131
