time,volume,open,high,low,close,bid_open,bid_high,bid_low,bid_close,ask_open,ask_high,ask_low,ask_close
2024-01-01T22:00:00.000000Z,4236,4.674,4.767,4.674,4.748,4.674,4.767,4.674,4.748,4.774,4.791,4.753,4.785
2024-01-02T22:00:00.000000Z,6261,4.745,4.815,4.697,4.797,4.745,4.815,4.697,4.797,4.785,4.83,4.768,4.82
2024-01-03T22:00:00.000000Z,4960,4.775,4.839,4.731,4.824,4.775,4.839,4.731,4.824,4.81,4.865,4.789,4.865
2024-01-04T22:00:00.000000Z,5572,4.826,4.875,4.803,4.823,4.826,4.875,4.803,4.823,4.857,4.888,4.816,4.847
2024-01-07T22:00:00.000000Z,12178,4.817,4.836,4.794,4.815,4.817,4.836,4.794,4.815,4.864,4.875,4.808,4.833
2024-01-08T22:00:00.000000Z,3669,4.8,4.82,4.779,4.815,4.8,4.82,4.779,4.815,4.826,4.845,4.792,4.838
2024-01-09T22:00:00.000000Z,2123,4.805,4.856,4.798,4.852,4.805,4.856,4.798,4.852,4.828,4.872,4.818,4.872
2024-01-10T22:00:00.000000Z,4063,4.83,4.854,4.801,4.802,4.83,4.854,4.801,4.802,4.862,4.908,4.831,4.876
2024-01-11T22:00:00.000000Z,7708,4.756,4.831,4.734,4.805,4.756,4.831,4.734,4.805,4.85,4.858,4.803,4.82
2024-01-14T22:00:00.000000Z,3037,4.796,4.838,4.757,4.785,4.796,4.838,4.757,4.785,4.825,4.915,4.819,4.861
2024-01-15T22:00:00.000000Z,3646,4.827,4.882,4.75,4.868,4.827,4.882,4.75,4.868,4.858,4.956,4.838,4.888
2024-01-16T22:00:00.000000Z,3060,4.872,4.92,4.863,4.905,4.872,4.92,4.863,4.905,4.899,4.931,4.885,4.921
2024-01-17T22:00:00.000000Z,4118,4.9,4.9,4.871,4.883,4.9,4.9,4.871,4.883,4.919,4.93,4.891,4.93
2024-01-18T22:00:00.000000Z,4788,4.883,4.915,4.875,4.89,4.883,4.915,4.875,4.89,4.931,4.957,4.898,4.917
2024-01-21T22:00:00.000000Z,2634,4.887,4.892,4.87,4.884,4.887,4.892,4.87,4.884,4.914,4.919,4.882,4.905
2024-01-22T22:00:00.000000Z,3964,4.877,4.9,4.792,4.89,4.877,4.9,4.792,4.89,4.905,4.995,4.858,4.964
2024-01-23T22:00:00.000000Z,4010,4.888,4.888,4.84,4.865,4.888,4.888,4.84,4.865,4.908,4.964,4.851,4.893
2024-01-24T22:00:00.000000Z,4260,4.86,4.865,4.837,4.853,4.86,4.865,4.837,4.853,4.878,4.886,4.85,4.875
2024-01-25T22:00:00.000000Z,11866,4.845,4.877,4.766,4.87,4.845,4.877,4.766,4.87,4.88,4.976,4.866,4.901
2024-01-28T22:00:00.000000Z,3267,4.867,4.878,4.833,4.846,4.867,4.878,4.833,4.846,4.886,4.903,4.856,4.865
2024-01-29T22:00:00.000000Z,2552,4.837,4.863,4.761,4.849,4.837,4.863,4.761,4.849,4.866,4.877,4.848,4.865
2024-01-30T22:00:00.000000Z,8146,4.847,4.861,4.8,4.834,4.847,4.861,4.8,4.834,4.865,4.935,4.813,4.852
2024-01-31T22:00:00.000000Z,5789,4.815,4.825,4.79,4.804,4.815,4.825,4.79,4.804,4.848,4.848,4.805,4.832
2024-02-01T22:00:00.000000Z,4674,4.794,4.867,4.715,4.833,4.794,4.867,4.715,4.833,4.83,4.912,4.805,4.9
2024-02-04T22:00:00.000000Z,3287,4.811,4.862,4.781,4.854,4.811,4.862,4.781,4.854,4.881,4.924,4.856,4.9
2024-02-05T22:00:00.000000Z,2829,4.85,4.856,4.785,4.828,4.85,4.856,4.785,4.828,4.905,4.93,4.84,4.851
2024-02-06T22:00:00.000000Z,3064,4.826,4.835,4.816,4.829,4.826,4.835,4.816,4.829,4.909,4.909,4.828,4.851
2024-02-07T22:00:00.000000Z,3691,4.813,4.86,4.778,4.848,4.813,4.86,4.778,4.848,4.839,4.883,4.83,4.875
2024-02-08T22:00:00.000000Z,2381,4.842,4.86,4.815,4.844,4.842,4.86,4.815,4.844,4.873,4.906,4.856,4.87
2024-02-11T22:00:00.000000Z,2797,4.846,4.858,4.828,4.847,4.846,4.858,4.828,4.847,4.873,4.874,4.853,4.865
2024-02-12T22:00:00.000000Z,3584,4.845,4.901,4.841,4.895,4.845,4.901,4.841,4.895,4.873,4.995,4.861,4.914
2024-02-13T22:00:00.000000Z,6568,4.895,4.895,4.796,4.878,4.895,4.895,4.796,4.878,4.917,4.941,4.891,4.902
2024-02-14T22:00:00.000000Z,3824,4.87,4.88,4.788,4.837,4.87,4.88,4.788,4.837,4.89,4.958,4.855,4.883
2024-02-15T22:00:00.000000Z,2266,4.85,4.88,4.848,4.85,4.85,4.88,4.848,4.85,4.888,4.895,4.87,4.88
2024-02-18T22:00:00.000000Z,1925,4.85,4.855,4.807,4.851,4.85,4.855,4.807,4.851,4.88,4.917,4.857,4.877
2024-02-19T22:00:00.000000Z,1185,4.85,4.861,4.807,4.84,4.85,4.861,4.807,4.84,4.869,4.875,4.844,4.855
2024-02-20T22:00:00.000000Z,3351,4.82,4.83,4.737,4.805,4.82,4.83,4.737,4.805,4.85,4.86,4.822,4.835
2024-02-21T22:00:00.000000Z,5897,4.794,4.833,4.778,4.827,4.794,4.833,4.778,4.827,4.847,4.927,4.823,4.927
2024-02-22T22:00:00.000000Z,2570,4.817,4.838,4.809,4.82,4.817,4.838,4.809,4.82,4.857,4.922,4.835,4.898
2024-02-25T22:00:00.000000Z,2733,4.816,4.835,4.744,4.826,4.816,4.835,4.744,4.826,4.848,4.857,4.827,4.852
2024-02-26T22:00:00.000000Z,1433,4.823,4.829,4.755,4.82,4.823,4.829,4.755,4.82,4.851,4.851,4.819,4.838
2024-02-27T22:00:00.000000Z,4058,4.816,4.825,4.725,4.811,4.816,4.825,4.725,4.811,4.834,4.855,4.821,4.839
2024-02-28T22:00:00.000000Z,4243,4.8,4.81,4.755,4.775,4.8,4.81,4.755,4.775,4.821,4.84,4.77,4.798
2024-02-29T22:00:00.000000Z,5676,4.777,4.797,4.731,4.763,4.777,4.797,4.731,4.763,4.801,4.818,4.784,4.792
2024-03-03T22:00:00.000000Z,8674,4.758,4.775,4.672,4.736,4.758,4.775,4.672,4.736,4.786,4.819,4.765,4.77
2024-03-04T22:00:00.000000Z,4720,4.744,4.755,4.678,4.702,4.744,4.755,4.678,4.702,4.774,4.778,4.73,4.75
2024-03-05T22:00:00.000000Z,17086,4.705,4.715,4.618,4.681,4.705,4.715,4.618,4.681,4.737,4.76,4.696,4.711
2024-03-06T22:00:00.000000Z,2495,4.665,4.67,4.6,4.601,4.665,4.67,4.6,4.601,4.697,4.71,4.625,4.645
2024-03-07T22:00:00.000000Z,4361,4.612,4.622,4.545,4.582,4.612,4.622,4.545,4.582,4.644,4.692,4.582,4.612
2024-03-10T21:00:00.000000Z,2669,4.567,4.583,4.488,4.569,4.567,4.583,4.488,4.569,4.601,4.606,4.577,4.59
2024-03-11T21:00:00.000000Z,3055,4.566,4.609,4.496,4.586,4.566,4.609,4.496,4.586,4.594,4.632,4.576,4.609
2024-03-12T21:00:00.000000Z,3546,4.585,4.6,4.488,4.585,4.585,4.6,4.488,4.585,4.61,4.615,4.588,4.61
2024-03-13T21:00:00.000000Z,2471,4.575,4.594,4.56,4.584,4.575,4.594,4.56,4.584,4.594,4.614,4.579,4.61
2024-03-14T21:00:00.000000Z,3925,4.582,4.621,4.503,4.607,4.582,4.621,4.503,4.607,4.615,4.687,4.597,4.675
2024-03-17T21:00:00.000000Z,2606,4.606,4.606,4.533,4.59,4.606,4.606,4.533,4.59,4.678,4.678,4.604,4.615
2024-03-18T21:00:00.000000Z,3169,4.586,4.649,4.531,4.637,4.586,4.649,4.531,4.637,4.612,4.665,4.604,4.66
2024-03-19T21:00:00.000000Z,4406,4.642,4.676,4.613,4.657,4.642,4.676,4.613,4.657,4.666,4.751,4.657,4.68
2024-03-20T21:00:00.000000Z,7005,4.647,4.745,4.604,4.707,4.647,4.745,4.604,4.707,4.707,4.768,4.627,4.74
2024-03-21T21:00:00.000000Z,8674,4.681,4.734,4.675,4.702,4.681,4.734,4.675,4.702,4.778,4.789,4.706,4.744
2024-03-24T21:00:00.000000Z,4294,4.667,4.711,4.637,4.695,4.667,4.711,4.637,4.695,4.767,4.791,4.702,4.716
2024-03-25T21:00:00.000000Z,1225,4.694,4.7,4.684,4.691,4.694,4.7,4.684,4.691,4.711,4.716,4.697,4.714
2024-03-26T21:00:00.000000Z,6364,4.691,4.705,4.661,4.671,4.691,4.705,4.661,4.671,4.724,4.724,4.685,4.695
2024-03-27T21:00:00.000000Z,2334,4.657,4.675,4.63,4.653,4.657,4.675,4.63,4.653,4.684,4.7,4.665,4.676
2024-03-28T21:00:00.000000Z,6401,4.659,4.667,4.575,4.633,4.659,4.667,4.575,4.633,4.681,4.75,4.669,4.733
2024-03-31T21:00:00.000000Z,3275,4.643,4.731,4.619,4.667,4.643,4.731,4.619,4.667,4.673,4.82,4.665,4.71
2024-04-01T21:00:00.000000Z,7042,4.671,4.727,4.647,4.715,4.671,4.727,4.647,4.715,4.7,4.778,4.695,4.741
2024-04-02T21:00:00.000000Z,6484,4.694,4.746,4.684,4.728,4.694,4.746,4.684,4.728,4.75,4.761,4.731,4.754
2024-04-03T21:00:00.000000Z,2231,4.713,4.74,4.673,4.702,4.713,4.74,4.673,4.702,4.749,4.771,4.736,4.75
2024-04-04T21:00:00.000000Z,3779,4.712,4.741,4.658,4.701,4.712,4.741,4.658,4.701,4.741,4.801,4.72,4.75
2024-04-07T21:00:00.000000Z,5040,4.636,4.71,4.634,4.69,4.636,4.71,4.634,4.69,4.736,4.779,4.7,4.745
2024-04-08T21:00:00.000000Z,5471,4.703,4.72,4.659,4.68,4.703,4.72,4.659,4.68,4.731,4.74,4.7,4.71
2024-04-09T21:00:00.000000Z,5046,4.685,4.732,4.616,4.727,4.685,4.732,4.616,4.727,4.715,4.75,4.707,4.748
