time,volume,open,high,low,close,bid_open,bid_high,bid_low,bid_close,ask_open,ask_high,ask_low,ask_close
2024-01-01T22:00:00.000000Z,88676,1.3228,1.33332,1.32243,1.33207,1.3228,1.33332,1.32243,1.33207,1.3248,1.33349,1.32296,1.33226
2024-01-02T22:00:00.000000Z,98817,1.33188,1.33714,1.33169,1.33515,1.33188,1.33714,1.33169,1.33515,1.33302,1.33729,1.33189,1.33533
2024-01-03T22:00:00.000000Z,89342,1.33511,1.33653,1.33161,1.33489,1.33511,1.33653,1.33161,1.33489,1.33674,1.33674,1.33182,1.33509
2024-01-04T22:00:00.000000Z,105303,1.3339,1.33982,1.32865,1.33593,1.3339,1.33982,1.32865,1.33593,1.33558,1.34005,1.32884,1.33648
2024-01-07T22:00:00.000000Z,85102,1.33437,1.34043,1.33427,1.33475,1.33437,1.34043,1.33427,1.33475,1.33637,1.34061,1.3346,1.33498
2024-01-08T22:00:00.000000Z,81617,1.33449,1.34142,1.33396,1.33895,1.33449,1.34142,1.33396,1.33895,1.33489,1.34158,1.33414,1.33911
2024-01-09T22:00:00.000000Z,70939,1.33805,1.3394,1.33646,1.33789,1.33805,1.3394,1.33646,1.33789,1.33973,1.33981,1.33662,1.33811
2024-01-10T22:00:00.000000Z,106395,1.33731,1.34422,1.33496,1.33933,1.33731,1.34422,1.33496,1.33933,1.33879,1.34439,1.33516,1.3396
2024-01-11T22:00:00.000000Z,92875,1.33875,1.34112,1.33424,1.34072,1.33875,1.34112,1.33424,1.34072,1.3397,1.34129,1.33443,1.34088
2024-01-14T22:00:00.000000Z,58336,1.34003,1.34475,1.33809,1.34256,1.34003,1.34475,1.33809,1.34256,1.34144,1.34492,1.3383,1.34282
2024-01-15T22:00:00.000000Z,99117,1.3421,1.35011,1.3421,1.34933,1.3421,1.35011,1.3421,1.34933,1.34313,1.35029,1.34261,1.34957
2024-01-16T22:00:00.000000Z,97076,1.34832,1.35411,1.34793,1.35036,1.34832,1.35411,1.34793,1.35036,1.35032,1.35429,1.34814,1.3506
2024-01-17T22:00:00.000000Z,94886,1.35046,1.35262,1.34796,1.34859,1.35046,1.35262,1.34796,1.34859,1.35158,1.35283,1.34817,1.34884
2024-01-18T22:00:00.000000Z,86489,1.34846,1.35013,1.34258,1.34274,1.34846,1.35013,1.34258,1.34274,1.34876,1.35034,1.34284,1.34315
2024-01-21T22:00:00.000000Z,79670,1.34282,1.3482,1.34142,1.34782,1.34282,1.3482,1.34142,1.34782,1.34482,1.34839,1.3416,1.34801
2024-01-22T22:00:00.000000Z,72314,1.34731,1.34912,1.34525,1.34609,1.34731,1.34912,1.34525,1.34609,1.34842,1.34928,1.34544,1.34629
2024-01-23T22:00:00.000000Z,87721,1.34551,1.35276,1.3429,1.35229,1.34551,1.35276,1.3429,1.35229,1.34633,1.35297,1.34309,1.35249
2024-01-24T22:00:00.000000Z,89184,1.35164,1.35337,1.34672,1.34732,1.35164,1.35337,1.34672,1.34732,1.35259,1.35356,1.34693,1.34751
2024-01-25T22:00:00.000000Z,85162,1.34732,1.34823,1.34133,1.34483,1.34732,1.34823,1.34133,1.34483,1.34814,1.34844,1.34151,1.34567
2024-01-28T22:00:00.000000Z,73228,1.34509,1.34645,1.3409,1.34135,1.34509,1.34645,1.3409,1.34135,1.34709,1.34752,1.34107,1.34157
2024-01-29T22:00:00.000000Z,81885,1.34101,1.34458,1.33948,1.33962,1.34101,1.34458,1.33948,1.33962,1.34258,1.34474,1.33965,1.3398
2024-01-30T22:00:00.000000Z,111843,1.33976,1.34453,1.33578,1.34338,1.33976,1.34453,1.33578,1.34338,1.34039,1.34471,1.33595,1.34357
2024-01-31T22:00:00.000000Z,108432,1.34337,1.34635,1.3367,1.33846,1.34337,1.34635,1.3367,1.33846,1.34419,1.34653,1.33686,1.33871
2024-02-01T22:00:00.000000Z,97347,1.3383,1.3475,1.33649,1.34656,1.3383,1.3475,1.33649,1.34656,1.33899,1.34765,1.33669,1.34683
2024-02-04T22:00:00.000000Z,88602,1.3459,1.35432,1.34583,1.35412,1.3459,1.35432,1.34583,1.35412,1.34686,1.35449,1.34627,1.35431
2024-02-05T22:00:00.000000Z,83769,1.35356,1.3543,1.34757,1.34922,1.35356,1.3543,1.34757,1.34922,1.35422,1.35454,1.34775,1.34943
2024-02-06T22:00:00.000000Z,86709,1.34832,1.34918,1.34542,1.34612,1.34832,1.34918,1.34542,1.34612,1.34942,1.34943,1.34559,1.34633
2024-02-07T22:00:00.000000Z,77864,1.34603,1.34923,1.3447,1.3458,1.34603,1.34923,1.3447,1.3458,1.34702,1.34941,1.3449,1.34601
