time,volume,open,high,low,close,bid_open,bid_high,bid_low,bid_close,ask_open,ask_high,ask_low,ask_close
2024-01-01T22:00:00.000000Z,20172,7.11664,7.1284,7.1095,7.12612,7.11664,7.1284,7.1095,7.12612,7.13066,7.13352,7.1108,7.12739
2024-01-02T02:00:00.000000Z,22425,7.1261,7.13468,7.12521,7.12937,7.1261,7.13468,7.12521,7.12937,7.12734,7.13584,7.12637,7.13053
2024-01-02T06:00:00.000000Z,22681,7.12933,7.13974,7.12872,7.13879,7.12933,7.13974,7.12872,7.13879,7.13051,7.14099,7.12974,7.14002
2024-01-02T10:00:00.000000Z,25667,7.13882,7.14993,7.13789,7.14789,7.13882,7.14993,7.13789,7.14789,7.14002,7.151,7.13918,7.14916
2024-01-02T14:00:00.000000Z,39757,7.14789,7.15405,7.1423,7.15045,7.14789,7.15405,7.1423,7.15045,7.14914,7.15531,7.1434,7.15176
2024-01-02T18:00:00.000000Z,13961,7.15045,7.15229,7.14596,7.14892,7.15045,7.15229,7.14596,7.14892,7.15175,7.15341,7.14719,7.15216
2024-01-02T22:00:00.000000Z,33550,7.14564,7.1581,7.14198,7.15718,7.14564,7.1581,7.14198,7.15718,7.15374,7.1592,7.14328,7.15822
2024-01-03T02:00:00.000000Z,19886,7.15718,7.15916,7.14739,7.14968,7.15718,7.15916,7.14739,7.14968,7.15828,7.16033,7.14855,7.1507
2024-01-03T06:00:00.000000Z,23830,7.14981,7.15538,7.14272,7.1533,7.14981,7.15538,7.14272,7.1533,7.15085,7.15644,7.14389,7.15449
2024-01-03T10:00:00.000000Z,20913,7.15332,7.15972,7.15277,7.15783,7.15332,7.15972,7.15277,7.15783,7.15449,7.16091,7.15404,7.15902
2024-01-03T14:00:00.000000Z,33397,7.15784,7.17214,7.15598,7.16221,7.15784,7.17214,7.15598,7.16221,7.15902,7.17315,7.15727,7.16344
2024-01-03T18:00:00.000000Z,24647,7.16225,7.17083,7.16178,7.16402,7.16225,7.17083,7.16178,7.16402,7.16352,7.17223,7.16303,7.16619
2024-01-03T22:00:00.000000Z,25396,7.1638,7.16633,7.15482,7.16131,7.1638,7.16633,7.15482,7.16131,7.17172,7.17337,7.1564,7.16246
2024-01-04T02:00:00.000000Z,20847,7.16135,7.16761,7.16094,7.16519,7.16135,7.16761,7.16094,7.16519,7.16247,7.16877,7.16216,7.16636
2024-01-04T06:00:00.000000Z,30297,7.16512,7.1652,7.15193,7.15451,7.16512,7.1652,7.15193,7.15451,7.16631,7.16632,7.15316,7.15573
2024-01-04T10:00:00.000000Z,28209,7.15446,7.16627,7.15267,7.16614,7.15446,7.16627,7.15267,7.16614,7.15567,7.16746,7.15378,7.16732
