time,volume,open,high,low,close,bid_open,bid_high,bid_low,bid_close,ask_open,ask_high,ask_low,ask_close
2024-01-01T22:00:00.000000Z,4474,6.74815,6.75508,6.74687,6.75471,6.74815,6.75508,6.74687,6.75471,6.75235,6.75769,6.75095,6.75612
2024-01-02T02:00:00.000000Z,6044,6.75471,6.76613,6.75412,6.75545,6.75471,6.76613,6.75412,6.75545,6.75605,6.76755,6.75555,6.75715
2024-01-02T06:00:00.000000Z,19092,6.75539,6.77023,6.75262,6.76755,6.75539,6.77023,6.75262,6.76755,6.75715,6.77165,6.75399,6.76885
2024-01-02T10:00:00.000000Z,26495,6.76766,6.80812,6.76636,6.80585,6.76766,6.80812,6.76636,6.80585,6.769,6.80951,6.76784,6.80727
2024-01-02T14:00:00.000000Z,27930,6.80607,6.81335,6.79627,6.80669,6.80607,6.81335,6.79627,6.80669,6.80744,6.81468,6.79755,6.80795
2024-01-02T18:00:00.000000Z,11534,6.80669,6.81615,6.80345,6.81235,6.80669,6.81615,6.80345,6.81235,6.80805,6.8175,6.80497,6.81485
2024-01-02T22:00:00.000000Z,4563,6.80725,6.81398,6.80585,6.80799,6.80725,6.81398,6.80585,6.80799,6.81355,6.81762,6.80735,6.80945
2024-01-03T02:00:00.000000Z,5790,6.80799,6.80952,6.80041,6.80842,6.80799,6.80952,6.80041,6.80842,6.80935,6.81104,6.80198,6.80995
2024-01-03T06:00:00.000000Z,19065,6.80842,6.81965,6.79875,6.81855,6.80842,6.81965,6.79875,6.81855,6.81,6.82113,6.80014,6.82005
2024-01-03T10:00:00.000000Z,24806,6.81865,6.83523,6.81695,6.82804,6.81865,6.83523,6.81695,6.82804,6.82005,6.83671,6.81835,6.82947
2024-01-03T14:00:00.000000Z,33254,6.82804,6.84211,6.81673,6.83759,6.82804,6.84211,6.81673,6.83759,6.82945,6.84342,6.81822,6.83893
2024-01-03T18:00:00.000000Z,20522,6.83772,6.84615,6.82563,6.82745,6.83772,6.84615,6.82563,6.82745,6.839,6.84757,6.82708,6.82931
2024-01-03T22:00:00.000000Z,3761,6.82615,6.83143,6.82445,6.83057,6.82615,6.83143,6.82445,6.83057,6.83495,6.83648,6.82628,6.83206
2024-01-04T02:00:00.000000Z,3898,6.83053,6.8316,6.82242,6.82412,6.83053,6.8316,6.82242,6.82412,6.83212,6.83311,6.82412,6.82564
2024-01-04T06:00:00.000000Z,18740,6.82403,6.82762,6.79926,6.80005,6.82403,6.82762,6.79926,6.80005,6.82556,6.82922,6.80075,6.80154
2024-01-04T10:00:00.000000Z,21691,6.80005,6.82175,6.79719,6.81255,6.80005,6.82175,6.79719,6.81255,6.8015,6.82314,6.79865,6.81393
