time,volume,open,high,low,close,bid_open,bid_high,bid_low,bid_close,ask_open,ask_high,ask_low,ask_close
2024-01-01T22:00:00.000000Z,40,6.74815,6.74835,6.74687,6.74835,6.74815,6.74835,6.74687,6.74835,6.75235,6.75359,6.75155,6.75245
2024-01-01T22:30:00.000000Z,19,6.74825,6.74835,6.74704,6.74815,6.74825,6.74835,6.74704,6.74815,6.75275,6.75386,6.75155,6.75185
2024-01-01T23:00:00.000000Z,394,6.74855,6.75335,6.74807,6.75265,6.74855,6.75335,6.74807,6.75265,6.75165,6.75646,6.75145,6.75565
2024-01-01T23:30:00.000000Z,584,6.75265,6.75435,6.75203,6.75375,6.75265,6.75435,6.75203,6.75375,6.75575,6.75769,6.75535,6.75605
2024-01-02T00:00:00.000000Z,621,6.75365,6.75505,6.75294,6.75471,6.75365,6.75505,6.75294,6.75471,6.75675,6.75675,6.75452,6.75635
2024-01-02T00:30:00.000000Z,562,6.75483,6.75497,6.75211,6.75214,6.75483,6.75497,6.75211,6.75214,6.75635,6.75655,6.75365,6.75369
2024-01-02T01:00:00.000000Z,1157,6.75225,6.75255,6.74943,6.75179,6.75225,6.75255,6.74943,6.75179,6.75382,6.75414,6.75095,6.75335
2024-01-02T01:30:00.000000Z,1097,6.75185,6.75508,6.75139,6.75471,6.75185,6.75508,6.75139,6.75471,6.75335,6.75652,6.75305,6.75612
2024-01-02T02:00:00.000000Z,739,6.75471,6.76005,6.75412,6.76004,6.75471,6.76005,6.75412,6.76004,6.75605,6.76155,6.75555,6.76155
2024-01-02T02:30:00.000000Z,1383,6.76005,6.76501,6.75975,6.76464,6.76005,6.76501,6.75975,6.76464,6.76162,6.76657,6.76125,6.76625
2024-01-02T03:00:00.000000Z,803,6.7647,6.76532,6.76134,6.76286,6.7647,6.76532,6.76134,6.76286,6.76625,6.76698,6.76285,6.76436
2024-01-02T03:30:00.000000Z,598,6.76284,6.7632,6.76068,6.76086,6.76284,6.7632,6.76068,6.76086,6.76425,6.76479,6.76225,6.76235
2024-01-02T04:00:00.000000Z,538,6.7608,6.76412,6.76055,6.76403,6.7608,6.76412,6.76055,6.76403,6.76235,6.76571,6.76205,6.76555
2024-01-02T04:30:00.000000Z,582,6.76393,6.76613,6.76323,6.76332,6.76393,6.76613,6.76323,6.76332,6.76555,6.76755,6.76475,6.76482
2024-01-02T05:00:00.000000Z,628,6.76325,6.76339,6.75874,6.75989,6.76325,6.76339,6.75874,6.75989,6.7648,6.76487,6.76033,6.76136
2024-01-02T05:30:00.000000Z,773,6.75981,6.75986,6.75525,6.75545,6.75981,6.75986,6.75525,6.75545,6.76133,6.76139,6.75695,6.75715
2024-01-02T06:00:00.000000Z,701,6.75539,6.75765,6.75511,6.75645,6.75539,6.75765,6.75511,6.75645,6.75715,6.75921,6.75665,6.75785
2024-01-02T06:30:00.000000Z,1005,6.75646,6.75952,6.75451,6.75847,6.75646,6.75952,6.75451,6.75847,6.75795,6.76118,6.75595,6.75985
2024-01-02T07:00:00.000000Z,2059,6.75855,6.76105,6.75285,6.75324,6.75855,6.76105,6.75285,6.75324,6.75995,6.76246,6.75427,6.75467
2024-01-02T07:30:00.000000Z,3103,6.75325,6.76745,6.75262,6.76735,6.75325,6.76745,6.75262,6.76735,6.75455,6.76895,6.75399,6.76865
2024-01-02T08:00:00.000000Z,3794,6.7671,6.7671,6.75282,6.75875,6.7671,6.7671,6.75282,6.75875,6.76855,6.76855,6.75415,6.76007
2024-01-02T08:30:00.000000Z,2812,6.75885,6.76115,6.75609,6.75843,6.75885,6.76115,6.75609,6.75843,6.76007,6.76263,6.75745,6.76035
2024-01-02T09:00:00.000000Z,2820,6.75831,6.75892,6.75339,6.75637,6.75831,6.75892,6.75339,6.75637,6.76034,6.76082,6.75485,6.7578
2024-01-02T09:30:00.000000Z,2798,6.75647,6.77023,6.75525,6.76755,6.75647,6.77023,6.75525,6.76755,6.7578,6.77165,6.7566,6.76885
2024-01-02T10:00:00.000000Z,3177,6.76766,6.77861,6.76636,6.77425,6.76766,6.77861,6.76636,6.77425,6.769,6.77996,6.76784,6.77568
2024-01-02T10:30:00.000000Z,3158,6.77415,6.77485,6.76955,6.77194,6.77415,6.77485,6.76955,6.77194,6.77565,6.77644,6.77101,6.77351
2024-01-02T11:00:00.000000Z,4162,6.77195,6.78991,6.77179,6.78905,6.77195,6.78991,6.77179,6.78905,6.77351,6.79155,6.77335,6.7904
2024-01-02T11:30:00.000000Z,3596,6.78905,6.79749,6.78905,6.79595,6.78905,6.79749,6.78905,6.79595,6.79044,6.79895,6.79044,6.79734
2024-01-02T12:00:00.000000Z,2734,6.79581,6.80085,6.79405,6.79829,6.79581,6.80085,6.79405,6.79829,6.79723,6.80224,6.79545,6.79967
2024-01-02T12:30:00.000000Z,3054,6.79829,6.80577,6.79676,6.80571,6.79829,6.80577,6.79676,6.80571,6.79964,6.80714,6.79811,6.80701
2024-01-02T13:00:00.000000Z,3424,6.8055,6.80643,6.79999,6.80267,6.8055,6.80643,6.79999,6.80267,6.80688,6.80778,6.80135,6.80397
2024-01-02T13:30:00.000000Z,3190,6.80261,6.80812,6.79825,6.80585,6.80261,6.80812,6.79825,6.80585,6.80395,6.80951,6.79965,6.80727
2024-01-02T14:00:00.000000Z,3412,6.80607,6.81091,6.80309,6.80625,6.80607,6.81091,6.80309,6.80625,6.80744,6.81228,6.80439,6.80768
2024-01-02T14:30:00.000000Z,5182,6.8064,6.80685,6.79865,6.79945,6.8064,6.80685,6.79865,6.79945,6.80781,6.80818,6.80015,6.80087
2024-01-02T15:00:00.000000Z,4989,6.79957,6.80565,6.79627,6.80175,6.79957,6.80565,6.79627,6.80175,6.80094,6.80703,6.79755,6.80315
2024-01-02T15:30:00.000000Z,5188,6.80181,6.81325,6.80181,6.81165,6.80181,6.81325,6.80181,6.81165,6.80318,6.81455,6.80318,6.81298
2024-01-02T16:00:00.000000Z,3521,6.81158,6.81335,6.80019,6.80252,6.81158,6.81335,6.80019,6.80252,6.81292,6.81468,6.80165,6.80395
2024-01-02T16:30:00.000000Z,2156,6.80265,6.81121,6.80256,6.80374,6.80265,6.81121,6.80256,6.80374,6.80397,6.81257,6.80395,6.80516
2024-01-02T17:00:00.000000Z,1824,6.80374,6.81126,6.80297,6.80611,6.80374,6.81126,6.80297,6.80611,6.80525,6.8127,6.80437,6.80748
2024-01-02T17:30:00.000000Z,1658,6.80612,6.80908,6.80439,6.80669,6.80612,6.80908,6.80439,6.80669,6.80757,6.81053,6.80585,6.80795
2024-01-02T18:00:00.000000Z,1697,6.80669,6.80866,6.80345,6.80478,6.80669,6.80866,6.80345,6.80478,6.80805,6.80995,6.80497,6.80625
2024-01-02T18:30:00.000000Z,1389,6.80485,6.80991,6.80449,6.80972,6.80485,6.80991,6.80449,6.80972,6.80625,6.81134,6.80585,6.81122
2024-01-02T19:00:00.000000Z,1421,6.80979,6.81225,6.80789,6.80814,6.80979,6.81225,6.80789,6.80814,6.81125,6.81357,6.80925,6.80965
2024-01-02T19:30:00.000000Z,1379,6.80815,6.81097,6.80764,6.81013,6.80815,6.81097,6.80764,6.81013,6.80965,6.81245,6.80905,6.81165
2024-01-02T20:00:00.000000Z,1329,6.81011,6.81076,6.80723,6.81051,6.81011,6.81076,6.80723,6.81051,6.81165,6.81221,6.80871,6.81196
2024-01-02T20:30:00.000000Z,1549,6.81049,6.81359,6.80836,6.81342,6.81049,6.81359,6.80836,6.81342,6.81196,6.81513,6.80985,6.81495
2024-01-02T21:00:00.000000Z,920,6.8134,6.81615,6.81328,6.81615,6.8134,6.81615,6.81328,6.81615,6.81495,6.8175,6.81485,6.8175
2024-01-02T21:30:00.000000Z,1850,6.8159,6.8159,6.81136,6.81235,6.8159,6.8159,6.81136,6.81235,6.81747,6.81747,6.81395,6.81485
2024-01-02T22:00:00.000000Z,71,6.80725,6.81225,6.80618,6.81195,6.80725,6.81225,6.80618,6.81195,6.81355,6.81762,6.81355,6.81535
2024-01-02T22:30:00.000000Z,118,6.81195,6.81315,6.80965,6.81195,6.81195,6.81315,6.80965,6.81195,6.81545,6.81704,6.81435,6.81535
2024-01-02T23:00:00.000000Z,477,6.81295,6.81364,6.80884,6.81265,6.81295,6.81364,6.80884,6.81265,6.81505,6.81591,6.81345,6.81427
2024-01-02T23:30:00.000000Z,396,6.81265,6.81398,6.81232,6.81355,6.81265,6.81398,6.81232,6.81355,6.81422,6.81555,6.81395,6.81513
2024-01-03T00:00:00.000000Z,547,6.81355,6.81376,6.80926,6.80929,6.81355,6.81376,6.80926,6.80929,6.8151,6.81532,6.81095,6.81105
