time,volume,open,high,low,close,bid_open,bid_high,bid_low,bid_close,ask_open,ask_high,ask_low,ask_close
2024-01-01T22:00:00.000000Z,11558,7.80836,7.8158,7.80637,7.81533,7.80836,7.8158,7.80637,7.81533,7.81616,7.81826,7.80997,7.81568
2024-01-02T22:00:00.000000Z,13293,7.81534,7.81561,7.80469,7.80665,7.81534,7.81561,7.80469,7.80665,7.816,7.81607,7.80504,7.80719
2024-01-03T22:00:00.000000Z,12215,7.80636,7.80966,7.80535,7.80829,7.80636,7.80966,7.80535,7.80829,7.80833,7.81005,7.80589,7.80891
2024-01-04T22:00:00.000000Z,11727,7.80737,7.81226,7.80722,7.81136,7.80737,7.81226,7.80722,7.81136,7.80873,7.81274,7.80842,7.8122
2024-01-07T22:00:00.000000Z,12698,7.81078,7.81179,7.80551,7.80639,7.81078,7.81179,7.80551,7.80639,7.81262,7.8128,7.80594,7.80693
2024-01-08T22:00:00.000000Z,9601,7.8066,7.8164,7.80552,7.81625,7.8066,7.8164,7.80552,7.81625,7.80731,7.81691,7.80641,7.81687
2024-01-09T22:00:00.000000Z,14053,7.81542,7.82131,7.81484,7.81924,7.81542,7.82131,7.81484,7.81924,7.81629,7.8216,7.81524,7.81994
2024-01-10T22:00:00.000000Z,11361,7.81871,7.8197,7.81535,7.81735,7.81871,7.8197,7.81535,7.81735,7.81976,7.82156,7.81569,7.81812
2024-01-11T22:00:00.000000Z,10046,7.8174,7.82296,7.81606,7.81995,7.8174,7.82296,7.81606,7.81995,7.81945,7.82335,7.81648,7.82218
2024-01-14T22:00:00.000000Z,9727,7.81999,7.82386,7.81703,7.8234,7.81999,7.82386,7.81703,7.8234,7.82261,7.8243,7.81744,7.82386
2024-01-15T22:00:00.000000Z,19219,7.82325,7.82826,7.82025,7.82666,7.82325,7.82826,7.82025,7.82666,7.8242,7.82858,7.82064,7.82729
2024-01-16T22:00:00.000000Z,18433,7.82517,7.82656,7.81853,7.82073,7.82517,7.82656,7.81853,7.82073,7.82698,7.8287,7.81889,7.82137
2024-01-17T22:00:00.000000Z,13054,7.82132,7.82282,7.81751,7.82017,7.82132,7.82282,7.81751,7.82017,7.82254,7.82331,7.81791,7.82093
2024-01-18T22:00:00.000000Z,11668,7.82014,7.82272,7.81665,7.81682,7.82014,7.82272,7.81665,7.81682,7.82136,7.8233,7.81741,7.81772
2024-01-21T22:00:00.000000Z,13555,7.81586,7.81893,7.81553,7.81715,7.81586,7.81893,7.81553,7.81715,7.81968,7.82021,7.81612,7.81768
2024-01-22T22:00:00.000000Z,15698,7.81656,7.82362,7.81563,7.82116,7.81656,7.82362,7.81563,7.82116,7.81784,7.82399,7.81662,7.8219
2024-01-23T22:00:00.000000Z,17747,7.82118,7.82361,7.81714,7.81816,7.82118,7.82361,7.81714,7.81816,7.82281,7.82399,7.8175,7.81876
2024-01-24T22:00:00.000000Z,15089,7.81779,7.81931,7.81516,7.81809,7.81779,7.81931,7.81516,7.81809,7.81936,7.82057,7.81553,7.81865
2024-01-25T22:00:00.000000Z,24655,7.81756,7.81854,7.81251,7.81419,7.81756,7.81854,7.81251,7.81419,7.81866,7.81925,7.81288,7.81527
2024-01-28T22:00:00.000000Z,14416,7.8135,7.81689,7.8117,7.81349,7.8135,7.81689,7.8117,7.81349,7.81514,7.81729,7.81199,7.81448
2024-01-29T22:00:00.000000Z,13923,7.81288,7.81808,7.81131,7.81752,7.81288,7.81808,7.81131,7.81752,7.81472,7.81838,7.81175,7.8179
2024-01-30T22:00:00.000000Z,13895,7.81708,7.8199,7.81649,7.81749,7.81708,7.8199,7.81649,7.81749,7.81816,7.82019,7.81686,7.81811
2024-01-31T22:00:00.000000Z,13694,7.81737,7.82099,7.81574,7.81945,7.81737,7.82099,7.81574,7.81945,7.81923,7.82134,7.81603,7.82027
2024-02-01T22:00:00.000000Z,12503,7.81884,7.82191,7.81725,7.82116,7.81884,7.82191,7.81725,7.82116,7.82062,7.82226,7.81763,7.82173
2024-02-04T22:00:00.000000Z,10645,7.81996,7.82289,7.81974,7.82133,7.81996,7.82289,7.81974,7.82133,7.82154,7.82326,7.82104,7.82177
2024-02-05T22:00:00.000000Z,14107,7.82161,7.82355,7.82058,7.82228,7.82161,7.82355,7.82058,7.82228,7.82232,7.82392,7.82091,7.82288
2024-02-06T22:00:00.000000Z,15636,7.82256,7.82271,7.81804,7.81868,7.82256,7.82271,7.81804,7.81868,7.82378,7.82388,7.81837,7.81969
2024-02-07T22:00:00.000000Z,10842,7.81834,7.82144,7.81778,7.82088,7.81834,7.82144,7.81778,7.82088,7.81957,7.82182,7.81858,7.82136
2024-02-08T22:00:00.000000Z,7814,7.82108,7.82213,7.819,7.81988,7.82108,7.82213,7.819,7.81988,7.82189,7.82254,7.81941,7.82048
2024-02-11T22:00:00.000000Z,8526,7.81906,7.82096,7.81599,7.81626,7.81906,7.82096,7.81599,7.81626,7.8211,7.82164,7.81636,7.81698
2024-02-12T22:00:00.000000Z,7323,7.81646,7.82005,7.8159,7.81954,7.81646,7.82005,7.8159,7.81954,7.81727,7.82039,7.81703,7.82011
2024-02-13T22:00:00.000000Z,10559,7.81862,7.81973,7.81683,7.81773,7.81862,7.81973,7.81683,7.81773,7.81998,7.82115,7.81712,7.81876
2024-02-14T22:00:00.000000Z,10035,7.81794,7.82082,7.81713,7.81916,7.81794,7.82082,7.81713,7.81916,7.81936,7.82113,7.8175,7.8196
2024-02-15T22:00:00.000000Z,11958,7.81934,7.82278,7.81834,7.82164,7.81934,7.82278,7.81834,7.82164,7.82036,7.82315,7.81955,7.82246
2024-02-18T22:00:00.000000Z,8883,7.82032,7.82167,7.81986,7.82055,7.82032,7.82167,7.81986,7.82055,7.82165,7.8221,7.8202,7.82125
2024-02-19T22:00:00.000000Z,8995,7.82063,7.82239,7.8198,7.82042,7.82063,7.82239,7.8198,7.82042,7.82144,7.82269,7.82019,7.82105
2024-02-20T22:00:00.000000Z,10413,7.82016,7.82178,7.81888,7.82065,7.82016,7.82178,7.81888,7.82065,7.82104,7.82213,7.81919,7.82109
2024-02-21T22:00:00.000000Z,10210,7.82024,7.82257,7.81955,7.82189,7.82024,7.82257,7.81955,7.82189,7.82115,7.82293,7.81991,7.82254
2024-02-22T22:00:00.000000Z,10323,7.82186,7.82492,7.82178,7.82348,7.82186,7.82492,7.82178,7.82348,7.82286,7.82535,7.82237,7.82474
2024-02-25T22:00:00.000000Z,10112,7.82266,7.82488,7.82245,7.82378,7.82266,7.82488,7.82245,7.82378,7.82491,7.82561,7.82282,7.82469
2024-02-26T22:00:00.000000Z,11290,7.82386,7.82506,7.82201,7.82325,7.82386,7.82506,7.82201,7.82325,7.82473,7.82546,7.8224,7.82481
2024-02-27T22:00:00.000000Z,10548,7.82343,7.8281,7.82281,7.82771,7.82343,7.8281,7.82281,7.82771,7.82487,7.82846,7.82432,7.82825
2024-02-28T22:00:00.000000Z,10657,7.82773,7.82941,7.82576,7.82877,7.82773,7.82941,7.82576,7.82877,7.82856,7.82972,7.82609,7.82953
2024-02-29T22:00:00.000000Z,11379,7.82883,7.82964,7.82716,7.82752,7.82883,7.82964,7.82716,7.82752,7.8295,7.83,7.82752,7.82903
2024-03-03T22:00:00.000000Z,11163,7.82778,7.82894,7.8235,7.82457,7.82778,7.82894,7.8235,7.82457,7.82925,7.82939,7.82383,7.82524
2024-03-04T22:00:00.000000Z,12578,7.82461,7.82575,7.822,7.82395,7.82461,7.82575,7.822,7.82395,7.82541,7.8261,7.8223,7.82444
2024-03-05T22:00:00.000000Z,10868,7.82383,7.82502,7.82216,7.82481,7.82383,7.82502,7.82216,7.82481,7.82449,7.82545,7.82247,7.82513
2024-03-06T22:00:00.000000Z,15122,7.82363,7.82476,7.8187,7.82052,7.82363,7.82476,7.8187,7.82052,7.82514,7.8256,7.81904,7.82104
2024-03-07T22:00:00.000000Z,15460,7.82036,7.82186,7.81915,7.81966,7.82036,7.82186,7.81915,7.81966,7.82116,7.82215,7.81947,7.82052
2024-03-10T21:00:00.000000Z,10571,7.81956,7.82192,7.81893,7.82158,7.81956,7.82192,7.81893,7.82158,7.82151,7.82238,7.81925,7.82218
2024-03-11T21:00:00.000000Z,12533,7.82035,7.82461,7.81994,7.82312,7.82035,7.82461,7.81994,7.82312,7.822,7.82492,7.82068,7.82386
2024-03-12T21:00:00.000000Z,13039,7.82282,7.82451,7.8221,7.82335,7.82282,7.82451,7.8221,7.82335,7.82387,7.82482,7.82248,7.82392
2024-03-13T21:00:00.000000Z,11455,7.82308,7.82353,7.8206,7.82264,7.82308,7.82353,7.8206,7.82264,7.82379,7.82444,7.82098,7.82334
2024-03-14T21:00:00.000000Z,14505,7.82256,7.82311,7.82054,7.82126,7.82256,7.82311,7.82054,7.82126,7.82368,7.82388,7.82086,7.82307
2024-03-17T21:00:00.000000Z,18444,7.82127,7.82334,7.81769,7.81872,7.82127,7.82334,7.81769,7.81872,7.8238,7.82443,7.81801,7.81952
2024-03-18T21:00:00.000000Z,14004,7.81875,7.82334,7.81807,7.82315,7.81875,7.82334,7.81807,7.82315,7.81975,7.8239,7.81916,7.8237
2024-03-19T21:00:00.000000Z,13866,7.823,7.82424,7.82191,7.82242,7.823,7.82424,7.82191,7.82242,7.8237,7.82503,7.82222,7.82314
2024-03-20T21:00:00.000000Z,12996,7.82242,7.82294,7.81954,7.82132,7.82242,7.82294,7.81954,7.82132,7.82377,7.82418,7.81986,7.82182
2024-03-21T21:00:00.000000Z,15132,7.82133,7.82228,7.81704,7.82129,7.82133,7.82228,7.81704,7.82129,7.82196,7.82289,7.8174,7.82263
2024-03-24T21:00:00.000000Z,13651,7.82084,7.82189,7.81851,7.82164,7.82084,7.82189,7.81851,7.82164,7.82244,7.82259,7.81882,7.82206
2024-03-25T21:00:00.000000Z,9846,7.82161,7.82373,7.82071,7.8235,7.82161,7.82373,7.82071,7.8235,7.82246,7.82404,7.82108,7.82396
2024-03-26T21:00:00.000000Z,13704,7.82351,7.8242,7.82192,7.82372,7.82351,7.8242,7.82192,7.82372,7.82416,7.82452,7.82227,7.82411
2024-03-27T21:00:00.000000Z,9990,7.82361,7.82679,7.82306,7.82624,7.82361,7.82679,7.82306,7.82624,7.82426,7.82714,7.82335,7.82688
2024-03-28T21:00:00.000000Z,12484,7.82488,7.82703,7.82266,7.82418,7.82488,7.82703,7.82266,7.82418,7.82704,7.82921,7.82367,7.82639
2024-03-31T21:00:00.000000Z,11079,7.82415,7.82688,7.82298,7.82537,7.82415,7.82688,7.82298,7.82537,7.82626,7.82735,7.82444,7.82586
2024-04-01T21:00:00.000000Z,10862,7.82463,7.82914,7.82403,7.82879,7.82463,7.82914,7.82403,7.82879,7.82629,7.82945,7.82453,7.82917
2024-04-02T21:00:00.000000Z,8423,7.82883,7.82909,7.82729,7.82855,7.82883,7.82909,7.82729,7.82855,7.82954,7.82955,7.82784,7.82908
2024-04-03T21:00:00.000000Z,10465,7.8284,7.82898,7.82757,7.82861,7.8284,7.82898,7.82757,7.82861,7.82928,7.82941,7.82793,7.82891
2024-04-04T21:00:00.000000Z,7372,7.82866,7.82927,7.82792,7.82875,7.82866,7.82927,7.82792,7.82875,7.82904,7.82972,7.82824,7.82944
2024-04-07T21:00:00.000000Z,9551,7.82864,7.83177,7.82832,7.83136,7.82864,7.83177,7.82832,7.83136,7.82946,7.83218,7.82865,7.83183
2024-04-08T21:00:00.000000Z,7574,7.83136,7.83182,7.82983,7.83029,7.83136,7.83182,7.82983,7.83029,7.83216,7.83235,7.83022,7.8311
2024-04-09T21:00:00.000000Z,8145,7.83034,7.83581,7.8301,7.83535,7.83034,7.83581,7.8301,7.83535,7.83119,7.83616,7.83064,7.83591
2024-04-10T21:00:00.000000Z,12480,7.83536,7.83881,7.83296,7.83777,7.83536,7.83881,7.83296,7.83777,7.83611,7.83919,7.83352,7.8382
2024-04-11T21:00:00.000000Z,9323,7.83772,7.83812,7.83563,7.83704,7.83772,7.83812,7.83563,7.83704,7.83822,7.83896,7.836,7.83896
2024-04-14T21:00:00.000000Z,15475,7.8363,7.83773,7.82712,7.82908,7.8363,7.83773,7.82712,7.82908,7.83769,7.83845,7.82751,7.82969
2024-04-15T21:00:00.000000Z,13428,7.82831,7.83248,7.82611,7.83172,7.82831,7.83248,7.82611,7.83172,7.8294,7.83279,7.82645,7.83256
2024-04-16T21:00:00.000000Z,11676,7.83106,7.8323,7.8296,7.83004,7.83106,7.8323,7.8296,7.83004,7.83266,7.83304,7.83006,7.83073
2024-04-17T21:00:00.000000Z,11266,7.83021,7.83196,7.82915,7.83118,7.83021,7.83196,7.82915,7.83118,7.83108,7.83246,7.82952,7.83178
2024-04-18T21:00:00.000000Z,12898,7.83107,7.83356,7.82813,7.83187,7.83107,7.83356,7.82813,7.83187,7.83172,7.83398,7.82842,7.83321
2024-04-21T21:00:00.000000Z,10411,7.83104,7.83659,7.83075,7.8351,7.83104,7.83659,7.83075,7.8351,7.83283,7.83692,7.83223,7.83575
2024-04-22T21:00:00.000000Z,10816,7.8351,7.83762,7.83422,7.83444,7.8351,7.83762,7.83422,7.83444,7.83583,7.83794,7.83485,7.83519
2024-04-23T21:00:00.000000Z,11987,7.83284,7.83612,7.82993,7.83147,7.83284,7.83612,7.82993,7.83147,7.83628,7.83646,7.83022,7.83206
2024-04-24T21:00:00.000000Z,12274,7.83106,7.83189,7.82742,7.82774,7.83106,7.83189,7.82742,7.82774,7.83224,7.83305,7.82775,7.82823
2024-04-25T21:00:00.000000Z,16709,7.82773,7.83073,7.82664,7.82795,7.82773,7.83073,7.82664,7.82795,7.82837,7.83107,7.82699,7.82867
2024-04-28T21:00:00.000000Z,14273,7.82792,7.82959,7.82396,7.82458,7.82792,7.82959,7.82396,7.82458,7.82949,7.8299,7.82435,7.82574
2024-04-29T21:00:00.000000Z,13049,7.8239,7.82724,7.81746,7.82346,7.8239,7.82724,7.81746,7.82346,7.82494,7.82759,7.81776,7.82509
2024-04-30T21:00:00.000000Z,7525,7.82341,7.8242,7.81997,7.82224,7.82341,7.8242,7.81997,7.82224,7.82513,7.82562,7.82064,7.82364
2024-05-01T21:00:00.000000Z,13009,7.82241,7.8231,7.81279,7.81294,7.82241,7.8231,7.81279,7.81294,7.82365,7.8239,7.81321,7.8134
2024-05-02T21:00:00.000000Z,14382,7.81261,7.81733,7.80891,7.81123,7.81261,7.81733,7.80891,7.81123,7.81529,7.81768,7.80924,7.81214
2024-05-05T21:00:00.000000Z,9826,7.81031,7.81828,7.80803,7.81826,7.81031,7.81828,7.80803,7.81826,7.8122,7.81874,7.81055,7.81874
2024-05-06T21:00:00.000000Z,10655,7.81731,7.82255,7.817,7.8212,7.81731,7.82255,7.817,7.8212,7.81859,7.82291,7.81772,7.82167
2024-05-07T21:00:00.000000Z,11399,7.82121,7.82215,7.81561,7.81711,7.82121,7.82215,7.81561,7.81711,7.82179,7.8225,7.8159,7.81788
2024-05-08T21:00:00.000000Z,10186,7.81707,7.81805,7.81284,7.81342,7.81707,7.81805,7.81284,7.81342,7.8179,7.81839,7.81324,7.81478
2024-05-09T21:00:00.000000Z,10177,7.81331,7.81662,7.8122,7.81251,7.81331,7.81662,7.8122,7.81251,7.81543,7.81703,7.81253,7.81466
2024-05-12T21:00:00.000000Z,10159,7.81199,7.81564,7.81091,7.8116,7.81199,7.81564,7.81091,7.8116,7.81551,7.81606,7.81132,7.8126
2024-05-13T21:00:00.000000Z,10016,7.81164,7.81263,7.80957,7.81149,7.81164,7.81263,7.80957,7.81149,7.81308,7.81339,7.80989,7.81197
2024-05-14T21:00:00.000000Z,6576,7.81123,7.81171,7.80652,7.80918,7.81123,7.81171,7.80652,7.80918,7.81242,7.81269,7.80689,7.81033
2024-05-15T21:00:00.000000Z,16663,7.80903,7.80935,7.80066,7.8008,7.80903,7.80935,7.80066,7.8008,7.81072,7.81139,7.80109,7.80136
2024-05-16T21:00:00.000000Z,9898,7.80116,7.80327,7.79926,7.80127,7.80116,7.80327,7.79926,7.80127,7.80349,7.80526,7.79965,7.80274
2024-05-19T21:00:00.000000Z,8078,7.80031,7.80384,7.79734,7.7981,7.80031,7.80384,7.79734,7.7981,7.80343,7.80428,7.79765,7.79859
2024-05-20T21:00:00.000000Z,9859,7.79736,7.8048,7.79621,7.80467,7.79736,7.8048,7.79621,7.80467,7.79919,7.80515,7.79658,7.80513
2024-05-21T21:00:00.000000Z,8439,7.80452,7.80787,7.80272,7.80764,7.80452,7.80787,7.80272,7.80764,7.80519,7.80837,7.80344,7.80815
2024-05-22T21:00:00.000000Z,8825,7.80708,7.8093,7.80304,7.80905,7.80708,7.8093,7.80304,7.80905,7.80819,7.80965,7.80359,7.80957
2024-05-23T21:00:00.000000Z,8349,7.80901,7.8136,7.8079,7.81177,7.80901,7.8136,7.8079,7.81177,7.80989,7.81395,7.80834,7.81297
2024-05-26T21:00:00.000000Z,10577,7.81126,7.81427,7.80648,7.80651,7.81126,7.81427,7.80648,7.80651,7.81234,7.81463,7.80685,7.80807
2024-05-27T21:00:00.000000Z,8944,7.80651,7.81156,7.80541,7.81136,7.80651,7.81156,7.80541,7.81136,7.80822,7.81198,7.80579,7.81182
2024-05-28T21:00:00.000000Z,9558,7.81061,7.8148,7.81028,7.81356,7.81061,7.8148,7.81028,7.81356,7.81177,7.8151,7.8112,7.81393
2024-05-29T21:00:00.000000Z,9954,7.81346,7.81896,7.81197,7.81713,7.81346,7.81896,7.81197,7.81713,7.81416,7.81927,7.81234,7.8176
2024-05-30T21:00:00.000000Z,15420,7.81723,7.82458,7.81317,7.81696,7.81723,7.82458,7.81317,7.81696,7.81808,7.82487,7.81351,7.82162
2024-06-02T21:00:00.000000Z,10528,7.81881,7.8215,7.818,7.82008,7.81881,7.8215,7.818,7.82008,7.82247,7.82269,7.81838,7.82057
2024-06-03T21:00:00.000000Z,11347,7.81951,7.81996,7.8123,7.81317,7.81951,7.81996,7.8123,7.81317,7.82099,7.82107,7.81268,7.81392
2024-06-04T21:00:00.000000Z,12235,7.81336,7.81358,7.80755,7.81145,7.81336,7.81358,7.80755,7.81145,7.81422,7.81483,7.80798,7.81203
2024-06-05T21:00:00.000000Z,11313,7.81141,7.81161,7.80792,7.80918,7.81141,7.81161,7.80792,7.80918,7.81219,7.81223,7.80832,7.80977
2024-06-06T21:00:00.000000Z,11967,7.80927,7.81318,7.8079,7.81231,7.80927,7.81318,7.8079,7.81231,7.81012,7.81408,7.80826,7.81399
2024-06-09T21:00:00.000000Z,8930,7.81188,7.81368,7.81087,7.81224,7.81188,7.81368,7.81087,7.81224,7.81399,7.81399,7.81169,7.81316
2024-06-10T21:00:00.000000Z,9760,7.81189,7.81321,7.8077,7.81223,7.81189,7.81321,7.8077,7.81223,7.81322,7.81366,7.80805,7.81306
2024-06-11T21:00:00.000000Z,9554,7.8118,7.81241,7.80787,7.8093,7.8118,7.81241,7.80787,7.8093,7.81286,7.8132,7.80824,7.80983
2024-06-12T21:00:00.000000Z,8688,7.80931,7.81069,7.80742,7.81017,7.80931,7.81069,7.80742,7.81017,7.81004,7.8111,7.80781,7.81085
2024-06-13T21:00:00.000000Z,7480,7.81012,7.81248,7.80877,7.81014,7.81012,7.81248,7.80877,7.81014,7.81089,7.81283,7.80917,7.81214
2024-06-16T21:00:00.000000Z,8357,7.81099,7.81214,7.80849,7.81007,7.81099,7.81214,7.80849,7.81007,7.81291,7.81302,7.80895,7.81095
2024-06-17T21:00:00.000000Z,7596,7.80944,7.81066,7.80595,7.80674,7.80944,7.81066,7.80595,7.80674,7.81101,7.8114,7.80629,7.8076
2024-06-18T21:00:00.000000Z,8272,7.80666,7.80881,7.80516,7.80696,7.80666,7.80881,7.80516,7.80696,7.80743,7.80918,7.80547,7.8076
2024-06-19T21:00:00.000000Z,9588,7.80652,7.80711,7.80325,7.80364,7.80652,7.80711,7.80325,7.80364,7.80745,7.80788,7.80376,7.80464
2024-06-20T21:00:00.000000Z,9269,7.80339,7.80642,7.80156,7.80613,7.80339,7.80642,7.80156,7.80613,7.80494,7.80732,7.8019,7.80697
2024-06-23T21:00:00.000000Z,7548,7.80491,7.80816,7.80284,7.80758,7.80491,7.80816,7.80284,7.80758,7.80669,7.80852,7.80319,7.80816
