time,volume,open,high,low,close,bid_open,bid_high,bid_low,bid_close,ask_open,ask_high,ask_low,ask_close
2024-01-01T22:00:00.000000Z,2911,7.80836,7.8158,7.80637,7.81154,7.80836,7.8158,7.80637,7.81154,7.81616,7.81826,7.81009,7.81196
2024-01-02T02:00:00.000000Z,2129,7.81155,7.81307,7.80954,7.81191,7.81155,7.81307,7.80954,7.81191,7.81196,7.81345,7.80997,7.81229
2024-01-02T06:00:00.000000Z,2917,7.81182,7.81465,7.8114,7.81456,7.81182,7.81465,7.8114,7.81456,7.81229,7.81504,7.81176,7.81499
2024-01-02T10:00:00.000000Z,1408,7.81456,7.81521,7.81361,7.81409,7.81456,7.81521,7.81361,7.81409,7.81504,7.81562,7.81401,7.81444
2024-01-02T14:00:00.000000Z,1383,7.81409,7.81566,7.81366,7.81495,7.81409,7.81566,7.81366,7.81495,7.81446,7.816,7.81401,7.81539
2024-01-02T18:00:00.000000Z,810,7.81496,7.81563,7.81447,7.81533,7.81496,7.81563,7.81447,7.81533,7.81539,7.81608,7.81484,7.81568
2024-01-02T22:00:00.000000Z,1552,7.81534,7.81561,7.8133,7.81406,7.81534,7.81561,7.8133,7.81406,7.816,7.81607,7.81369,7.81445
2024-01-03T02:00:00.000000Z,1951,7.81407,7.81466,7.8128,7.81378,7.81407,7.81466,7.8128,7.81378,7.81444,7.81506,7.8133,7.81419
2024-01-03T06:00:00.000000Z,3935,7.81376,7.81424,7.80668,7.8067,7.81376,7.81424,7.80668,7.8067,7.81417,7.81454,7.80705,7.80705
2024-01-03T10:00:00.000000Z,3330,7.8067,7.80842,7.80469,7.80776,7.8067,7.80842,7.80469,7.80776,7.80704,7.80871,7.80504,7.80812
2024-01-03T14:00:00.000000Z,1227,7.80776,7.8082,7.80683,7.80737,7.80776,7.8082,7.80683,7.80737,7.80814,7.80855,7.80728,7.80787
2024-01-03T18:00:00.000000Z,1298,7.80738,7.80764,7.80564,7.80665,7.80738,7.80764,7.80564,7.80665,7.80784,7.8081,7.80602,7.80719
2024-01-03T22:00:00.000000Z,2042,7.80636,7.80913,7.80535,7.80897,7.80636,7.80913,7.80535,7.80897,7.80833,7.80954,7.80589,7.80938
2024-01-04T02:00:00.000000Z,2851,7.80898,7.80966,7.80573,7.80603,7.80898,7.80966,7.80573,7.80603,7.80944,7.81005,7.80602,7.80638
2024-01-04T06:00:00.000000Z,3533,7.80605,7.80857,7.80601,7.8075,7.80605,7.80857,7.80601,7.8075,7.80643,7.80895,7.80633,7.80788
2024-01-04T10:00:00.000000Z,1416,7.80748,7.80842,7.80727,7.80794,7.80748,7.80842,7.80727,7.80794,7.80788,7.80888,7.8076,7.80837
2024-01-04T14:00:00.000000Z,1282,7.80794,7.80951,7.80732,7.80779,7.80794,7.80951,7.80732,7.80779,7.80839,7.80993,7.8077,7.80824
2024-01-04T18:00:00.000000Z,1091,7.80786,7.80896,7.80771,7.80829,7.80786,7.80896,7.80771,7.80829,7.80822,7.80931,7.80813,7.80891
2024-01-04T22:00:00.000000Z,2083,7.80737,7.81185,7.80722,7.80832,7.80737,7.81185,7.80722,7.80832,7.80873,7.81224,7.80842,7.80878
2024-01-05T02:00:00.000000Z,2044,7.8083,7.81106,7.8083,7.80891,7.8083,7.81106,7.8083,7.80891,7.80878,7.81142,7.80878,7.80924
2024-01-05T06:00:00.000000Z,2952,7.80891,7.81118,7.80852,7.8111,7.80891,7.81118,7.80852,7.8111,7.80935,7.81155,7.80888,7.81146
2024-01-05T10:00:00.000000Z,2054,7.81109,7.8116,7.80976,7.81072,7.81109,7.8116,7.80976,7.81072,7.81147,7.81198,7.81018,7.8111
2024-01-05T14:00:00.000000Z,1780,7.81072,7.81081,7.80867,7.80928,7.81072,7.81081,7.80867,7.80928,7.81111,7.81118,7.80904,7.80974
2024-01-05T18:00:00.000000Z,814,7.80929,7.81226,7.80884,7.81136,7.80929,7.81226,7.80884,7.81136,7.80973,7.81274,7.80926,7.8122
2024-01-07T22:00:00.000000Z,1982,7.81078,7.81179,7.80701,7.81004,7.81078,7.81179,7.80701,7.81004,7.81262,7.8128,7.80747,7.8106
