time,volume,open,high,low,close,bid_open,bid_high,bid_low,bid_close,ask_open,ask_high,ask_low,ask_close
2024-01-01T22:00:00.000000Z,58769,347.16,349.16,344.892,349.07,347.16,349.16,344.892,349.07,347.8,349.52,346.249,349.51
2024-01-02T22:00:00.000000Z,59778,348.47,349.259,347.118,347.57,348.47,349.259,347.118,347.57,350.13,350.13,347.34,348.267
2024-01-03T22:00:00.000000Z,65459,347.59,348.38,345.145,345.74,347.59,348.38,345.145,345.74,348.96,348.96,345.379,346.17
2024-01-04T22:00:00.000000Z,81284,345.39,347.748,343.073,345.02,345.39,347.748,343.073,345.02,346.25,348.106,343.349,345.99
2024-01-07T22:00:00.000000Z,50007,344.462,346.134,343.5,344.59,344.462,346.134,343.5,344.59,346.49,346.49,343.791,344.82
2024-01-08T22:00:00.000000Z,66912,344.16,347.331,344.041,346.531,344.16,347.331,344.041,346.531,345.13,347.586,344.451,347.099
2024-01-09T22:00:00.000000Z,61661,346.44,346.89,344.18,344.19,346.44,346.89,344.18,344.19,347.32,347.64,344.567,344.7
2024-01-10T22:00:00.000000Z,73587,344.39,347.28,343.811,345.1,344.39,347.28,343.811,345.1,345.14,347.549,344.07,345.572
2024-01-11T22:00:00.000000Z,73127,345.03,346.838,344.598,345.779,345.03,346.838,344.598,345.779,346.1,347.069,345.02,346.32
2024-01-14T22:00:00.000000Z,56879,345.818,347.363,344.97,345.56,345.818,347.363,344.97,345.56,346.794,347.597,345.59,346.08
2024-01-15T22:00:00.000000Z,86684,345.5,349.632,345.102,348.659,345.5,349.632,345.102,348.659,346.14,349.877,346.05,349.11
2024-01-16T22:00:00.000000Z,87110,348.42,351.94,348.225,349.266,348.42,351.94,348.225,349.266,349.47,352.18,348.754,349.77
2024-01-17T22:00:00.000000Z,86910,349.03,352.433,348.157,351.58,349.03,352.433,348.157,351.58,350.0,352.798,348.62,351.99
2024-01-18T22:00:00.000000Z,59478,351.23,352.829,350.08,350.403,351.23,352.829,350.08,350.403,351.93,353.05,350.528,350.96
2024-01-21T22:00:00.000000Z,52512,350.55,352.381,349.653,352.21,350.55,352.381,349.653,352.21,351.195,352.668,349.943,352.531
2024-01-22T22:00:00.000000Z,77014,352.12,356.983,350.41,355.53,352.12,356.983,350.41,355.53,352.67,357.334,350.678,355.989
2024-01-23T22:00:00.000000Z,67255,355.46,356.09,352.62,355.77,355.46,356.09,352.62,355.77,356.57,356.71,352.885,356.26
2024-01-24T22:00:00.000000Z,87341,355.54,356.25,352.782,354.647,355.54,356.25,352.782,354.647,356.17,356.71,353.451,355.08
2024-01-25T22:00:00.000000Z,79555,354.72,357.14,354.415,356.34,354.72,357.14,354.415,356.34,355.51,357.576,355.03,356.99
2024-01-28T22:00:00.000000Z,70349,357.289,361.26,356.25,359.29,357.289,361.26,356.25,359.29,358.205,361.466,357.162,359.79
2024-01-29T22:00:00.000000Z,85444,359.22,360.87,355.912,355.943,359.22,360.87,355.912,355.943,360.0,361.167,356.221,356.535
