time,volume,open,high,low,close,bid_open,bid_high,bid_low,bid_close,ask_open,ask_high,ask_low,ask_close
2024-01-01T22:00:00.000000Z,4779,1.31948,1.3211,1.31921,1.32099,1.31948,1.3211,1.31921,1.32099,1.32143,1.32216,1.31939,1.32116
2024-01-02T02:00:00.000000Z,5198,1.321,1.32268,1.32091,1.32108,1.321,1.32268,1.32091,1.32108,1.32115,1.32288,1.32108,1.32125
2024-01-02T06:00:00.000000Z,10952,1.32107,1.3229,1.32086,1.32277,1.32107,1.3229,1.32086,1.32277,1.32125,1.32305,1.32105,1.32294
2024-01-02T10:00:00.000000Z,11001,1.32276,1.32658,1.32255,1.32648,1.32276,1.32658,1.32255,1.32648,1.32294,1.32678,1.32273,1.32666
2024-01-02T14:00:00.000000Z,12604,1.32651,1.32678,1.32448,1.32632,1.32651,1.32678,1.32448,1.32632,1.32668,1.32697,1.32465,1.32653
2024-01-02T18:00:00.000000Z,5774,1.32633,1.32699,1.32602,1.32659,1.32633,1.32699,1.32602,1.32659,1.32653,1.32719,1.3262,1.32689
2024-01-02T22:00:00.000000Z,4285,1.32429,1.32776,1.32429,1.32697,1.32429,1.32776,1.32429,1.32697,1.32658,1.32795,1.32568,1.32712
2024-01-03T02:00:00.000000Z,4028,1.32699,1.32725,1.32562,1.32572,1.32699,1.32725,1.32562,1.32572,1.32715,1.32746,1.32579,1.3259
2024-01-03T06:00:00.000000Z,9725,1.32571,1.32753,1.32534,1.3269,1.32571,1.32753,1.32534,1.3269,1.3259,1.3277,1.32551,1.32711
2024-01-03T10:00:00.000000Z,10411,1.3269,1.32901,1.32673,1.32871,1.3269,1.32901,1.32673,1.32871,1.3271,1.3292,1.32689,1.32893
2024-01-03T14:00:00.000000Z,20048,1.32871,1.33043,1.3273,1.32923,1.32871,1.33043,1.3273,1.32923,1.32889,1.3306,1.32751,1.32944
2024-01-03T18:00:00.000000Z,12896,1.32925,1.33053,1.32821,1.32857,1.32925,1.33053,1.32821,1.32857,1.32944,1.33071,1.32839,1.32883
2024-01-03T22:00:00.000000Z,4899,1.32849,1.32908,1.32793,1.32902,1.32849,1.32908,1.32793,1.32902,1.32987,1.32997,1.32813,1.32916
2024-01-04T02:00:00.000000Z,6293,1.32903,1.32991,1.32844,1.32967,1.32903,1.32991,1.32844,1.32967,1.3292,1.33011,1.32861,1.32984
2024-01-04T06:00:00.000000Z,10042,1.32968,1.32968,1.32701,1.32718,1.32968,1.32968,1.32701,1.32718,1.32984,1.32984,1.32719,1.32734
2024-01-04T10:00:00.000000Z,10370,1.32718,1.32953,1.32691,1.32903,1.32718,1.32953,1.32691,1.32903,1.32732,1.32972,1.3271,1.32921
2024-01-04T14:00:00.000000Z,11678,1.32903,1.33015,1.32861,1.32902,1.32903,1.33015,1.32861,1.32902,1.3292,1.33036,1.3288,1.3292
2024-01-04T18:00:00.000000Z,6611,1.32902,1.32951,1.32894,1.32928,1.32902,1.32951,1.32894,1.32928,1.32921,1.3297,1.32911,1.3296
