time,volume,open,high,low,close,bid_open,bid_high,bid_low,bid_close,ask_open,ask_high,ask_low,ask_close
2024-01-01T22:00:00.000000Z,5357,23.777,23.934,23.77,23.812,23.777,23.934,23.77,23.812,23.801,23.9539,23.788,23.832
2024-01-02T02:00:00.000000Z,6642,23.811,24.062,23.772,24.042,23.811,24.062,23.772,24.042,23.828,24.079,23.791,24.062
2024-01-02T06:00:00.000000Z,10262,24.044,24.086,23.958,24.056,24.044,24.086,23.958,24.056,24.063,24.105,23.977,24.076
2024-01-02T10:00:00.000000Z,14999,24.056,24.071,23.799,23.917,24.056,24.071,23.799,23.917,24.073,24.089,23.817,23.935
2024-01-02T14:00:00.000000Z,21791,23.92,24.015,23.698,23.703,23.92,24.015,23.698,23.703,23.935,24.034,23.716,23.722
2024-01-02T18:00:00.000000Z,5655,23.705,23.731,23.634,23.645,23.705,23.731,23.634,23.645,23.722,23.75,23.652,23.668
2024-01-02T22:00:00.000000Z,4255,23.636,23.707,23.6255,23.6488,23.636,23.707,23.6255,23.6488,23.659,23.727,23.6445,23.667
2024-01-03T02:00:00.000000Z,4818,23.6504,23.721,23.602,23.616,23.6504,23.721,23.602,23.616,23.668,23.74,23.62,23.635
2024-01-03T06:00:00.000000Z,10506,23.616,23.669,23.399,23.431,23.616,23.669,23.399,23.431,23.636,23.685,23.417,23.45
2024-01-03T10:00:00.000000Z,17810,23.43,23.468,22.984,23.031,23.43,23.468,22.984,23.031,23.447,23.486,23.0,23.051
2024-01-03T14:00:00.000000Z,24986,23.032,23.171,22.829,22.892,23.032,23.171,22.829,22.892,23.051,23.189,22.849,22.91
2024-01-03T18:00:00.000000Z,13216,22.893,23.1064,22.881,22.978,22.893,23.1064,22.881,22.978,22.91,23.123,22.9,23.001
2024-01-03T22:00:00.000000Z,3880,22.9996,23.027,22.921,22.94,22.9996,23.027,22.921,22.94,23.0235,23.048,22.94,22.958
2024-01-04T02:00:00.000000Z,5270,22.941,23.019,22.915,23.008,22.941,23.019,22.915,23.008,22.96,23.036,22.933,23.026
2024-01-04T06:00:00.000000Z,9354,23.005,23.064,22.976,23.009,23.005,23.064,22.976,23.009,23.021,23.082,22.993,23.028
2024-01-04T10:00:00.000000Z,11660,23.01,23.055,22.901,22.902,23.01,23.055,22.901,22.902,23.024,23.074,22.919,22.92
2024-01-04T14:00:00.000000Z,15872,22.903,23.034,22.679,22.989,22.903,23.034,22.679,22.989,22.92,23.052,22.698,23.008
