time,volume,open,high,low,close,bid_open,bid_high,bid_low,bid_close,ask_open,ask_high,ask_low,ask_close
2024-01-01T22:00:00.000000Z,244062,2733.766,2758.363,2731.815,2742.656,2733.766,2758.363,2731.815,2742.656,2734.439,2758.82,2732.329,2743.226
2024-01-02T22:00:00.000000Z,278587,2742.612,2752.712,2711.964,2725.245,2742.612,2752.712,2711.964,2725.245,2743.383,2753.316,2712.525,2726.061
2024-01-03T22:00:00.000000Z,236002,2727.339,2733.749,2721.087,2727.483,2727.339,2733.749,2721.087,2727.483,2727.996,2734.257,2721.649,2728.307
2024-01-04T22:00:00.000000Z,280628,2729.159,2746.758,2709.685,2732.621,2729.159,2746.758,2709.685,2732.621,2729.807,2747.359,2710.233,2733.98
2024-01-07T22:00:00.000000Z,239006,2733.412,2733.439,2699.186,2706.741,2733.412,2733.439,2699.186,2706.741,2734.156,2734.587,2699.714,2707.463
2024-01-08T22:00:00.000000Z,226790,2708.244,2729.242,2707.366,2717.897,2708.244,2729.242,2707.366,2717.897,2708.912,2729.751,2708.096,2718.532
2024-01-09T22:00:00.000000Z,211970,2718.829,2727.145,2703.41,2708.105,2718.829,2727.145,2703.41,2708.105,2719.464,2727.773,2703.838,2708.868
2024-01-10T22:00:00.000000Z,293951,2709.769,2730.357,2701.406,2717.208,2709.769,2730.357,2701.406,2717.208,2710.264,2732.108,2701.907,2718.167
2024-01-11T22:00:00.000000Z,275740,2719.898,2754.189,2716.689,2747.058,2719.898,2754.189,2716.689,2747.058,2720.562,2754.731,2717.197,2747.728
2024-01-14T22:00:00.000000Z,152292,2746.368,2763.152,2743.584,2760.117,2746.368,2763.152,2743.584,2760.117,2746.937,2763.696,2744.16,2760.909
2024-01-15T22:00:00.000000Z,286512,2758.962,2764.276,2730.869,2737.01,2758.962,2764.276,2730.869,2737.01,2759.498,2764.797,2731.405,2737.682
2024-01-16T22:00:00.000000Z,275725,2735.357,2742.656,2708.43,2708.998,2735.357,2742.656,2708.43,2708.998,2735.947,2743.24,2708.972,2709.776
2024-01-17T22:00:00.000000Z,248139,2711.916,2730.175,2706.841,2728.253,2711.916,2730.175,2706.841,2728.253,2712.492,2730.724,2707.376,2728.971
2024-01-18T22:00:00.000000Z,227626,2729.487,2746.796,2723.486,2725.012,2729.487,2746.796,2723.486,2725.012,2730.179,2747.211,2723.969,2726.095
2024-01-21T22:00:00.000000Z,220893,2724.138,2727.297,2709.451,2724.674,2724.138,2727.297,2709.451,2724.674,2724.754,2727.813,2709.987,2725.297
2024-01-22T22:00:00.000000Z,212839,2724.815,2741.704,2721.85,2731.272,2724.815,2741.704,2721.85,2731.272,2725.695,2742.133,2722.366,2731.957
2024-01-23T22:00:00.000000Z,241280,2730.917,2737.938,2711.493,2723.702,2730.917,2737.938,2711.493,2723.702,2731.48,2738.473,2712.042,2724.347
2024-01-24T22:00:00.000000Z,240215,2727.184,2734.837,2716.215,2722.747,2727.184,2734.837,2716.215,2722.747,2727.74,2735.394,2716.796,2723.384
2024-01-25T22:00:00.000000Z,201315,2722.261,2726.911,2710.392,2714.527,2722.261,2726.911,2710.392,2714.527,2723.626,2727.447,2710.881,2716.449
2024-01-28T22:00:00.000000Z,190678,2725.301,2738.235,2717.461,2726.122,2725.301,2738.235,2717.461,2726.122,2726.195,2738.833,2717.997,2726.766
2024-01-29T22:00:00.000000Z,214706,2725.413,2749.547,2721.463,2728.588,2725.413,2749.547,2721.463,2728.588,2726.09,2750.138,2722.106,2729.19
2024-01-30T22:00:00.000000Z,276742,2728.851,2750.169,2727.828,2739.181,2728.851,2750.169,2727.828,2739.181,2729.448,2750.725,2728.459,2739.832
2024-01-31T22:00:00.000000Z,289255,2741.37,2764.57,2731.054,2750.071,2741.37,2764.57,2731.054,2750.071,2742.008,2765.08,2731.449,2750.791
2024-02-01T22:00:00.000000Z,250069,2750.006,2752.03,2726.278,2746.5,2750.006,2752.03,2726.278,2746.5,2750.623,2752.589,2726.814,2747.342
2024-02-04T22:00:00.000000Z,242293,2747.891,2750.119,2721.273,2741.749,2747.891,2750.119,2721.273,2741.749,2748.678,2750.77,2721.774,2742.395
2024-02-05T22:00:00.000000Z,213928,2741.967,2755.753,2735.849,2746.758,2741.967,2755.753,2735.849,2746.758,2742.687,2756.324,2736.366,2747.363
2024-02-06T22:00:00.000000Z,210176,2745.981,2753.883,2734.624,2739.195,2745.981,2753.883,2734.624,2739.195,2746.504,2754.413,2735.165,2739.941
2024-02-07T22:00:00.000000Z,209172,2740.656,2743.839,2724.497,2737.494,2740.656,2743.839,2724.497,2737.494,2741.28,2744.368,2724.973,2738.213
2024-02-08T22:00:00.000000Z,193749,2738.777,2739.547,2718.615,2723.9,2738.777,2739.547,2718.615,2723.9,2739.354,2740.029,2719.11,2725.184
2024-02-11T22:00:00.000000Z,169221,2728.656,2730.882,2705.054,2716.821,2728.656,2730.882,2705.054,2716.821,2729.348,2731.458,2705.536,2717.558
2024-02-12T22:00:00.000000Z,204190,2716.767,2729.162,2697.945,2703.198,2716.767,2729.162,2697.945,2703.198,2717.383,2730.213,2698.427,2703.836
2024-02-13T22:00:00.000000Z,200799,2702.537,2704.211,2690.019,2697.996,2702.537,2704.211,2690.019,2697.996,2703.255,2704.807,2690.561,2698.823
2024-02-14T22:00:00.000000Z,195532,2698.995,2711.225,2695.572,2698.47,2698.995,2711.225,2695.572,2698.47,2700.409,2711.733,2696.141,2699.227
2024-02-15T22:00:00.000000Z,192224,2698.989,2716.148,2693.537,2714.13,2698.989,2716.148,2693.537,2714.13,2699.457,2716.677,2694.093,2715.089
2024-02-18T22:00:00.000000Z,120037,2712.611,2726.797,2696.4,2721.805,2712.611,2726.797,2696.4,2721.805,2715.621,2727.353,2701.4,2722.294
2024-02-19T22:00:00.000000Z,204882,2721.034,2745.908,2719.815,2737.287,2721.034,2745.908,2719.815,2737.287,2722.089,2746.466,2720.324,2737.946
2024-02-20T22:00:00.000000Z,208013,2737.55,2746.996,2728.84,2735.642,2737.55,2746.996,2728.84,2735.642,2738.33,2747.371,2729.478,2736.408
2024-02-21T22:00:00.000000Z,208146,2734.94,2738.113,2725.81,2729.116,2734.94,2738.113,2725.81,2729.116,2735.557,2738.636,2726.333,2729.922
2024-02-22T22:00:00.000000Z,208798,2728.765,2754.737,2720.689,2749.109,2728.765,2754.737,2720.689,2749.109,2729.604,2755.274,2721.205,2750.392
2024-02-25T22:00:00.000000Z,177606,2746.15,2754.155,2737.498,2742.928,2746.15,2754.155,2737.498,2742.928,2746.877,2754.76,2738.021,2743.58
2024-02-26T22:00:00.000000Z,190852,2743.01,2753.173,2742.379,2746.761,2743.01,2753.173,2742.379,2746.761,2743.723,2753.711,2742.896,2747.345
2024-02-27T22:00:00.000000Z,196230,2745.807,2764.985,2745.794,2761.938,2745.807,2764.985,2745.794,2761.938,2746.426,2765.495,2746.331,2762.672
2024-02-28T22:00:00.000000Z,222408,2762.895,2780.101,2756.21,2775.795,2762.895,2780.101,2756.21,2775.795,2763.576,2780.66,2756.714,2776.47
2024-02-29T22:00:00.000000Z,226763,2774.354,2830.558,2770.759,2823.299,2774.354,2830.558,2770.759,2823.299,2775.775,2831.132,2771.318,2824.981
2024-03-03T22:00:00.000000Z,223462,2823.163,2876.63,2820.084,2869.72,2823.163,2876.63,2820.084,2869.72,2824.015,2877.117,2820.528,2870.442
2024-03-04T22:00:00.000000Z,245021,2869.263,2909.564,2865.625,2892.222,2869.263,2909.564,2865.625,2892.222,2870.586,2910.101,2866.187,2892.619
2024-03-05T22:00:00.000000Z,246108,2891.767,2909.763,2885.196,2902.477,2891.767,2909.763,2885.196,2902.477,2892.378,2910.331,2885.767,2903.229
