time,volume,open,high,low,close,bid_open,bid_high,bid_low,bid_close,ask_open,ask_high,ask_low,ask_close
2024-01-01T23:00:00.000000Z,728,86.482,86.674,86.48,86.601,86.482,86.674,86.48,86.601,86.671,86.751,86.622,86.687
2024-01-01T23:30:00.000000Z,848,86.602,86.66,86.596,86.603,86.602,86.66,86.596,86.603,86.684,86.735,86.673,86.683
2024-01-02T00:00:00.000000Z,1164,86.605,86.721,86.596,86.707,86.605,86.721,86.596,86.707,86.684,86.796,86.672,86.783
2024-01-02T00:30:00.000000Z,1050,86.717,86.757,86.627,86.627,86.717,86.757,86.627,86.627,86.783,86.829,86.697,86.697
2024-01-02T01:00:00.000000Z,3273,86.63,86.69,86.399,86.471,86.63,86.69,86.399,86.471,86.696,86.765,86.473,86.548
2024-01-02T01:30:00.000000Z,2782,86.474,86.734,86.453,86.718,86.474,86.734,86.453,86.718,86.55,86.806,86.524,86.795
2024-01-02T02:00:00.000000Z,1874,86.732,86.765,86.691,86.723,86.732,86.765,86.691,86.723,86.798,86.838,86.762,86.794
2024-01-02T02:30:00.000000Z,2088,86.721,86.758,86.527,86.534,86.721,86.758,86.527,86.534,86.795,86.823,86.597,86.607
2024-01-02T03:00:00.000000Z,1559,86.53,86.559,86.397,86.448,86.53,86.559,86.397,86.448,86.607,86.627,86.461,86.519
2024-01-02T03:30:00.000000Z,1015,86.449,86.449,86.355,86.404,86.449,86.449,86.355,86.404,86.519,86.519,86.425,86.476
2024-01-02T04:00:00.000000Z,1020,86.401,86.448,86.359,86.43,86.401,86.448,86.359,86.43,86.477,86.523,86.433,86.5
2024-01-02T04:30:00.000000Z,961,86.425,86.498,86.419,86.445,86.425,86.498,86.419,86.445,86.501,86.565,86.487,86.516
2024-01-02T05:00:00.000000Z,1091,86.447,86.452,86.412,86.417,86.447,86.452,86.412,86.417,86.519,86.523,86.475,86.49
2024-01-02T05:30:00.000000Z,2268,86.416,86.429,86.162,86.216,86.416,86.429,86.162,86.216,86.49,86.5,86.227,86.29
2024-01-02T06:00:00.000000Z,1703,86.216,86.377,86.178,86.212,86.216,86.377,86.178,86.212,86.286,86.448,86.25,86.282
2024-01-02T06:30:00.000000Z,1766,86.214,86.261,86.128,86.187,86.214,86.261,86.128,86.187,86.281,86.336,86.201,86.257
2024-01-02T07:00:00.000000Z,2440,86.187,86.25,86.113,86.131,86.187,86.25,86.113,86.131,86.256,86.316,86.181,86.201
2024-01-02T07:30:00.000000Z,2462,86.132,86.357,86.106,86.343,86.132,86.357,86.106,86.343,86.203,86.427,86.175,86.414
2024-01-02T08:00:00.000000Z,3506,86.34,86.432,86.215,86.294,86.34,86.432,86.215,86.294,86.416,86.502,86.284,86.376
2024-01-02T08:30:00.000000Z,2696,86.296,86.363,86.208,86.217,86.296,86.363,86.208,86.217,86.377,86.438,86.277,86.284
2024-01-02T09:00:00.000000Z,2400,86.214,86.22,86.118,86.15,86.214,86.22,86.118,86.15,86.284,86.288,86.181,86.22
2024-01-02T09:30:00.000000Z,2134,86.148,86.302,86.119,86.27,86.148,86.302,86.119,86.27,86.219,86.368,86.185,86.343
