time,volume,open,high,low,close,bid_open,bid_high,bid_low,bid_close,ask_open,ask_high,ask_low,ask_close
2024-01-01T22:00:00.000000Z,13843,7.701,7.737,7.624,7.636,7.701,7.737,7.624,7.636,7.715,7.75,7.637,7.648
2024-01-02T22:00:00.000000Z,16495,7.631,7.689,7.581,7.646,7.631,7.689,7.581,7.646,7.675,7.7,7.592,7.662
2024-01-03T22:00:00.000000Z,14198,7.637,7.738,7.612,7.727,7.637,7.738,7.612,7.727,7.673,7.75,7.632,7.741
2024-01-04T22:00:00.000000Z,18278,7.699,7.755,7.67,7.734,7.699,7.755,7.67,7.734,7.737,7.779,7.698,7.758
2024-01-07T22:00:00.000000Z,10421,7.714,7.756,7.676,7.75,7.714,7.756,7.676,7.75,7.764,7.782,7.688,7.763
2024-01-08T22:00:00.000000Z,13575,7.75,7.756,7.693,7.72,7.75,7.756,7.693,7.72,7.763,7.789,7.704,7.732
2024-01-09T22:00:00.000000Z,11454,7.719,7.801,7.718,7.793,7.719,7.801,7.718,7.793,7.731,7.813,7.731,7.806
2024-01-10T22:00:00.000000Z,17282,7.776,7.835,7.756,7.788,7.776,7.835,7.756,7.788,7.81,7.859,7.785,7.801
2024-01-11T22:00:00.000000Z,19917,7.788,7.803,7.709,7.749,7.788,7.803,7.709,7.749,7.8,7.815,7.758,7.785
2024-01-14T22:00:00.000000Z,8653,7.743,7.815,7.743,7.797,7.743,7.815,7.743,7.797,7.789,7.828,7.771,7.81
2024-01-15T22:00:00.000000Z,16438,7.791,7.798,7.729,7.752,7.791,7.798,7.729,7.752,7.835,7.839,7.741,7.766
2024-01-16T22:00:00.000000Z,15218,7.741,7.782,7.723,7.778,7.741,7.782,7.723,7.778,7.766,7.803,7.735,7.792
2024-01-17T22:00:00.000000Z,17839,7.762,7.825,7.736,7.817,7.762,7.825,7.736,7.817,7.783,7.836,7.771,7.83
2024-01-18T22:00:00.000000Z,16101,7.792,7.844,7.747,7.779,7.792,7.844,7.747,7.779,7.835,7.858,7.778,7.808
2024-01-21T22:00:00.000000Z,12668,7.762,7.787,7.689,7.711,7.762,7.787,7.689,7.711,7.812,7.812,7.7,7.724
2024-01-22T22:00:00.000000Z,15764,7.699,7.804,7.682,7.785,7.699,7.804,7.682,7.785,7.72,7.816,7.707,7.799
2024-01-23T22:00:00.000000Z,26108,7.771,7.837,7.752,7.798,7.771,7.837,7.752,7.798,7.807,7.849,7.765,7.811
2024-01-24T22:00:00.000000Z,17263,7.797,7.832,7.786,7.821,7.797,7.832,7.786,7.821,7.817,7.85,7.803,7.833
2024-01-25T22:00:00.000000Z,15074,7.8,7.894,7.787,7.874,7.8,7.894,7.787,7.874,7.83,7.906,7.805,7.893
2024-01-28T22:00:00.000000Z,13352,7.872,7.887,7.821,7.836,7.872,7.887,7.821,7.836,7.905,7.911,7.832,7.851
2024-01-29T22:00:00.000000Z,11562,7.828,7.858,7.789,7.853,7.828,7.858,7.789,7.853,7.871,7.872,7.8,7.866
2024-01-30T22:00:00.000000Z,24129,7.842,7.913,7.824,7.861,7.842,7.913,7.824,7.861,7.87,7.924,7.842,7.876
2024-01-31T22:00:00.000000Z,19548,7.857,7.872,7.812,7.866,7.857,7.872,7.812,7.866,7.892,7.907,7.824,7.878
2024-02-01T22:00:00.000000Z,17714,7.862,7.882,7.826,7.839,7.862,7.882,7.826,7.839,7.885,7.918,7.837,7.859
2024-02-04T22:00:00.000000Z,16305,7.832,7.852,7.77,7.793,7.832,7.852,7.77,7.793,7.879,7.886,7.781,7.807
2024-02-05T22:00:00.000000Z,20576,7.783,7.853,7.76,7.847,7.783,7.853,7.76,7.847,7.811,7.872,7.792,7.863
2024-02-06T22:00:00.000000Z,13648,7.842,7.855,7.809,7.831,7.842,7.855,7.809,7.831,7.866,7.878,7.821,7.852
2024-02-07T22:00:00.000000Z,14354,7.832,7.88,7.808,7.869,7.832,7.88,7.808,7.869,7.851,7.892,7.842,7.883
2024-02-08T22:00:00.000000Z,14530,7.862,7.884,7.82,7.82,7.862,7.884,7.82,7.82,7.89,7.896,7.84,7.859
2024-02-11T22:00:00.000000Z,10821,7.826,7.892,7.814,7.884,7.826,7.892,7.814,7.884,7.876,7.904,7.83,7.902
2024-02-12T22:00:00.000000Z,19146,7.855,7.945,7.847,7.872,7.855,7.945,7.847,7.872,7.905,7.975,7.874,7.887
