time,volume,open,high,low,close,bid_open,bid_high,bid_low,bid_close,ask_open,ask_high,ask_low,ask_close
2024-01-01T22:00:00.000000Z,497,7.701,7.729,7.671,7.725,7.701,7.729,7.671,7.725,7.715,7.744,7.715,7.74
2024-01-02T02:00:00.000000Z,1362,7.726,7.727,7.706,7.715,7.726,7.727,7.706,7.715,7.74,7.74,7.721,7.73
2024-01-02T06:00:00.000000Z,2790,7.716,7.737,7.681,7.721,7.716,7.737,7.681,7.721,7.73,7.75,7.693,7.733
2024-01-02T10:00:00.000000Z,3794,7.722,7.723,7.635,7.658,7.722,7.723,7.635,7.658,7.733,7.736,7.648,7.67
2024-01-02T14:00:00.000000Z,3979,7.658,7.66,7.624,7.65,7.658,7.66,7.624,7.65,7.671,7.673,7.637,7.662
2024-01-02T18:00:00.000000Z,1421,7.649,7.65,7.627,7.636,7.649,7.65,7.627,7.636,7.663,7.663,7.64,7.648
2024-01-02T22:00:00.000000Z,2314,7.631,7.652,7.624,7.633,7.631,7.652,7.624,7.633,7.675,7.687,7.64,7.647
2024-01-03T02:00:00.000000Z,593,7.633,7.654,7.628,7.652,7.633,7.654,7.628,7.652,7.646,7.668,7.641,7.666
2024-01-03T06:00:00.000000Z,2902,7.652,7.689,7.606,7.616,7.652,7.689,7.606,7.616,7.665,7.7,7.618,7.627
2024-01-03T10:00:00.000000Z,3075,7.614,7.625,7.581,7.601,7.614,7.625,7.581,7.601,7.627,7.636,7.592,7.613
2024-01-03T14:00:00.000000Z,4782,7.602,7.671,7.598,7.662,7.602,7.671,7.598,7.662,7.613,7.683,7.61,7.675
2024-01-03T18:00:00.000000Z,2829,7.662,7.665,7.627,7.646,7.662,7.665,7.627,7.646,7.676,7.679,7.651,7.662
2024-01-03T22:00:00.000000Z,1203,7.637,7.656,7.612,7.654,7.637,7.656,7.612,7.654,7.673,7.681,7.632,7.667
2024-01-04T02:00:00.000000Z,1505,7.653,7.678,7.648,7.674,7.653,7.678,7.648,7.674,7.667,7.694,7.661,7.687
2024-01-04T06:00:00.000000Z,3408,7.673,7.722,7.669,7.717,7.673,7.722,7.669,7.717,7.687,7.735,7.682,7.728
2024-01-04T10:00:00.000000Z,3275,7.717,7.738,7.694,7.712,7.717,7.738,7.694,7.712,7.729,7.75,7.706,7.724
2024-01-04T14:00:00.000000Z,3126,7.713,7.732,7.71,7.724,7.713,7.732,7.71,7.724,7.724,7.743,7.723,7.737
2024-01-04T18:00:00.000000Z,1681,7.724,7.731,7.72,7.727,7.724,7.731,7.72,7.727,7.736,7.743,7.731,7.741
2024-01-04T22:00:00.000000Z,1154,7.699,7.743,7.699,7.739,7.699,7.743,7.699,7.739,7.737,7.772,7.737,7.752
2024-01-05T02:00:00.000000Z,1477,7.737,7.746,7.722,7.726,7.737,7.746,7.722,7.726,7.751,7.758,7.735,7.74
2024-01-05T06:00:00.000000Z,2978,7.726,7.751,7.712,7.726,7.726,7.751,7.712,7.726,7.739,7.764,7.723,7.739
2024-01-05T10:00:00.000000Z,3608,7.727,7.732,7.67,7.719,7.727,7.732,7.67,7.719,7.739,7.754,7.698,7.731
2024-01-05T14:00:00.000000Z,6229,7.719,7.755,7.717,7.74,7.719,7.755,7.717,7.74,7.732,7.776,7.729,7.753
2024-01-05T18:00:00.000000Z,2832,7.74,7.753,7.697,7.734,7.74,7.753,7.697,7.734,7.752,7.779,7.737,7.758
2024-01-07T22:00:00.000000Z,765,7.714,7.75,7.711,7.727,7.714,7.75,7.711,7.727,7.764,7.782,7.739,7.74
2024-01-08T02:00:00.000000Z,901,7.729,7.73,7.692,7.7,7.729,7.73,7.692,7.7,7.741,7.743,7.704,7.712
2024-01-08T06:00:00.000000Z,2458,7.699,7.707,7.676,7.7,7.699,7.707,7.676,7.7,7.712,7.719,7.688,7.711
2024-01-08T10:00:00.000000Z,1808,7.701,7.724,7.699,7.716,7.701,7.724,7.699,7.716,7.713,7.736,7.71,7.727
2024-01-08T14:00:00.000000Z,3051,7.715,7.746,7.71,7.745,7.715,7.746,7.71,7.745,7.727,7.759,7.721,7.758
2024-01-08T18:00:00.000000Z,1438,7.745,7.756,7.743,7.75,7.745,7.756,7.743,7.75,7.757,7.769,7.757,7.763
2024-01-08T22:00:00.000000Z,1968,7.75,7.756,7.711,7.716,7.75,7.756,7.711,7.716,7.763,7.789,7.725,7.73
2024-01-09T02:00:00.000000Z,1106,7.715,7.727,7.709,7.713,7.715,7.727,7.709,7.713,7.73,7.742,7.725,7.726
2024-01-09T06:00:00.000000Z,2725,7.714,7.738,7.702,7.716,7.714,7.738,7.702,7.716,7.726,7.751,7.714,7.727
2024-01-09T10:00:00.000000Z,2604,7.717,7.731,7.693,7.714,7.717,7.731,7.693,7.714,7.729,7.743,7.704,7.726
2024-01-09T14:00:00.000000Z,3446,7.714,7.741,7.705,7.729,7.714,7.741,7.705,7.729,7.725,7.753,7.717,7.741
2024-01-09T18:00:00.000000Z,1726,7.729,7.735,7.716,7.72,7.729,7.735,7.716,7.72,7.742,7.747,7.729,7.732
2024-01-09T22:00:00.000000Z,1546,7.719,7.743,7.718,7.74,7.719,7.743,7.718,7.74,7.731,7.786,7.731,7.754
2024-01-10T02:00:00.000000Z,1291,7.741,7.754,7.74,7.746,7.741,7.754,7.74,7.746,7.756,7.769,7.753,7.758
2024-01-10T06:00:00.000000Z,2606,7.746,7.788,7.718,7.775,7.746,7.788,7.718,7.775,7.757,7.8,7.732,7.786
2024-01-10T10:00:00.000000Z,1647,7.773,7.798,7.765,7.789,7.773,7.798,7.765,7.789,7.785,7.809,7.778,7.8
2024-01-10T14:00:00.000000Z,2817,7.789,7.801,7.77,7.782,7.789,7.801,7.77,7.782,7.801,7.813,7.781,7.795
2024-01-10T18:00:00.000000Z,1547,7.782,7.793,7.773,7.793,7.782,7.793,7.773,7.793,7.794,7.809,7.786,7.806
2024-01-10T22:00:00.000000Z,1653,7.776,7.805,7.756,7.775,7.776,7.805,7.756,7.775,7.81,7.832,7.785,7.79
2024-01-11T02:00:00.000000Z,1508,7.775,7.798,7.774,7.797,7.775,7.798,7.774,7.797,7.789,7.812,7.789,7.81
2024-01-11T06:00:00.000000Z,2369,7.798,7.816,7.789,7.801,7.798,7.816,7.789,7.801,7.81,7.828,7.801,7.812
2024-01-11T10:00:00.000000Z,3835,7.8,7.829,7.776,7.806,7.8,7.829,7.776,7.806,7.813,7.859,7.803,7.817
2024-01-11T14:00:00.000000Z,5680,7.805,7.835,7.79,7.794,7.805,7.835,7.79,7.794,7.818,7.846,7.802,7.806
2024-01-11T18:00:00.000000Z,2237,7.796,7.806,7.769,7.788,7.796,7.806,7.769,7.788,7.807,7.818,7.795,7.801
2024-01-11T22:00:00.000000Z,1897,7.788,7.796,7.749,7.793,7.788,7.796,7.749,7.793,7.8,7.814,7.776,7.808
2024-01-12T02:00:00.000000Z,1182,7.794,7.801,7.778,7.799,7.794,7.801,7.778,7.799,7.807,7.815,7.793,7.811
2024-01-12T06:00:00.000000Z,2113,7.799,7.803,7.779,7.786,7.799,7.803,7.779,7.786,7.81,7.814,7.791,7.797
2024-01-12T10:00:00.000000Z,3310,7.786,7.797,7.766,7.772,7.786,7.797,7.766,7.772,7.798,7.809,7.778,7.783
2024-01-12T14:00:00.000000Z,3845,7.771,7.791,7.752,7.761,7.771,7.791,7.752,7.761,7.783,7.802,7.765,7.774
2024-01-12T18:00:00.000000Z,7570,7.764,7.769,7.709,7.749,7.764,7.769,7.709,7.749,7.776,7.802,7.758,7.785
2024-01-14T22:00:00.000000Z,1336,7.743,7.779,7.743,7.768,7.743,7.779,7.743,7.768,7.789,7.802,7.771,7.781
2024-01-15T02:00:00.000000Z,2007,7.767,7.788,7.767,7.779,7.767,7.788,7.767,7.779,7.783,7.803,7.781,7.792
2024-01-15T06:00:00.000000Z,2150,7.779,7.804,7.766,7.797,7.779,7.804,7.766,7.797,7.795,7.815,7.778,7.809
2024-01-15T10:00:00.000000Z,1548,7.798,7.815,7.785,7.805,7.798,7.815,7.785,7.805,7.809,7.828,7.796,7.817
2024-01-15T14:00:00.000000Z,1352,7.805,7.807,7.784,7.801,7.805,7.807,7.784,7.801,7.816,7.82,7.795,7.814
2024-01-15T18:00:00.000000Z,260,7.8,7.804,7.783,7.797,7.8,7.804,7.783,7.797,7.814,7.815,7.802,7.81
2024-01-15T22:00:00.000000Z,1620,7.791,7.798,7.769,7.78,7.791,7.798,7.769,7.78,7.835,7.839,7.783,7.794
2024-01-16T02:00:00.000000Z,1543,7.78,7.793,7.768,7.772,7.78,7.793,7.768,7.772,7.795,7.807,7.781,7.785
2024-01-16T06:00:00.000000Z,3670,7.772,7.782,7.734,7.755,7.772,7.782,7.734,7.755,7.784,7.795,7.746,7.766
2024-01-16T10:00:00.000000Z,3128,7.754,7.767,7.74,7.752,7.754,7.767,7.74,7.752,7.766,7.779,7.751,7.764
2024-01-16T14:00:00.000000Z,4871,7.752,7.761,7.729,7.754,7.752,7.761,7.729,7.754,7.763,7.773,7.741,7.766
2024-01-16T18:00:00.000000Z,1606,7.751,7.763,7.748,7.752,7.751,7.763,7.748,7.752,7.765,7.775,7.76,7.766
2024-01-16T22:00:00.000000Z,1144,7.741,7.77,7.734,7.755,7.741,7.77,7.734,7.755,7.766,7.803,7.76,7.768
2024-01-17T02:00:00.000000Z,1691,7.756,7.759,7.739,7.754,7.756,7.759,7.739,7.754,7.768,7.772,7.752,7.766
2024-01-17T06:00:00.000000Z,3738,7.754,7.779,7.723,7.744,7.754,7.779,7.723,7.744,7.767,7.791,7.735,7.755
2024-01-17T10:00:00.000000Z,2621,7.744,7.756,7.733,7.739,7.744,7.756,7.733,7.739,7.756,7.772,7.745,7.75
2024-01-17T14:00:00.000000Z,3784,7.739,7.77,7.727,7.769,7.739,7.77,7.727,7.769,7.751,7.783,7.739,7.78
2024-01-17T18:00:00.000000Z,2240,7.768,7.782,7.766,7.778,7.768,7.782,7.766,7.778,7.78,7.795,7.777,7.792
2024-01-17T22:00:00.000000Z,1636,7.762,7.784,7.736,7.78,7.762,7.784,7.736,7.78,7.783,7.812,7.774,7.793
2024-01-18T02:00:00.000000Z,2355,7.779,7.783,7.766,7.77,7.779,7.783,7.766,7.77,7.795,7.796,7.779,7.784
2024-01-18T06:00:00.000000Z,3479,7.769,7.809,7.76,7.804,7.769,7.809,7.76,7.804,7.782,7.82,7.771,7.815
2024-01-18T10:00:00.000000Z,4017,7.803,7.823,7.784,7.787,7.803,7.823,7.784,7.787,7.815,7.836,7.797,7.798
2024-01-18T14:00:00.000000Z,4792,7.786,7.825,7.786,7.81,7.786,7.825,7.786,7.81,7.798,7.836,7.797,7.821
2024-01-18T18:00:00.000000Z,1560,7.808,7.82,7.803,7.817,7.808,7.82,7.803,7.817,7.82,7.833,7.816,7.83
2024-01-18T22:00:00.000000Z,1548,7.792,7.836,7.791,7.835,7.792,7.836,7.791,7.835,7.835,7.851,7.824,7.849
2024-01-19T02:00:00.000000Z,1730,7.838,7.844,7.824,7.838,7.838,7.844,7.824,7.838,7.85,7.858,7.839,7.85
2024-01-19T06:00:00.000000Z,3395,7.837,7.84,7.79,7.799,7.837,7.84,7.79,7.799,7.85,7.852,7.802,7.81
2024-01-19T10:00:00.000000Z,2719,7.798,7.803,7.775,7.778,7.798,7.803,7.775,7.778,7.81,7.815,7.787,7.789
2024-01-19T14:00:00.000000Z,3899,7.778,7.789,7.747,7.785,7.778,7.789,7.747,7.785,7.79,7.802,7.778,7.796
2024-01-19T18:00:00.000000Z,2810,7.783,7.788,7.761,7.779,7.783,7.788,7.761,7.779,7.796,7.809,7.785,7.808
2024-01-21T22:00:00.000000Z,1268,7.762,7.787,7.748,7.759,7.762,7.787,7.748,7.759,7.812,7.812,7.77,7.772
2024-01-22T02:00:00.000000Z,1989,7.758,7.766,7.751,7.76,7.758,7.766,7.751,7.76,7.773,7.779,7.763,7.773
2024-01-22T06:00:00.000000Z,2954,7.76,7.767,7.707,7.722,7.76,7.767,7.707,7.722,7.774,7.779,7.718,7.734
2024-01-22T10:00:00.000000Z,2228,7.724,7.739,7.689,7.702,7.724,7.739,7.689,7.702,7.736,7.751,7.7,7.714
2024-01-22T14:00:00.000000Z,2571,7.701,7.718,7.695,7.709,7.701,7.718,7.695,7.709,7.714,7.729,7.706,7.722
2024-01-22T18:00:00.000000Z,1658,7.709,7.711,7.701,7.711,7.709,7.711,7.701,7.711,7.721,7.724,7.713,7.724
2024-01-22T22:00:00.000000Z,1259,7.699,7.719,7.682,7.717,7.699,7.719,7.682,7.717,7.72,7.735,7.71,7.733
2024-01-23T02:00:00.000000Z,3233,7.716,7.746,7.715,7.738,7.716,7.746,7.715,7.738,7.731,7.765,7.729,7.751
2024-01-23T06:00:00.000000Z,4494,7.738,7.749,7.695,7.728,7.738,7.749,7.695,7.728,7.75,7.761,7.707,7.74
2024-01-23T10:00:00.000000Z,2458,7.728,7.785,7.707,7.779,7.728,7.785,7.707,7.779,7.739,7.798,7.719,7.792
2024-01-23T14:00:00.000000Z,3083,7.78,7.804,7.772,7.782,7.78,7.804,7.772,7.782,7.792,7.816,7.785,7.795
2024-01-23T18:00:00.000000Z,1237,7.783,7.793,7.78,7.785,7.783,7.793,7.78,7.785,7.795,7.805,7.793,7.799
2024-01-23T22:00:00.000000Z,11079,7.771,7.782,7.759,7.768,7.771,7.782,7.759,7.768,7.807,7.824,7.779,7.783
